strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.01382515,0.00716277,0.00911324,-0.02600709,0.00265157,0.00204013,-0.00308943,0.01474612,0.00642186,0.00323143,0.01164796,-0.00824048,-0.00500110,0.00403833,0.00025597,0.00246104,0.00220474,-0.00028431,0.01167892,0.00655089,-0.00361952,-0.00012517,0.00310048,0.02077442,0.01722498,-0.00667283,-0.00293402,-0.01345746,0.00188625,0.00654538,0.01739534,-0.01373178,0.00211223,-0.01336264,0.00003530,0.00899988,0.00052499,-0.00397236,0.00017683,-0.00080176,0.02851328,0.01532322,-0.00836575,0.01424865,-0.00607659,0.00366588,0.00360469,-0.00785187,0.00824269,0.00237271,0.01311936,0.00556436,0.01248278,-0.00129300,0.00443668,-0.00090587,-0.00965098,0.00680068,0.00263727,0.00511736,0.00051128,-0.00901415,0.00133624,-0.00649267,0.01638008,0.00830855,-0.00862085,0.00450869,0.00294618,0.01025441,0.00279653,0.00571905,-0.01099297,-0.02893203,0.00090413,0.01572523,0.01135575,0.01634023,0.00561180,0.00583327,0.00232645,0.00839628,-0.00109058,0.02139811,0.01010981,0.00074547,0.00961634,-0.00039961,0.00473700,-0.01454453,0.02411707,-0.00545485,0.00262821,0.00241364,-0.00865957,-0.00100936,-0.00513847,-0.02037157,0.00342778
0.00663478,-0.00652135,0.00070658,-0.00852850,-0.00390010,-0.00460567,-0.01147470,0.00896957,-0.00089959,-0.00826920,0.00314239,0.00080891,-0.02182276,-0.00052385,0.00088116,0.00339420,-0.00357920,0.00092438,0.01346827,-0.00584682,0.00676254,0.00411583,-0.00060026,0.01258790,0.00999038,-0.00506153,-0.00497233,0.02284537,-0.01332585,0.00888976,0.00607881,-0.00206817,0.01817081,-0.00329423,-0.00237306,0.00219790,-0.00556396,0.00699200,-0.00783935,0.00619276,0.00271422,-0.00294267,0.00008835,0.01563187,0.00723687,0.00117584,0.01869634,-0.00650362,-0.00365437,-0.00267808,0.01468198,0.00200829,-0.00153982,0.00760880,0.00887062,-0.00873361,0.01559495,-0.00151830,0.01375724,-0.00399213,-0.00382984,0.00323549,0.00255640,-0.00301713,-0.01183742,0.01479942,-0.00980578,-0.01090329,0.00397125,-0.00600732,0.00020527,0.01243897,-0.00634523,0.01815682,0.00645003,0.01310173,0.00189373,0.00315500,0.00509893,0.00812536,0.00413139,0.00246671,-0.00487202,0.00763367,0.01398783,0.00119094,-0.01701893,-0.00584653,-0.00076533,-0.00167209,0.01577632,0.00054357,0.00789588,-0.00696070,0.00064393,-0.00121390,0.00949827,-0.01600199,0.00933121
0.01086277,0.02824974,-0.00781039,-0.01821038,0.01109211,-0.01332390,-0.00205032,-0.01226492,0.01041589,0.00625162,-0.00338638,-0.00671701,-0.01339177,0.00191667,-0.00289624,0.00582030,-0.00529615,-0.00607982,0.00717571,0.00728173,0.00431463,0.00597340,-0.01243839,0.02855433,-0.00338310,0.00350133,-0.00706495,0.01439224,0.00364218,-0.00157979,0.01144416,-0.01316960,0.02360866,0.00275732,0.00565919,0.00353962,-0.00468171,0.00520354,0.01329210,0.00708600,-0.00066729,0.00634206,0.00476185,0.02014302,0.01605985,-0.00641924,-0.00185550,0.00925776,-0.00287700,0.00783420,-0.00439560,0.00719223,0.00626898,0.00584128,0.00447219,-0.00999072,-0.00948522,0.00264400,0.01417018,-0.00472804,0.01903008,0.00180818,-0.00966213,0.00123217,0.00237148,0.00681290,-0.01194755,0.00178875,0.01532864,0.00581483,0.00865642,0.01171046,-0.00915753,-0.00460120,0.01810416,0.01292973,0.00803742,-0.00331432,0.00141455,0.01824190,-0.00027405,0.00403747,0.00337092,0.00026433,0.00842979,-0.00156753,-0.00861835,-0.00968773,-0.01021271,-0.00040825,-0.00184629,-0.00577005,0.01303987,-0.00433139,0.00229310,-0.00716140,0.00412691,-0.02161978,0.01069403
0.00166437,0.00569503,0.01724216,-0.02169002,0.00946514,0.00248805,0.00555432,-0.01813239,0.00546396,-0.00108811,0.00588234,0.00395998,-0.02001537,-0.00329643,0.01600621,-0.00212252,-0.00159389,-0.00801295,0.01899807,0.00622663,0.00137919,0.00488272,0.00290988,0.03291678,0.00277233,0.00674599,0.00325883,-0.01785673,-0.00640282,0.01096681,0.01119637,-0.01031333,0.01125370,0.00561672,-0.00600301,-0.00636503,0.00219057,0.00851321,-0.00755927,0.00075059,0.01247615,0.01041204,0.00155351,0.00764922,-0.00006012,-0.00893506,-0.00697563,0.00754049,0.00965455,0.01883568,-0.02681857,0.00765377,0.01562167,0.00693025,0.00253168,0.00268298,0.01927983,0.01078880,0.00660107,0.00842497,-0.00882936,-0.00120645,-0.00730460,-0.00196616,0.00623508,-0.01012793,-0.01880100,-0.01253155,0.00370441,0.00428754,0.00985981,0.01052094,-0.00296378,0.02083799,0.01822856,0.00775360,-0.00278635,-0.00599416,0.00361854,0.00968491,0.00495057,0.01390707,0.00478406,0.01074544,-0.00194888,-0.00027270,-0.00821469,-0.00241132,-0.00167377,-0.00877839,0.01694426,0.00657877,0.00598956,-0.00136063,-0.00125814,0.00264539,0.00531276,-0.01797536,0.00294761
0.00198637,0.00550199,-0.01161076,-0.01905703,0.00908993,0.00914820,-0.00559617,0.01416081,-0.00303645,0.00607988,0.00529888,0.01644333,-0.02046381,0.00434612,-0.00288937,0.00619258,0.01608384,-0.01092082,0.00442250,0.00577302,-0.00213270,-0.00188439,0.00419899,0.00728907,-0.01944125,0.00701950,-0.01738024,0.00118405,0.00133217,-0.00853234,0.00254610,-0.00115770,-0.00640839,0.00271497,-0.00303036,0.00369002,0.00414716,0.00444144,-0.01377588,0.01633867,0.00389495,0.00877628,-0.01389126,0.00007908,-0.00847423,-0.01153147,0.00196216,0.02227584,-0.00179942,0.00921962,0.01034987,0.00567270,0.02350281,0.00729288,0.01324753,0.00535035,0.00952088,0.01016707,-0.00343950,-0.00288409,0.00080129,-0.01139983,0.00748514,0.00640511,0.00824829,-0.02296654,-0.00660682,-0.00856745,0.01563796,-0.00225723,0.02299813,0.00911897,-0.01085724,-0.01313976,0.02241803,0.02388671,0.01799415,-0.00730841,0.00952624,-0.01001281,0.00823042,-0.00189470,0.00215424,0.02329747,-0.00029325,0.00074239,-0.00569060,-0.01020784,-0.00816546,-0.00388668,0.01590306,-0.01996630,-0.01342261,-0.00576878,0.00690089,-0.00844268,-0.01959625,-0.00027147,0.00629460
0.00171927,0.01150324,0.00308189,0.00319994,0.00794678,0.01345497,-0.01593028,0.00567693,0.00845697,-0.00282753,0.01730727,-0.02077694,0.02502977,0.00043862,-0.01240391,0.00069054,-0.02023757,-0.01554481,0.00305798,-0.00203871,-0.01161197,0.00026120,-0.01054436,-0.00595208,0.00705768,0.00200784,-0.00335626,0.00275690,-0.00264482,0.00139670,0.01298651,-0.02517160,0.02335132,-0.01580080,0.00134042,0.01523604,-0.00632733,-0.00367500,0.00437638,-0.00763737,-0.00174157,0.01713228,-0.00486035,0.00637460,0.01843445,-0.00384463,0.01624583,0.00604942,-0.00339588,0.00133695,0.00505712,-0.00166714,0.00253802,-0.00546843,-0.00558195,0.00322628,-0.00890498,-0.00126979,-0.00914543,0.02733031,0.00131845,0.00443499,0.01366947,-0.00133881,-0.00264509,0.00309498,0.00034147,-0.00000461,0.00279247,0.00833219,0.00871033,0.00302238,-0.00404305,-0.02174312,-0.00129631,0.01339696,-0.00002269,0.00228856,0.01296037,-0.00955019,0.00638473,0.00645464,-0.00395110,-0.00614701,0.02111831,0.00153337,-0.02386600,-0.00775876,-0.02269718,-0.00317002,-0.01449898,-0.02856936,0.00078821,0.01243756,0.00724188,0.00074766,-0.02430140,-0.02536914,0.02318914
-0.00031939,0.00912018,-0.00741762,0.00610458,-0.00884441,0.00240834,-0.01053933,0.01749056,0.01225445,-0.00281153,0.00960928,-0.00890425,0.02543839,-0.00055227,-0.00579820,-0.00284756,-0.01282619,-0.00952387,-0.00353502,-0.00855253,0.00577083,0.00242529,-0.00195498,-0.00687223,0.00258727,0.00068276,-0.00580635,-0.00450342,-0.00544051,0.00913741,0.00446193,0.00995957,0.00912169,0.00375033,-0.00035280,-0.00050782,-0.00636263,0.00811132,-0.01167830,0.00411591,-0.00118198,0.01387692,0.02109542,0.00316683,-0.00308076,-0.01402174,-0.01212099,-0.00649296,0.00702339,0.01020777,-0.02088241,0.00151554,-0.00536499,-0.00037596,0.01663276,-0.00715500,-0.01474020,0.00987312,0.00799009,0.00076093,-0.00671927,0.00876861,-0.01199749,0.00830453,0.00622781,0.00325914,0.00339407,-0.00126292,0.01000429,-0.00341702,0.00618470,0.01314172,-0.00141667,0.00820776,0.00894353,0.01113512,0.00277787,0.00171762,-0.01741600,-0.00019240,0.01197109,0.01477625,-0.00662324,0.00475293,-0.00095582,0.00013153,-0.00943337,-0.00538498,-0.01486592,0.00416026,0.00837475,0.00155759,0.00880189,-0.01194744,-0.00493826,-0.00433258,0.02150778,-0.00698711,0.01930676
-0.01007888,0.00661670,-0.00424258,-0.01902162,0.00737848,0.00275191,-0.01814955,-0.00797018,0.01380662,-0.00411433,0.00640616,-0.02997124,-0.01380972,-0.00098124,-0.01322688,0.00697497,0.01524684,-0.00123233,-0.00315176,-0.01475658,-0.00264717,-0.01065555,-0.00002132,0.02517380,0.01582474,0.00572015,-0.01386208,0.01206456,0.00069696,0.01060079,0.00022120,-0.00383548,0.03650318,-0.00465676,0.00097930,0.00132793,-0.00475148,-0.00169881,-0.01530293,0.00231378,0.00249637,-0.00066499,-0.01804853,0.00218078,0.01647274,0.01088789,-0.00936680,-0.01108743,0.00045812,0.01333416,-0.03228019,-0.00257178,0.00923748,-0.00414243,0.00750028,0.00251587,0.01468347,0.00704788,0.00120289,0.00326413,0.00579028,0.02382289,0.00156214,0.00229965,-0.00884598,0.02260447,-0.00644612,0.00137117,0.00133387,-0.00241786,0.01399454,-0.00496653,-0.00618824,0.01667707,0.01035482,0.00975766,0.00373171,0.00912755,0.01094517,0.00590962,0.01395964,0.00686225,0.00448269,-0.00322178,0.01052867,-0.01203056,-0.00844030,-0.01070220,0.00295855,0.00168685,0.01454016,-0.00824931,-0.00561034,0.01198587,0.00970847,-0.00364196,-0.00210688,-0.01377715,0.02027342
0.01051512,-0.00325951,0.00249137,0.01074906,0.00562415,0.01314709,0.00323937,0.01091953,0.00445279,0.00476752,0.01036426,-0.00481530,-0.00008714,0.00051327,-0.00326065,0.01311041,0.01820538,0.00202792,-0.00400127,-0.00318446,-0.01578215,0.00340805,0.00396879,0.01234685,-0.00558452,0.00437374,0.00562780,0.01295238,-0.00683079,0.00568541,-0.00063347,-0.01536837,0.00591610,-0.00718865,0.00083390,-0.00219770,-0.00638842,0.00910712,-0.02079069,0.00015104,0.01366849,0.00620141,0.01594921,0.00813092,0.00964176,0.00573467,-0.00988055,0.00992170,0.00089292,-0.00807828,0.00056268,-0.00910873,-0.00569477,0.00433768,0.00227130,-0.00568403,-0.01399473,0.00634644,-0.01097587,0.00866948,-0.00131304,0.01199366,0.00007105,0.00666983,0.01402607,-0.00062370,-0.01996405,-0.01976442,0.01721661,-0.00258234,0.00842043,0.00878650,-0.00540260,-0.00162989,-0.00973376,0.01865635,0.00504931,-0.00419185,0.00183104,0.01329544,0.00372916,-0.01282117,0.00544770,-0.00797730,0.01039817,0.00491731,-0.01955286,-0.01572790,-0.03386894,-0.01124080,-0.00135949,0.01049207,0.01401884,0.01853026,-0.00404803,-0.00256143,-0.01914800,-0.02359352,0.01425795
0.00974103,0.00902729,0.00892016,-0.00581926,-0.00859497,-0.00693261,-0.00042677,0.02437781,0.00740272,-0.00381785,0.00350112,-0.00312516,-0.01583272,-0.00141211,0.01608559,0.00798648,-0.00849213,-0.00237277,0.00766001,0.01025493,-0.00563042,-0.00884057,0.00648356,0.01450476,0.00594021,0.00054991,-0.02363087,-0.00220292,0.00536613,-0.00217381,0.01017690,-0.01298932,0.00806217,0.00032190,0.00078620,0.00835220,-0.01041224,-0.00275389,-0.00525277,-0.00080596,0.00802961,0.00478956,0.00692079,0.00493075,0.00827901,0.00043211,-0.01424112,-0.01007334,0.00217156,0.00996882,-0.00285672,0.00765941,0.01276379,-0.00389901,0.00141904,0.00211136,-0.00089282,0.00524091,0.01017274,-0.00851933,0.01660747,-0.00802781,0.00690263,0.00479609,-0.00139772,0.00495456,-0.01228207,-0.00441435,0.01435113,-0.01008277,0.00582855,0.01136956,-0.00527998,-0.02815783,0.00361989,0.01569769,0.00729638,-0.00074540,0.00890917,-0.00597635,0.00609905,-0.00009961,0.00704852,-0.00822828,0.00993905,-0.00045231,-0.00192091,-0.00425461,0.02944232,-0.01386494,-0.00945293,0.00431962,0.01383088,0.00525688,0.00600935,0.00135227,-0.00181276,-0.01166473,0.01657184
