strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00226435,-0.02518916,-0.09234561,-0.03691216,-0.01796153,-0.03449881,-0.04301579,0.10543756,0.02709301,-0.10359332,0.03667843,0.14512224,-0.02718236,-0.07220042,-0.05137937,-0.00431121,0.07589706,-0.01488488,0.06617355,0.01690039,0.06615578,-0.12726132,-0.02850082,-0.13680376,-0.00406301,0.04143077,0.02819216,0.05103935,0.03546220,0.02481647,0.01427796,-0.02958955,0.05454273,0.02193247,-0.01652736,-0.03367164,0.02254477,-0.14909049,0.00971797,0.06546211,-0.12259729,0.03955492,-0.02771848,-0.04776800,0.00952210,0.07924954,0.05554943,0.03835516,0.05201079,0.03814186,-0.06318223,0.06246459,0.00779510,-0.08079258,0.08745126,0.02043250,-0.03337983,0.01478113,0.05882628,0.10430034,0.06933497,0.02097845,0.01286059,-0.10152466,0.09178307,-0.06894497,0.05178690,0.01836460,0.01123568,-0.04588972,0.02238376,-0.02039540,-0.03916236,0.01030167,-0.07937276,0.00965446,0.01939413,0.06576300,0.08502069,-0.00806231,0.02817687,0.03413530,0.11290352,0.22183990,-0.01765436,0.01264652,0.12506518,-0.11399990,-0.01030481,0.04361424,0.01119132,0.03652345,-0.04462477,-0.01957526,0.00748664,0.05779029,0.15639743,0.07684731,-0.06724051
0.00986532,-0.06089610,-0.14478012,0.00655132,0.01659593,0.04675226,0.13130682,0.08773222,-0.04366084,0.03458549,-0.03638053,-0.01956456,-0.06342072,-0.20312700,-0.03573108,-0.03865539,-0.00149331,-0.18631854,0.38758467,-0.05839307,-0.02996707,-0.01039811,-0.02810558,-0.03295952,-0.06169419,-0.08041066,0.04070469,-0.02863524,-0.01677114,0.09783441,0.01301139,-0.09379055,-0.06378886,0.05859019,-0.01954078,-0.01131766,0.01150634,-0.28711197,-0.03397948,0.05347761,-0.04298781,-0.00217672,-0.06363338,-0.19520413,-0.00251536,0.03116781,0.03880800,-0.01700567,0.03477315,-0.03318457,0.04097144,-0.03684824,-0.03510619,-0.11432577,-0.02557670,0.04636930,0.00316174,0.02461453,0.03633826,0.15357650,0.07918996,0.00358985,0.06303457,0.08260744,-0.08413796,0.00784384,0.01896157,-0.00271879,-0.04825536,0.03456660,-0.00496565,0.05121313,0.02985562,0.07826946,-0.00685814,0.05015426,-0.00931898,0.01115445,0.04697898,-0.03698076,-0.03455991,0.06156730,-0.05929927,0.05217406,0.01492745,0.03679980,-0.02398971,0.01332913,0.00206426,0.13815899,-0.02067405,0.04396154,0.06163006,-0.07376305,0.01705283,0.09342077,-0.10540496,-0.02918563,-0.00438608
0.01291997,0.00511013,-0.12014940,-0.00500878,-0.06692909,0.02504283,0.05914559,0.01663745,-0.00020648,0.03797229,-0.03009116,-0.15389643,0.03841506,-0.12084886,-0.14601880,-0.04105195,-0.00799758,-0.08051298,-0.03051992,-0.02646131,0.01171595,0.09177602,0.04812390,-0.06385570,0.01186537,-0.10774265,0.02995930,0.03139112,-0.07538462,-0.13516462,0.04086632,0.05637639,0.11291306,0.05720522,-0.08468303,-0.01557289,0.04561031,-0.08835790,0.00726053,0.04856041,0.09790907,0.00215564,0.06377959,-0.04808312,0.15145493,-0.01452865,-0.01342975,-0.01813321,0.02993593,-0.06199670,-0.09079942,-0.00521016,0.03209778,-0.15215566,0.03512186,0.07152703,-0.16077475,0.03928960,0.03143215,0.05282610,0.09695918,-0.06346891,-0.07736030,0.19596982,0.00228466,-0.06179283,0.04356569,0.02355848,0.08387440,-0.08351739,0.04024938,0.03416845,-0.12207730,0.03601757,-0.10165388,-0.03557577,0.00206138,0.03515631,0.18484684,0.03917825,-0.03729368,-0.00315549,-0.04003598,0.02359016,-0.00130305,-0.03064341,-0.11385913,0.04928394,0.06400460,-0.01948756,-0.01243501,0.00463743,0.00599498,-0.01270425,-0.02401332,-0.03389234,-0.06222114,0.08523699,0.04159239
0.07149111,0.00213419,-0.03490558,-0.05045152,-0.02420254,-0.05232039,-0.05283612,0.10614103,-0.08520544,0.03918624,0.03946910,0.06071164,-0.07893828,0.06118388,-0.01919800,-0.06712536,0.03168969,-0.04585595,-0.18779895,0.00050079,0.00884242,0.17978122,0.03413835,0.02348575,0.00291088,-0.26245249,-0.03265013,-0.07707058,0.07247237,-0.04048841,0.08358718,-0.08882459,0.04106755,-0.04903124,-0.01196361,0.04762437,0.02299010,0.05460200,0.09588605,-0.03391982,0.02934439,-0.03193244,-0.04971698,-0.04403876,0.04204308,-0.10931324,-0.05623586,-0.01611708,0.01229848,-0.06727796,0.02346029,0.12372390,0.03785226,-0.01265221,-0.01936373,-0.00186094,-0.06051457,-0.01722409,0.05146496,-0.12365204,0.08815704,-0.00224289,-0.16938461,0.10238301,0.14615169,0.01863286,-0.00445608,0.05750596,-0.05502418,-0.05913226,-0.04607667,0.01137734,-0.02597491,-0.02410877,0.05294893,-0.00970661,0.02613769,-0.09170521,0.07001775,0.06158556,0.12605467,-0.04597888,-0.14049202,-0.04094960,0.05710412,0.10335671,-0.02549361,-0.03073422,0.01007068,0.04084412,0.07865294,-0.07902795,-0.00839048,0.03096906,-0.01265105,-0.07851422,0.03610475,0.03655768,0.03837402
-0.02468000,-0.03542914,0.02168350,0.05509646,-0.05237506,0.00916584,0.08945605,-0.06867520,0.07997378,-0.00506898,0.02509942,0.07243032,0.02559013,0.09822132,-0.03909693,0.03431576,-0.06655662,-0.02362610,0.24969967,0.09797603,-0.04993859,0.05420913,-0.08237579,0.18031608,-0.01562266,-0.08008677,0.03027870,0.07731527,-0.03543589,-0.07782715,-0.07907069,-0.09635259,0.02144581,0.06520012,-0.00714149,-0.01478592,0.03844160,0.03368485,-0.03140923,0.00831030,0.02813549,-0.08345531,0.00648419,0.06617084,-0.02290854,-0.10316018,-0.01383854,0.03909803,-0.05779126,-0.16643006,0.06133896,0.09274014,0.04129334,-0.02584123,-0.01046150,0.02088998,0.05281530,-0.00644017,-0.04280489,0.12431698,0.14357828,-0.04969812,-0.09257678,-0.08236890,-0.00191204,-0.02620088,-0.05569380,-0.04237094,0.07181154,-0.05355197,-0.02768685,0.00029244,0.06687980,-0.00172858,0.08868056,0.05398890,0.01826689,0.02936393,-0.06850390,-0.03400020,-0.04063919,-0.07511971,-0.07029084,-0.11751938,0.02054396,0.06542313,-0.05488526,0.02437969,0.05284142,-0.09379413,0.03462714,-0.11491411,-0.01818824,-0.12519867,-0.02840924,-0.13190913,0.02457416,-0.03234911,-0.07938687
0.06187963,-0.05121507,-0.00536764,0.03009532,0.06939956,0.03512278,-0.02051201,0.08541879,0.07760547,0.05381219,-0.08759307,-0.12522018,-0.03211724,0.13229345,-0.10054968,0.05002262,0.00354679,0.09345920,0.04139486,0.03470932,-0.08668806,-0.11836213,-0.01664807,0.10544487,0.06045102,-0.04911857,-0.03853901,0.08993121,0.02636127,-0.04596792,-0.01986112,-0.02105032,0.07244420,-0.02850547,0.16959608,-0.01643441,0.15961393,-0.10525470,-0.04449244,0.01566334,-0.07991115,0.00669614,0.04256335,-0.00042221,0.13234501,0.04568078,-0.01507275,-0.05324711,-0.07879951,0.10095447,-0.01256706,0.14152026,0.07910305,-0.17195043,0.12975392,0.09124724,-0.08353028,-0.07391370,-0.00915120,0.18121825,0.06222905,0.01538669,-0.03353364,0.06249802,0.13181175,0.01494276,-0.00457226,0.00146407,-0.01196784,0.01835209,-0.03471711,0.00406988,0.02934446,0.08328985,0.00181348,0.09607519,-0.02497233,0.01370054,0.11353309,0.12113344,0.00760053,0.06734573,-0.05634540,-0.12709689,0.15274839,0.03201271,0.02771239,0.00560830,-0.07695077,0.02394373,0.02598874,-0.02061866,0.05832300,-0.06632371,0.01165645,0.02051906,0.04823782,0.04277260,-0.07109403
-0.01921845,-0.05842725,0.06176874,0.00250554,-0.04342619,-0.03819873,-0.00486741,0.04636940,0.12674235,-0.03340677,0.02954589,0.03460079,-0.01797343,-0.12806016,0.01510278,0.02691071,-0.00596350,-0.01809759,-0.01547656,0.09400064,-0.01028268,-0.00207712,-0.01157680,-0.10950537,-0.00062446,0.05431299,-0.00426208,0.03021077,-0.00540182,0.01128812,-0.03912579,-0.09738207,0.06397465,0.08648084,0.03908562,-0.04020162,-0.07419605,-0.02898356,0.05162795,0.00632162,-0.12878367,-0.04017051,0.06560717,0.05839347,-0.00503620,0.00133138,-0.00240627,-0.00367168,0.04703150,0.10058116,-0.04509819,0.02649008,0.01991073,0.00323828,0.03185702,0.02415469,0.01016924,0.02047659,0.08514813,-0.06065388,-0.09645126,0.22072462,-0.07928017,-0.29073936,0.01230525,-0.17412203,-0.04548920,-0.09088095,-0.13625240,0.00295251,0.08093851,-0.08499423,-0.12317637,0.03739719,-0.02533560,-0.02587096,0.00844876,0.03977556,-0.00526588,0.10735331,0.02259871,0.07361453,-0.12844672,-0.00778254,-0.02122208,0.03895896,-0.00585340,-0.03863118,0.07063607,-0.00497019,-0.06605497,0.04996296,0.00369900,-0.07552520,-0.00802535,0.04757717,0.02069659,0.05593849,-0.13652935
-0.01625120,-0.12447750,-0.00141381,0.02401841,-0.03720095,-0.03122603,0.08710625,-0.08039829,-0.06039338,-0.04664343,-0.06627849,0.07736015,0.04570302,0.12027893,-0.14831589,0.07594885,0.05862538,-0.04303600,-0.04447570,-0.02447591,0.05574854,-0.10788456,0.10135744,0.03686759,-0.01206449,-0.21237732,-0.13749035,0.00710880,0.00485458,0.00237662,0.10786366,-0.01572590,-0.14013208,-0.00782433,-0.00045174,0.05170328,0.06222770,-0.14231096,-0.06817298,-0.03358564,0.03750199,-0.03971793,0.02976399,0.00071901,0.01932033,-0.06059141,0.09441535,-0.03133613,-0.06213399,-0.11513506,-0.03880639,0.15225129,0.02469212,0.05219877,-0.00565775,0.08087496,0.02202923,0.00000623,0.06828382,-0.00580670,-0.02448928,-0.10830122,-0.12138237,0.13092438,-0.06736759,0.18253514,0.02334213,-0.07128804,0.02616439,0.07063413,-0.00584024,0.14261904,-0.04853220,0.02653604,0.06032935,-0.02970952,-0.06608993,-0.03857970,-0.01166284,-0.00725874,0.02079731,-0.03007307,-0.09714281,0.01523743,-0.03479550,0.05180958,0.05820215,-0.01416365,0.11421514,-0.09011012,-0.03429422,0.01980798,-0.05739904,-0.01106480,0.01465188,0.05672273,0.11288970,0.02368282,-0.02964615
-0.01484344,-0.03635146,0.15639394,0.10794487,0.01793733,-0.02410882,0.04709976,0.21688567,0.02046928,0.03365621,-0.02853756,-0.06558640,-0.06659015,-0.12623998,0.02991953,-0.04007599,-0.02947326,0.06573987,-0.12479205,0.08179173,-0.00334163,0.08984590,-0.02841403,-0.04073144,0.05734195,0.18830353,0.06079365,-0.04726244,0.00101181,0.05909088,0.02978846,-0.11608675,-0.12195479,-0.08383278,0.08883402,0.04666397,0.06858604,-0.06700274,0.00070632,-0.02623057,0.06661961,-0.01691856,0.05923768,-0.01997194,-0.09700535,-0.01007601,-0.01479100,-0.03181090,-0.02353295,0.01836109,0.07117121,-0.10706862,-0.02835077,-0.04068773,-0.07364555,0.07570453,0.03289697,-0.02516790,0.02662811,-0.05898566,0.03695546,-0.02537083,-0.07232867,0.02797916,-0.00626259,0.07063662,-0.07951106,-0.01578142,0.09491209,0.04387289,0.00791235,0.05991869,0.07051992,0.00649224,0.02558005,0.00021620,0.09318827,0.01533292,0.02641807,0.22480589,0.09505602,0.01492548,-0.01677819,0.05663328,0.06266514,-0.03725492,0.11313595,0.03391345,-0.08788813,0.06080566,0.00813798,0.06073335,0.04307374,0.04617572,-0.01315312,-0.08675933,-0.04372111,0.10988918,-0.05392717
-0.00456737,-0.02430535,0.04987365,-0.05089158,-0.04087829,-0.03030818,-0.17113879,-0.01016319,0.15793182,-0.02614609,-0.01641121,0.05994831,0.00087299,0.04244961,-0.00206106,-0.01562543,0.00678386,-0.06274060,-0.04021254,0.07807451,-0.01761695,0.04700717,0.03271611,0.06934757,-0.00764824,-0.08308354,0.09057400,-0.10730257,-0.06867266,0.03963938,0.01407511,0.01486867,-0.01025620,-0.06378000,0.06645190,0.01642521,-0.05114473,0.10734355,-0.02881946,-0.13507829,0.01074777,0.02928436,-0.01406345,0.12243542,-0.04426388,-0.03299640,0.00630923,-0.04006709,-0.10835454,-0.08581278,-0.00418167,-0.21210194,-0.10066881,-0.00627760,0.04029855,0.07852701,-0.06879983,0.00715714,0.00978424,0.06539733,0.02469813,0.01681388,0.07490692,-0.17036990,-0.04305526,0.00010007,0.00059325,0.05211773,0.05448873,-0.06370399,-0.04037273,0.06824086,-0.08632931,-0.00291363,0.12003511,-0.12910888,-0.03435505,-0.07838457,-0.03880812,0.01490081,-0.07585100,-0.02822195,-0.03099172,0.04943389,0.01415731,-0.03589714,0.02851727,-0.04844602,0.04144055,-0.05425620,-0.00091040,0.01064170,0.03862426,-0.01002972,-0.07582998,-0.03451211,0.12993726,-0.01136734,-0.13729925
