strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.01020145,0.00528253,0.00552136,-0.00792908,-0.00747013,0.02180167,-0.00991528,-0.02427090,0.00923858,-0.00271286,0.01676482,0.01851678,0.00512660,-0.01883164,0.00130597,0.01087481,0.00877641,0.00430566,-0.00451234,-0.01322891,-0.02013716,0.02347291,-0.00062368,-0.01608270,-0.00572144,0.01951589,0.01380527,0.00029732,-0.02383026,0.01855510,-0.00454490,0.01016574,0.01088887,-0.00452060,-0.02203668,0.00960261,0.01398754,0.00254941,0.00741856,-0.00014300,-0.01474842,-0.00846555,0.00550486,0.03068660,-0.00403158,0.01056462,0.02584728,-0.00125753,0.00238834,-0.00568128,0.00926770,-0.00372301,-0.03263528,-0.02280331,-0.01827931,-0.01584785,0.00510450,-0.00029299,0.02009886,-0.02543706,0.01335151,0.00871698,-0.01084288,-0.02548254,0.00328597,0.00209630,0.01448277,0.00749970,-0.01803383,0.00804519,-0.01121360,-0.00599452,-0.01651017,-0.00412840,-0.01051896,0.01813084,0.00455605,0.00075979,0.00438423,-0.03322070,0.00601824,0.00462491,-0.00649652,0.01998099,0.01824725,-0.00439915,0.01672893,-0.00384950,0.00287443,0.02592993,0.01592642,-0.00899724,0.00044063,-0.00615428,0.01322417,0.03524447,0.00759722,-0.01344746,0.00520148
-0.00826309,0.01647210,-0.01208487,0.02776460,-0.00773647,0.01542601,0.04059014,0.00961553,-0.00561450,0.02802779,-0.01685316,0.00930788,-0.01211003,0.01235783,0.00033249,0.00086116,-0.01572752,0.00409873,0.00571722,-0.00742908,-0.00708870,0.00619479,0.01171049,0.01552942,0.03789084,-0.01724908,-0.00398574,0.01622151,-0.00735969,-0.00857122,-0.00860910,-0.00281990,0.01043004,-0.00615003,0.01562270,-0.00859125,0.02485255,0.02623895,-0.00223993,0.01639821,0.01201971,-0.01312618,0.01520610,-0.00116045,-0.00132821,-0.00665390,-0.00324019,0.01114923,-0.00481548,0.03364363,-0.00799124,-0.00454565,-0.01328500,-0.00062787,-0.02242257,-0.01410776,0.00310746,-0.00362742,0.00247634,-0.00908144,-0.03367138,-0.01641691,-0.00974880,0.04311207,-0.01018921,-0.00752231,0.01227302,0.02196522,-0.00589502,0.00828793,0.00884971,0.00604322,0.00877543,-0.00317670,-0.01686440,0.03291686,-0.00145963,-0.00024915,0.02060548,-0.01827722,-0.00893707,-0.00660634,0.02006414,-0.00455088,0.00786986,0.00703125,0.00260485,-0.00277481,0.03437547,0.02326360,0.00677068,0.01951560,0.00077080,0.01287662,-0.00193013,-0.01330080,-0.00068309,-0.00748669,0.00146680
0.00550560,-0.00960233,0.01024801,0.00534515,0.03360087,0.00161136,0.01186274,-0.01871426,0.01529841,-0.02532362,-0.02993281,-0.01136239,-0.01425738,0.00489818,-0.01431151,0.00161530,-0.01711012,0.00428224,-0.01597856,-0.00890684,-0.01741553,-0.01517549,0.01961852,-0.00118423,0.01458178,0.02590546,0.00303073,-0.00793505,0.01589439,0.03334291,0.01797725,0.00164144,-0.00210623,0.00629097,-0.01995491,0.00505094,0.01230810,0.00282868,0.01618870,-0.01850616,0.01313429,-0.01036694,0.00786118,0.01032108,-0.01159797,0.00717486,0.00827556,-0.01175405,0.00159662,0.00423703,-0.01175411,0.00653632,-0.01946401,0.00863332,-0.02538818,0.00466246,0.00918529,-0.02412516,-0.01382909,-0.02310100,0.00705429,-0.00335743,0.00002902,-0.00715909,-0.00985140,0.00181349,-0.01566341,-0.00839208,-0.01613679,-0.00461672,0.01018867,0.00682346,-0.00196832,0.00129959,-0.00276234,0.00630709,-0.00115153,-0.00339842,-0.01633919,0.00059467,0.00472648,-0.00198604,0.00638568,0.00863441,-0.00768022,-0.00652463,-0.01765760,-0.01096672,0.00251159,0.01258634,-0.00847321,-0.00196447,-0.01932420,0.01770726,-0.00215160,0.00185151,-0.00421151,0.02117427,-0.01320142
-0.01051476,-0.01319883,-0.02003975,0.01950200,-0.00303527,0.00312718,0.00180579,0.00958646,0.01301753,0.00120312,0.01538628,0.00998074,0.01302540,-0.00832674,-0.00409822,-0.00665907,0.01120560,-0.00115906,-0.02556903,-0.01530715,-0.00998246,0.01011148,0.00251531,-0.02193311,0.03826199,0.00929566,-0.00070304,-0.01682729,-0.01164543,0.00763014,-0.02867276,0.00243691,-0.01229658,0.00672178,0.00168325,-0.00765893,0.01514528,-0.00512687,0.01936873,-0.01412316,-0.00418589,0.00196090,0.00613868,0.00009160,0.02027502,0.00436301,-0.00704904,0.01214365,-0.00127336,-0.00594958,0.00041113,0.01030640,-0.00043409,0.01508721,0.00425524,-0.00131660,0.00876902,0.00939343,0.00551418,-0.01833746,0.00068326,-0.00885447,0.02023093,-0.00216406,0.01319121,-0.02606051,-0.00292776,-0.04078060,0.00698426,-0.01986665,0.02712080,0.00700453,-0.01077617,-0.00776088,0.01877579,-0.00336266,-0.00826246,-0.01217028,-0.00253194,-0.03973623,-0.00001914,0.00171280,-0.00596522,0.03263446,-0.00589887,-0.00098522,0.02054022,0.00536706,0.03048851,0.00387173,-0.01817130,-0.00373822,0.02713119,0.00087326,0.00829967,-0.01167902,-0.01874778,0.02284192,0.01060481
-0.00423964,0.03410978,0.00553995,0.00300425,0.00786398,-0.01105166,-0.00795441,-0.00799897,-0.06505603,0.00948228,-0.02563549,0.01570306,0.00258465,-0.02373084,-0.02187253,-0.00589339,-0.01891233,-0.00292658,0.01421451,-0.00586454,-0.00463415,-0.02202218,0.02357014,-0.01983074,0.00717330,0.02649174,0.01078345,-0.00840819,0.00657206,0.01082733,-0.00559060,0.01331561,0.00142969,-0.00254119,-0.00721497,0.01065089,0.00763128,0.00331873,0.00130639,-0.00848349,0.00798730,0.03388726,0.01066586,-0.00754154,-0.02051633,0.01110779,0.01229080,-0.00164523,0.02465955,-0.01389751,0.00408432,0.00513183,0.00561932,0.01405680,-0.00553392,0.00803705,0.02022219,0.01769224,0.00197555,-0.01073385,0.02123719,-0.00963275,-0.00113705,0.01940816,0.01195949,0.00125796,0.02986710,-0.01124451,-0.00389392,-0.00356011,0.00196180,-0.00298759,0.03343484,0.01200800,-0.02029091,0.00503503,0.00706199,-0.00837514,-0.00936349,-0.01637507,0.01520108,-0.00592834,-0.00204175,0.03529506,-0.00884928,-0.01547756,-0.00979862,0.01007564,-0.01337505,0.01527493,-0.00033460,-0.00929456,0.02268572,0.00590577,-0.02399114,0.01026568,-0.00545697,-0.00882634,-0.00951882
-0.01455473,0.00184327,-0.02400081,-0.00754915,-0.02190456,-0.00650553,-0.00911038,0.01088576,0.02347177,0.00228698,0.00905889,-0.01032520,-0.00475545,-0.00031365,0.02570722,-0.00603855,-0.00893925,0.01652451,-0.00529867,-0.00928624,0.01125948,0.01248564,-0.00368273,-0.01412872,-0.01808194,0.00597847,-0.01577249,0.00546559,-0.01142928,0.02890080,-0.01538145,0.00254278,-0.00525358,0.00710696,-0.00358295,0.00176925,0.00881406,0.00575196,0.01073984,-0.01825044,0.01209554,0.00196945,0.01100416,0.02721546,-0.00396596,0.00370986,-0.00756440,-0.00484895,0.00970368,-0.01795142,0.00190866,0.00792864,-0.01286176,-0.00244786,-0.00574913,0.00982162,-0.00489980,-0.01161622,-0.00056498,-0.00116846,0.00129623,-0.00096191,-0.01243783,-0.00343990,-0.01397324,0.00464335,-0.01108760,0.02201571,-0.01896492,-0.00053198,-0.01141689,0.00402866,0.00159389,-0.00776003,0.00382738,0.00643560,0.00026901,0.02938228,0.00538602,-0.00996048,0.00731011,0.00845801,-0.00427950,0.00563445,-0.01910894,0.00433331,-0.00187589,0.00843896,0.00550744,0.00822172,0.00131538,0.02728142,-0.01586497,0.00299619,-0.00035923,0.01425422,-0.00672126,0.01388147,-0.01074848
-0.00536709,0.01782001,-0.00525557,0.00268477,0.01069044,0.00443254,0.00144726,0.00740465,0.00992233,-0.02014964,0.02746070,0.00579781,-0.00056669,-0.00839777,-0.00642176,0.00884790,0.00465176,0.00641315,-0.01321158,-0.00977555,-0.02103231,0.00170013,-0.02051195,0.00422356,-0.00063924,-0.03070587,0.02047639,0.02548424,-0.01630615,0.01006517,0.02798014,0.00636928,-0.01583188,0.01184815,-0.00317916,-0.00149824,0.01902331,0.00232112,-0.00860401,-0.02080128,0.01625763,0.04174140,0.01015898,0.03322775,-0.01906516,0.00016878,-0.00632836,0.00553600,0.02180487,-0.02653355,-0.00991924,0.00801471,-0.01540171,0.01772632,-0.01163638,0.01626730,0.00453884,-0.02612527,-0.01451110,0.02695261,0.03202205,0.00015317,0.00873437,0.00244044,0.00021039,-0.00436549,0.00014400,0.01277094,-0.01993176,0.00826628,-0.00286279,0.01090026,-0.02239126,-0.00682558,0.00897170,-0.01344653,0.01893236,-0.02955108,-0.00341469,0.00455887,-0.00037245,-0.01108566,-0.00029000,0.03570011,-0.01117931,-0.00765113,0.00666578,0.00871914,0.00955826,0.01882897,0.00668730,0.00005695,-0.00203687,0.00151841,0.00868177,0.00733300,0.00819479,-0.03429465,-0.00055725
-0.01434863,0.01547987,0.03636328,0.00562047,-0.00190598,-0.00454569,-0.02039610,-0.02411241,0.03260792,0.00612825,0.00068113,-0.00633304,-0.00283765,-0.00751182,-0.01697722,-0.02118259,0.01272974,-0.00012909,-0.00286620,-0.00819286,-0.00184397,0.02459401,-0.00537569,-0.00399604,0.00880988,0.01779760,-0.00486879,0.00616877,0.00304602,0.00586209,-0.00419292,-0.01512948,0.00002934,0.01285553,-0.01017585,-0.01364792,0.01811565,0.00000538,-0.03056833,0.02202785,-0.01456031,0.00233807,0.00590324,0.00433694,-0.01881382,0.01233575,0.00126441,-0.00949096,0.02450893,0.00564583,-0.01343829,-0.00137141,0.00191586,-0.01487839,-0.01393182,0.01356952,0.00819036,-0.00776475,0.00211021,-0.01736350,0.02999320,-0.00993538,0.03740537,-0.00848513,-0.01986874,0.00299044,0.00024824,-0.01496629,-0.00740074,0.00577358,0.01656649,0.01294139,0.00541862,-0.01333191,0.02550482,0.01581413,0.02099367,0.00882275,0.02750878,-0.00261579,0.01255440,-0.01027675,-0.01054357,-0.00657954,-0.00904455,-0.00066578,-0.00510033,0.01329052,-0.01906146,0.00601220,-0.00142650,0.01160595,0.02476531,-0.00628424,0.00493411,0.01123769,0.02669641,-0.01801484,0.00239168
-0.00739363,-0.00154749,-0.01499314,-0.01139753,0.01061723,-0.00243079,-0.03031513,0.04795779,-0.01575253,-0.01089119,0.00223893,-0.00852475,-0.00691031,-0.00495547,0.00411583,-0.00816866,0.00059163,0.01464333,-0.01593700,0.00629799,0.00294724,-0.01995674,0.00866441,0.01529700,0.02392228,0.02018357,-0.00544986,0.00473643,0.00841955,0.01879782,-0.02374921,0.02890854,0.01937120,-0.00555976,-0.00400632,0.02370296,-0.01422932,0.00479966,-0.03679808,-0.00473912,-0.01345047,0.00687453,-0.00663574,0.03262804,0.02224922,0.00580900,-0.01076073,-0.00394657,-0.00494282,0.02257188,0.00065597,-0.00924405,0.02262202,0.03032892,-0.00824035,-0.00750359,-0.00509270,-0.00669096,-0.01454013,0.01250810,-0.00042998,0.00298304,0.00240331,0.01355088,-0.00449879,-0.00889755,0.00664962,-0.00788670,-0.02377341,0.00780469,-0.03016257,0.00341786,-0.00368041,0.01724263,0.01239844,0.01272262,-0.02581792,-0.03523808,0.02419670,-0.00709078,-0.00799978,-0.01001427,-0.00449606,0.01992892,0.01954168,0.00023301,0.00661841,-0.00771925,0.04139102,0.01425855,-0.00634550,0.00370918,-0.00144235,0.01399451,0.00629977,0.02287789,0.02352921,-0.00524943,-0.01600909
-0.01194296,-0.01344522,0.01044094,-0.00620826,0.00190085,-0.00303282,0.00921120,0.00141149,-0.00134405,-0.00523884,-0.00809225,0.00636858,0.00220079,-0.01995068,0.00286467,-0.01188549,0.01611119,0.02201781,-0.02085381,0.00236468,-0.01046211,-0.00555788,0.00546572,-0.01355172,0.01057743,0.02968948,-0.00928886,0.01953511,-0.00446470,0.02937889,-0.01174862,0.00230966,-0.01488810,-0.01467857,0.00312594,-0.01054737,0.02133615,-0.01320869,-0.00219128,-0.01924499,-0.01465562,0.00680101,-0.00762470,0.00907423,-0.01167316,0.00856143,-0.00701738,0.01444237,0.02481812,0.00432532,-0.01731229,-0.01703890,0.00687248,0.01153751,-0.00249931,0.03139576,0.01673157,-0.00686736,0.00136781,-0.00976889,0.01782270,-0.00452778,0.01010098,0.00677716,-0.02200025,0.00526040,0.02351429,-0.01021329,0.00232849,-0.00775710,-0.01134493,-0.01288689,0.02707811,-0.02555799,-0.00127463,-0.00488638,0.01792320,-0.02074732,0.00512575,0.00017018,0.01382425,0.00747670,0.01598638,0.02703151,-0.00246050,0.00466439,-0.00560547,0.00415408,0.00347644,-0.01083401,-0.00707039,0.02077922,-0.00302601,-0.00810068,0.00444329,0.01219005,0.04015907,0.01597279,-0.00985996
