strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00712647,-0.04261120,-0.00023539,-0.00781624,11.99030456,0.00420644,0.00114920,-0.00739285,-0.00128167,-0.00478658,0.00178204,-0.00626454,0.00239737,0.01160802,-0.00944234,0.00264432,0.00537824,-8.00304232,-0.01832226,-0.01629679,0.02062078,-0.00678447,0.01278001,-0.00206354,-0.01556411,-0.02048037,0.00867875,0.00416658,-0.01805715,-0.00952804,-0.00344295,-0.00667476,-0.00021869,-4.99956762,-0.00669334,0.00798406,-0.00333809,0.00699707,-0.01054308,-0.00298065,0.00820258,-0.00262968,0.02489006,0.00551390,-0.00731096,0.00836694,0.01600523,-0.00277680,0.01093468,-0.02418720,-0.00501387,0.00996146,0.00536966,-0.00287493,-0.01399453,-0.00721690,-0.00000480,0.00869565,-0.00657332,-0.00986997,-0.00653847,-8.00680683,-0.00980217,-0.01975017,-0.00962376,-0.02839115,0.01448485,-0.00405406,-0.00373860,-0.00312625,0.01685127,0.00718650,-0.00888718,-0.00074101,0.01645025,-0.00514199,0.01594997,-0.01039878,0.00149716,0.01857424,0.00036868,0.01436286,-0.01510326,0.01100058,0.00009940,0.00417518,0.00302535,-0.00459706,11.98114232,0.00366711,0.01394889,0.00470420,-0.01340751,-0.00599682,-0.00373779,-0.01722986,0.00548164,0.01703419,-0.01877438
0.01710096,-0.02525227,0.02688221,-0.02621556,11.99445515,-0.00343128,0.01098348,0.00995139,-0.00005057,0.02169338,-0.00105769,-0.01043892,-0.01346121,0.00972948,-0.00123416,-0.00399546,-0.00277895,-7.99754183,0.00265226,0.00037467,0.00846514,0.00875990,0.01733215,-0.01198748,0.03226727,0.00797305,-0.01214295,-0.01017310,-0.00853680,-0.01106545,0.02334927,-0.00762124,0.00229323,-4.99188440,-0.00183242,-0.00702032,0.00067532,0.00037542,0.01527105,-0.00257828,0.00637850,0.00352417,0.01018895,0.01453548,0.00129894,-0.01570042,-0.00401164,-0.01591392,-0.00970364,0.00910896,-0.00166984,0.01766936,-0.01118102,-0.02067264,-0.01338405,-0.01482171,0.01083043,-0.00486372,0.00941551,-0.02157686,0.01160331,-7.98660216,-0.01638371,0.00533443,0.01217046,0.01126018,-0.01791024,0.01390298,0.01140449,0.00791148,0.00910464,0.00386762,0.01925550,0.00865948,0.00482618,-0.00572760,-0.00608613,-0.00212882,0.01617881,-0.01441505,-0.02179259,0.00450041,-0.00193105,0.01299443,-0.00620400,-0.00131840,0.00433183,-0.00978177,12.03032469,-0.00198507,-0.03964715,0.01997814,0.00499169,0.02676900,0.00876407,-0.00573098,-0.01716064,0.02737283,-0.00431773
-0.00607964,0.00060768,0.00325518,-0.01413883,11.99228954,-0.00103321,-0.00680300,-0.00248639,-0.00328253,-0.00616775,-0.00897146,0.00261365,-0.00135936,0.00323479,0.00257780,-0.01545138,-0.00916041,-8.00249164,-0.00892664,-0.00084852,0.01955310,-0.00971669,0.00240657,-0.01800596,0.00175023,-0.02956822,-0.00895139,0.00326909,-0.00374826,-0.01488223,0.00014890,0.00004299,0.00032682,-4.98888431,-0.00403027,0.02675000,-0.01044630,0.02721456,-0.00014414,-0.00468223,-0.02126361,-0.00006131,-0.00565252,-0.00125983,0.00043217,0.00947358,-0.00760017,-0.00502608,0.00465928,-0.02143517,0.00016231,-0.01490050,0.00448783,0.00135191,-0.02383005,0.01137648,-0.00344609,-0.00092451,0.00850904,-0.00794213,-0.00904236,-8.00128466,0.01203444,-0.00583038,0.01906646,0.00666831,-0.00284165,0.00940272,0.03513142,0.01294586,0.02270272,0.01167233,-0.00251668,-0.00708809,0.00516409,0.00485807,-0.01426088,0.00244954,0.01166079,0.00141178,0.00677699,0.00005961,0.00417130,0.00755316,0.00121508,-0.00607473,-0.01831201,0.00807153,12.01331792,0.00229263,-0.01624292,0.00367679,-0.00998848,-0.00020479,0.00129033,-0.00734295,0.00946862,0.00460024,-0.01007657
0.00619133,-0.00362402,0.01239728,0.03496210,12.00240448,-0.00216625,0.00447616,0.01371177,0.00095142,0.00887834,0.00221084,-0.01189839,-0.02474792,0.00480601,0.00377802,-0.00230256,0.00846883,-7.98217345,-0.00351256,0.00658234,0.00249552,-0.00651096,0.00032829,-0.00029717,0.02532417,0.02051447,-0.02129956,-0.02100504,-0.02722010,0.00545642,-0.00902071,-0.00064826,-0.01782843,-4.98781876,0.01357790,0.00585017,0.00294454,-0.02745805,0.00570743,-0.01406988,-0.00292042,-0.00218057,0.00692903,-0.00319033,-0.01425130,0.01841414,0.00535357,-0.00736590,-0.00446781,-0.01669126,-0.01449681,0.01564598,-0.00142160,-0.00957670,-0.00588707,0.00639706,0.01330765,-0.00195119,-0.00992028,0.00643179,-0.01035093,-8.01651425,-0.02401160,-0.00230538,-0.00596630,0.00528850,0.01258244,0.00602598,0.02377678,0.00248845,-0.01153173,0.00543022,-0.00090634,0.00122259,0.00002896,-0.01816292,-0.00861812,0.00684167,0.01040808,-0.00444841,-0.00212690,0.00168022,-0.02663167,-0.00053662,0.00416990,-0.01631883,0.04539005,-0.00215450,11.99923550,0.00630552,0.00357398,0.01848915,0.00889974,-0.01686029,0.01226722,0.01451519,0.00168407,0.00723903,-0.03489968
0.01101582,-0.00469283,-0.00063713,0.01026324,11.98764714,0.00713448,0.00066101,-0.00658430,-0.00952695,0.01596860,0.00887497,0.00808542,-0.00716020,0.00016064,-0.00293460,-0.00256055,-0.00266354,-7.99324092,0.00369150,0.02971786,0.00400721,-0.00031865,0.00815519,-0.00917671,0.01740845,0.01176501,-0.01637199,0.00113838,-0.02473685,-0.00132022,-0.02068371,0.00157198,-0.00338139,-4.98999722,-0.00392296,0.02963297,-0.00013414,-0.00918103,-0.01349124,0.01190070,0.01529793,-0.00801176,0.00540279,-0.00218243,-0.02676580,-0.00418572,-0.01326358,0.00501886,-0.00143963,-0.01098342,-0.00947765,0.00737796,-0.00385042,0.00107118,0.02033300,0.01590165,0.00768969,-0.00737291,-0.01122281,0.01360492,0.00473434,-7.99614529,-0.01529148,0.02237061,-0.00253701,-0.00918067,0.03270887,0.00180495,0.01262285,0.01117839,0.00977784,-0.02524865,-0.01688395,0.00405673,-0.00102255,-0.01856404,0.01811070,-0.01071073,0.01578755,-0.00090831,-0.00677403,0.02444168,0.01282185,-0.00799766,0.00280421,0.01120865,-0.03166821,-0.00321997,12.01066050,0.02159429,-0.01576991,-0.01185941,0.00012224,0.00396342,-0.01908200,-0.00151821,-0.00713381,0.02191644,-0.00604035
-0.01146666,-0.00904288,-0.02519170,0.00713682,11.98954594,-0.00092876,0.00022008,0.01144552,0.01965378,0.01936941,0.00290304,0.01682352,-0.00259276,-0.00531597,-0.01641508,-0.02050393,0.00928588,-7.99639094,0.01817180,0.00633530,0.00230892,0.01051734,0.00206647,0.00085890,-0.00126664,-0.00802794,0.02025743,0.00037557,0.02289428,0.00085948,0.02231853,0.01323727,0.00984536,-4.99673251,0.01135198,-0.00683838,0.00512454,0.01482920,-0.01022330,0.00772493,-0.00973238,0.00447354,-0.00592327,-0.03395440,-0.03084339,0.01038382,0.00355585,-0.00187529,-0.00381714,-0.01218520,-0.02080042,0.00322803,0.00752191,-0.00044607,-0.01261544,0.00433844,0.00664162,0.01708907,0.00920768,0.00333599,0.00323381,-7.99300351,-0.00347676,0.00856472,0.01768543,0.00100470,0.01054157,0.00376263,0.01815820,0.00624496,-0.00204133,-0.00333940,-0.02018457,0.01448810,-0.00612539,-0.00520434,0.01164424,0.00476016,0.03637311,-0.00642334,-0.00927307,0.00492652,0.00805958,0.00765636,-0.01752329,-0.01821667,0.02412627,0.00452923,12.02451225,-0.00849522,0.02141866,-0.01274971,0.02476426,0.01896571,0.01241582,0.00304501,-0.00840195,-0.01643125,0.00394450
0.01171200,-0.02003464,0.01343204,0.01948717,12.01136046,-0.00688325,-0.01021818,0.00838800,-0.01700960,-0.00039707,-0.00446820,-0.01425824,0.01915085,0.00706335,0.00749213,0.00497560,-0.00162342,-8.00528490,0.00834680,0.00540086,-0.00099487,-0.00027412,-0.00706771,-0.00057656,-0.00939211,0.03888642,0.00266498,-0.00622748,-0.00267864,0.02312235,0.00001070,0.02270289,0.00886083,-4.99525015,0.00034937,-0.00215341,-0.00121936,0.00115301,0.01176589,-0.00408501,0.01257756,-0.01829833,0.00233334,-0.01269776,0.02300244,-0.00084573,-0.00016853,-0.00181387,-0.00878323,-0.01159365,-0.00392662,-0.00824164,0.00689579,-0.01004506,-0.00067519,-0.00909627,-0.01524805,0.01958750,0.01052030,-0.00388512,0.00831879,-7.99177553,-0.01691330,0.01004550,0.01328558,0.00648219,0.01137237,0.02138354,-0.02029889,-0.00280483,0.01095972,-0.00911927,0.00232697,0.00567452,0.01016231,-0.00558371,0.00560898,-0.00910181,-0.01128891,-0.01725563,0.00185808,-0.00919949,-0.03697016,-0.01690784,0.00553938,-0.01314381,-0.00709433,0.00089358,12.02315653,-0.00420256,-0.04446191,0.01074136,-0.02867316,-0.00751122,0.00592817,0.00347222,0.00441322,0.02053465,-0.02553019
0.00287600,0.00808306,0.01654135,0.01535302,12.01352346,0.00393086,0.01347323,0.00078151,-0.00645690,-0.03232357,0.01457052,-0.00395313,-0.01030833,-0.01091955,-0.00096821,-0.00510733,-0.01910452,-8.00869809,-0.00798362,0.01237811,0.00086355,0.01410522,0.00300291,-0.00533713,-0.00112329,-0.01709986,0.00208692,-0.01057970,0.02174619,0.00842177,-0.01277628,-0.01798614,0.01134764,-4.99700675,0.01623265,-0.00808008,-0.00353177,-0.00966217,0.01498909,-0.00991817,-0.00221208,0.00226683,-0.00387150,-0.00800627,0.01689385,0.02150958,0.02013971,0.02363489,0.00727483,0.01962606,-0.01136782,0.00573447,-0.02404829,-0.01179320,-0.00368798,-0.00683736,-0.01074090,0.01042335,-0.00065568,0.00263215,0.00181079,-8.00000471,0.01657673,0.00814056,0.01177186,-0.01353502,0.00975485,0.01425313,-0.06022370,0.01228428,0.01160098,0.00312473,-0.01628391,0.01712894,-0.01171109,-0.02584285,0.00763703,0.00112127,-0.01567182,-0.02183422,0.00971089,0.00631859,0.00211894,-0.01542642,-0.01463432,-0.00050497,0.00773459,-0.00748065,12.00255066,0.00464262,-0.00336767,-0.01013131,-0.01272146,0.00349491,-0.00678325,-0.02421844,-0.00749306,0.00587477,-0.00260476
-0.01255558,-0.00760758,-0.02226178,-0.01278756,11.99560015,0.00081507,0.00486805,0.01093090,0.00140291,0.02304231,-0.00761212,-0.00718557,-0.00466230,0.01398902,0.01582324,-0.01580783,-0.00583294,-8.00383729,0.00693833,0.01618104,0.01059209,-0.01272968,0.00572892,0.01643143,-0.00451962,0.00166585,-0.01888190,0.00484649,0.00141068,-0.00680843,0.00133554,0.01405745,0.00118200,-4.99914131,-0.01974111,-0.04975426,-0.00427176,0.00099199,-0.01138181,0.00362843,0.01357182,0.01177985,-0.00426953,0.02428606,-0.02247096,-0.01648580,0.03123873,-0.00891337,0.01590424,-0.03068116,-0.00068517,0.01286658,0.00022063,-0.00101579,0.01570527,-0.00157206,0.01019108,0.00865974,0.02087591,0.00588148,0.00964163,-7.99767075,0.00724985,0.00301451,0.01489116,-0.01397955,0.01722577,0.01964136,-0.01815709,-0.00365039,-0.00143648,-0.00109188,0.01102212,-0.00804849,-0.02251798,0.00823478,0.00118779,0.00028408,-0.00412775,-0.00596169,0.01525166,0.01501942,-0.01949947,-0.00670276,-0.00397874,-0.02133475,-0.00465542,0.01842906,12.01824600,-0.00791099,-0.04073950,0.00853526,-0.00838551,-0.00715146,0.02005160,-0.02383494,-0.00996649,0.00269865,0.00561740
-0.00388132,-0.01253545,0.00521837,-0.01196561,12.00253144,-0.00351352,-0.01535803,-0.00199095,0.01875678,0.01609987,0.01594324,-0.00591443,0.01897504,0.00831725,0.01239886,-0.03346921,0.01744605,-8.00090643,0.01489233,0.01233043,0.00350388,0.00513561,0.00284452,-0.01118471,0.00186801,0.02047448,-0.01969020,0.01069664,0.00728530,-0.00590921,0.00537302,-0.00824882,0.00162174,-5.00243422,-0.02933481,0.00231444,-0.00464624,-0.03263642,0.00906589,0.00213940,0.02562789,0.00238508,0.01097545,0.01366342,-0.01683421,0.02112487,0.01289802,0.00860590,-0.01242045,-0.00947940,-0.01828474,0.00544927,0.01512326,0.01711309,0.01463532,0.01224390,-0.01229301,-0.00112702,0.00684958,0.00490755,-0.00499936,-7.98539284,-0.01288734,-0.00764574,-0.00663374,0.00713605,0.01006309,-0.00131662,-0.01537501,0.00139613,-0.00206151,-0.00080563,-0.00615536,0.01612731,0.00152337,-0.01572249,-0.01177705,0.02077228,0.01385474,0.00090095,-0.02528425,0.01620334,-0.00469401,0.00237795,0.00495003,-0.01614323,-0.01852827,0.01547104,12.00450144,-0.01771652,-0.01099243,0.00024585,0.00635363,-0.00012020,0.00768593,-0.00429395,-0.00584850,0.02456295,0.01854981
