strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.00386976,-0.02877039,-0.01636011,0.00295812,-0.00344717,-0.00870966,0.01851752,0.00943030,-0.03221343,-0.01082708,-0.00274060,-0.01256248,-0.00259362,0.01351582,0.00348867,0.00211197,0.00516530,-0.01301111,-0.02219085,0.00202560,-0.00147381,-0.04776038,0.00136888,-0.01621411,-0.00791640,0.02065641,-0.02354067,-0.01381423,0.01485390,0.01377848,0.00394226,0.00541451,0.00243346,-0.00903164,-0.00593996,-0.03677238,-0.00618753,-0.02399848,0.01243371,0.01706028,-0.01348365,0.00593705,0.01354838,0.00787608,-0.01144058,-0.02075928,0.00639526,-0.02171309,-0.02399624,-0.00861584,-0.01496840,-0.01423683,0.00453508,0.03264691,-0.00915136,0.00094341,-0.01919981,4.39581568,0.01195944,-0.01626452,-0.01633361,0.03330058,-0.00519273,0.00118680,0.01015362,-0.00938279,0.01552379,-0.00338364,-0.01788172,-0.01042463,-0.00087936,-0.03716862,0.01486772,-0.01130792,-0.02778270,0.00865812,0.00398485,-0.00997523,0.01506186,-0.00658735,0.02537006,-0.01928480,-0.00459474,0.01764206,-0.00574702,0.00019605,-0.00209180,-0.01024490,-0.03627387,0.01316852,0.02330056,0.00637318,-0.01995421,0.01218404,-0.02315421,-0.01500183,-0.04772301,-0.02861350,0.01040461
-0.00839152,0.02729438,-0.01061246,-0.00908567,0.02860098,0.01024015,-0.00862177,0.01827477,-0.01703779,0.00449089,-0.00503110,0.02110013,0.00636519,0.02151934,0.00241239,0.06357764,0.01639623,-0.03929072,0.00427348,0.02232507,-0.00014278,0.01306885,0.00257728,0.00195646,-0.00357402,0.00611374,-0.02053125,-0.00274352,-0.02230982,-0.00014745,-0.00501850,0.01215098,-0.00419172,0.00102735,0.01402500,-0.01366033,0.01713275,-0.00962377,0.01742638,0.00677935,-0.01028404,0.01953688,0.00454985,0.01017767,0.02761961,0.00225973,0.01773086,-0.00634598,-0.00478069,-0.01238846,-0.01144406,-0.00387562,0.01523726,0.00399359,-0.00278366,0.00247922,-0.00930292,-0.00488644,0.04528740,0.00657099,-0.01136697,-0.01013999,5.33123745,-0.00898057,-0.00757362,0.00226038,0.01409410,0.01395365,-0.00819978,0.01325694,0.01516412,0.03163742,-0.01650067,-0.02092920,-0.01376738,0.01039255,-0.01632211,-0.00143131,0.00939580,0.00391327,0.00499230,-0.00295725,0.00206934,-0.03990613,0.00040752,-0.00907459,0.03894925,0.03144056,0.00170329,-0.02742798,0.00780957,0.00094314,-0.00304472,-0.01306859,-0.00196602,0.01433092,-0.01349618,-0.00453144,0.00715473
0.03098056,-0.01183317,0.00791892,0.00846395,-0.02325624,-0.00057679,-0.00456454,0.01559744,0.02619882,-0.02832176,-0.00726909,-0.00968906,-0.00945914,0.03213364,0.02885004,-0.01150679,-5.09981969,0.03324112,0.06188381,0.01894396,-0.00819761,0.00870720,-0.00567935,0.01729160,0.01168809,0.01031607,-0.00168445,0.04073354,0.00565434,0.00466749,-0.00396742,0.01672566,0.01809356,0.00265566,-0.01552146,-0.01268405,-0.00478741,-0.01753094,-0.01295947,0.02191885,0.02896287,-0.00150131,0.04135880,0.01268163,-0.00951251,-0.03896455,0.01128657,0.00374702,-0.01508935,-0.03513833,0.00383478,-0.00463067,-0.00377150,-0.01869668,0.02092819,0.01783371,-0.02088425,-0.04514680,-0.01814173,0.00636462,-0.00155966,0.00262448,0.00938218,0.00677819,0.00366194,0.01198903,0.00282371,-0.00553859,0.00408973,0.01509097,0.01143959,-0.00142965,0.01013306,-0.00074843,-0.01191785,0.01713996,-0.00796634,0.02345324,0.01197639,-2.25370863,-0.00160874,-0.01146270,0.01647754,-0.00011096,-0.01119180,0.00034658,0.02800707,-0.00326997,-0.01429316,-0.01529476,0.02197023,0.02852043,-0.00383775,-0.02624292,0.00436741,0.01367814,-0.03753330,-0.01215412,0.00000385
0.00930690,-0.01808188,0.03916670,0.02036509,-0.01163216,-0.01237347,0.00145220,-0.00914463,0.01563000,-0.03489276,-0.01353526,0.00583002,0.00064713,0.03335957,-0.00942080,0.00808181,0.01087039,0.01047329,-0.03133445,0.01630917,0.01057560,-0.00267184,-0.00890818,0.00412822,0.01914971,0.01698905,-0.01635300,0.03338851,0.03112202,-0.00463554,8.01596175,0.00824216,0.00421578,-0.00205822,-0.00380004,0.00855722,0.00516416,-3.11483030,-0.01808596,0.01000628,-0.02668637,-0.01834081,-0.00974692,0.01929601,0.01865545,-0.00597653,0.00637343,-0.01081464,-0.00044305,-0.00378108,-0.00362774,0.01935937,0.01094092,-0.01742783,-0.01823644,0.00748443,-0.00669035,0.04634538,-0.00363091,0.00821192,-0.00331842,0.00208055,-0.01012034,-0.02942616,-0.02949806,-0.01648784,0.00190819,0.00383924,0.01507086,0.02199162,-0.01088221,-0.01891381,-0.00215752,-8.94725432,-0.01540000,-0.01719075,-0.00994719,-0.00551328,-0.00527460,-0.01966746,0.00200508,0.02594498,-0.00652623,-0.01333596,-0.01359139,0.00412301,-0.00129918,-0.00222910,0.00866902,4.95243963,0.00230359,0.01277073,0.01615028,0.01104587,0.02725203,0.00553291,-4.12833534,0.00116580,-0.00298355
0.01690333,-0.01415723,0.00628296,0.00383689,0.00549321,-0.00284243,-0.01198406,-0.00037616,0.01527591,-0.03234012,-0.00570266,0.00494170,-0.00271394,0.02477128,-0.01452529,-0.00070722,-0.02440682,0.01257947,-0.02030614,-0.00900926,-0.00659758,-0.01376571,0.02725105,0.01616648,0.01145744,0.04531304,-0.01804189,-0.02385353,-0.00076629,-0.00239961,0.00725698,0.06635074,0.00357343,-0.00886600,0.00400005,-0.03270055,0.00213445,0.00171862,0.00024716,-0.00805880,-0.00013192,0.00184391,0.00813636,0.00448690,-0.02127120,-0.01665866,0.01799738,-0.00400723,-0.00804549,0.01214982,-0.02130650,-0.02871530,-0.04162807,6.32201907,0.04890871,0.00238565,0.00094098,0.00994680,0.01928782,0.02694035,0.01508574,0.00783633,-0.00968061,-0.01936857,-0.00767065,0.00998293,-0.00327180,0.02263212,-0.00045226,0.00150243,-0.00272867,-0.02068978,0.00154405,-0.01327572,-0.01771757,-0.00432819,-0.00021939,-0.01490514,0.02791430,-0.02184346,0.00320640,0.03926823,0.00593840,0.01902205,0.01405903,0.00724486,-0.02084644,0.00623042,-0.00579564,0.00185095,0.00803313,0.01735565,0.00258639,-0.01012043,-0.00036626,-0.00136228,-0.02049976,0.01886894,0.00458161
-0.00372220,0.02107243,0.00173414,0.00201558,0.03746842,-0.03205495,-0.00268321,0.01046212,0.04377055,0.02801036,0.00132281,-2.83591125,-0.00679613,-0.00058938,-0.01423945,-0.01378854,-0.00061590,0.00820376,0.00941029,0.04665265,-0.02314880,0.01586249,0.00994477,0.01048207,0.00994506,0.03037244,0.01616383,-0.00734809,0.00149896,0.00507525,-0.00640578,0.00457394,0.01211159,-0.00869518,-0.00883732,-0.01514918,-0.00528392,-0.01549322,0.00133288,-0.01799905,-0.00299728,-0.01331312,0.00262290,0.01225316,-0.00084324,0.00190267,-0.00092052,0.00378128,-0.01401736,-0.01272213,-0.01025584,-0.01350248,0.00469147,-0.01465391,0.00098397,-0.00486580,0.01405934,0.01016682,-0.02216822,-0.02538031,0.01058405,0.02834875,-0.00061506,2.87180868,0.00976237,-0.00082865,0.00427438,0.00481953,0.01518919,0.02199253,0.03344222,-0.00439389,-0.02112760,0.00333103,-0.00473877,0.00432253,-0.00164052,0.00062274,0.00397843,-0.00169352,0.01191347,-0.00995819,-0.01216538,-0.02789118,0.02286128,0.00443140,0.01646469,0.00880533,-2.89049159,-3.06248603,-0.00615819,-0.00559824,3.66732893,-0.01751918,-0.00168413,0.00779199,-0.00912063,0.01374891,0.01517025
0.00148951,0.03499563,-0.01844158,-0.00965705,0.01835880,-0.01713633,-0.00773413,0.00166051,0.01108545,-0.01735646,0.00159121,0.01013369,-0.00379505,0.04009341,-0.04002683,-0.02367428,-0.00536583,-0.00733178,-0.02084300,-0.02107479,-0.01360381,0.02590911,0.00055500,0.00554237,-0.00690008,-0.00134068,0.00724517,0.02698426,-0.01632697,0.00762313,0.00954490,-0.00649709,0.00636476,-0.00018325,-0.00523185,0.02648377,-0.00026796,-0.01505981,-0.00140503,-0.02384616,-0.01811150,0.01122898,0.01892704,-0.00571593,-8.68556405,0.07173335,-0.00712218,0.00060645,0.00549789,0.00336619,-0.00968552,0.00472169,0.01483752,-0.00583200,-0.00632079,0.02206082,0.01282980,-0.00269660,0.01645761,-0.05151035,-0.00363868,-0.02253713,-0.01784300,-9.69626294,-0.01324705,-0.00404610,0.00783250,0.03321074,0.00975167,-0.00452922,0.01411898,0.01363927,-0.02083734,0.00468982,-0.00158005,-0.00244622,-0.01661555,0.00920966,0.02322000,0.01361691,-0.02302678,0.00204101,0.00299500,-0.00078718,0.01218245,0.02855324,0.01520383,-0.00809902,-0.00431528,-0.00100492,-0.00000290,0.00045703,-0.00238424,0.01131392,0.01324054,0.01452152,-0.00354416,6.94143976,0.02445193
-0.00676612,-0.01128085,-0.01645562,0.00339523,-0.03009825,-0.00536786,-0.01153576,0.02558025,0.01129234,0.02761493,0.00644068,0.00585807,0.01411679,0.01353604,-0.00469684,0.01851234,0.02987085,0.00983481,0.01534661,0.00368325,-0.01381038,-0.00326325,0.00783232,0.00400745,-0.00878819,0.00670783,-0.00802987,0.01347051,0.01182848,0.00236419,0.00445251,0.00748232,-0.00944566,-0.00052106,0.00726755,0.00070688,0.00043068,-0.00671213,-0.00633273,0.00145618,0.05283984,0.01942522,0.02064268,-0.00040340,-0.00156652,-0.02210079,0.00217263,-0.00953680,-0.01404661,0.01205228,0.01672765,-0.02478183,-0.03201563,-0.00619578,-0.03634707,0.00945095,-0.02124106,0.00990144,-0.02486816,0.00541119,0.00304439,0.00315483,0.00662719,-0.00181051,-0.00177884,-5.07737408,0.03835218,0.00045891,0.00665949,-0.01799491,0.01358439,-0.00388517,0.00715503,-0.02402110,-0.01030434,0.00552285,-0.01471726,-0.00428657,0.01904372,0.00362559,-0.00269062,-0.00427087,0.01826038,0.01488725,0.00196689,-0.00914997,0.01853091,0.02966840,-0.00100769,0.03175233,-0.00203611,-0.00360573,-0.00720920,0.01560340,-0.00493023,0.01446350,-0.00358288,-0.01972605,0.00509104
0.02171975,0.00258657,-0.00793340,-0.00054654,-0.00396312,-0.00699439,0.01217696,-0.03065010,0.05063383,-0.01105454,-0.01019218,-0.02177884,-0.01932638,-0.00684191,-0.00494882,-0.02252714,-0.01587092,0.01023401,-0.02111530,-0.00079026,-0.00960691,-0.01440913,0.00863699,0.00128987,0.03479524,-0.03818333,-0.01792257,-0.02143114,0.00366743,-0.00757912,-0.02484768,0.01020114,0.00477323,-0.00381340,-0.00325677,0.02814560,-0.03078113,0.01382358,-0.02342806,0.00286583,0.00955673,0.00168870,0.00682166,0.00202283,-0.02188914,0.02889698,0.01448020,-0.00235900,8.33032733,-0.01022823,-0.01347225,-0.03959400,-0.02505769,-0.00488631,0.05468448,-9.09462664,0.00547426,-0.00360906,-0.02549995,-0.01959088,0.01185183,-0.03744785,0.00724089,-0.01919508,-0.00930978,-0.00469052,0.02773848,0.01595053,0.00438395,0.00616858,-0.00279741,-0.02272337,-0.02341484,0.00135429,-0.00683824,0.01161820,0.01203247,0.00932082,-0.01463539,-0.00406662,0.00869014,0.00317173,-0.00108173,0.02226747,-0.01277902,-0.02299677,-0.03143241,-0.01500047,-0.01298452,0.00337334,0.01188694,-0.00281955,-0.00084917,0.00493856,-0.00250123,0.00346996,-0.00210757,-0.01804286,-0.00439582
0.00752641,-0.00411927,0.00821052,-0.02364906,-0.02149415,-0.00602323,0.00640835,0.00404034,0.00673724,-0.01048999,0.01280602,-0.00265488,-0.01561271,0.02093840,0.02214300,0.02949594,-0.01822002,0.01071786,-0.01109395,0.01349848,-0.02383479,-0.01279450,0.00273249,-0.01796463,-0.00772350,0.00038874,0.00037239,0.00538369,-0.00007509,0.02205254,-0.01012596,-0.02417197,-0.01706269,-0.00302353,0.01337695,-0.00644474,-0.01217321,-0.00987659,-0.04714221,0.00380838,-0.01347792,0.00151496,-0.00486410,0.01663534,0.01856065,0.02483276,-0.00556963,4.20115520,-0.01296713,0.00919093,-0.01580005,-0.00996839,-0.01542837,-0.02669123,-0.00983451,0.00243663,0.01918874,-0.03373228,0.00949844,0.05025818,-0.00858295,0.00111512,0.01141537,-0.00538148,0.01482558,-0.01458069,-0.00901637,-0.02279523,0.00946202,-0.02201305,0.01723394,0.00545916,0.00392018,-0.04406350,0.01100053,-0.01284318,-0.00850918,0.00785673,0.01698373,-0.00718919,-0.00593147,-0.00414034,0.00714128,-0.01605768,0.01353397,0.00824570,-0.02035189,0.00382462,-0.01951861,-0.00562840,-0.00860632,0.00068648,-0.00598341,-0.00272413,-0.01701053,0.00647578,0.01159298,-0.02498567,0.00468087
