strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.01032985,0.00156541,0.01072294,0.00748741,0.02153464,-0.01122294,-0.00156379,0.01396394,0.00618434,0.02509165,-0.00820320,-0.00175149,0.01618228,0.00127601,0.02582525,-0.01208547,0.00157659,0.01594338,0.00478481,0.02269734,-0.00709951,0.00053453,0.01473916,0.00486857,0.02202750,-0.00802022,-0.00071281,0.01569223,0.00828346,0.02363670,-0.01105365,-0.00110847,0.01644395,0.00329218,0.02354539,-0.00986997,0.00031802,0.01131142,0.00654118,0.02208682,-0.01166377,-0.00024678,0.00978187,0.00935421,0.02130275,-0.01041863,0.00043280,0.01588625,0.00524563,0.02864783,-0.00633054,-0.00029730,0.01767107,0.00403441,0.01974622,-0.00658544,-0.00288605,0.01521310,0.00647618,0.02178222,-0.00920483,-0.00089469,0.01675254,0.00231692,0.02352572,-0.01127264,0.00071336,0.01287586,0.00620772,0.02590816,-0.01107156,0.00349274,0.01372123,0.00139938,0.02616470,-0.01081337,-0.00144032,0.01158414,0.01161739,0.02304983,-0.00377672,-0.00111790,0.01454195,0.00158590,0.02864951,-0.01278194,-0.00010967,0.01651868,0.00673314,0.02379984,-0.00930766,-0.00177242,0.01269775,0.00740529,0.02873474,-0.01354014,-0.00023989,0.01533966,0.00639033
-0.00795883,0.00898754,0.02136999,-0.00701174,-0.00784534,-0.01022573,0.00625564,0.02443705,-0.00603861,-0.00771280,-0.00699804,0.00566353,0.01939328,-0.00885283,-0.00648292,-0.00975641,0.00526334,0.02642713,-0.00649335,-0.00985694,-0.00938960,0.00928323,0.02319707,-0.01115458,-0.01035916,-0.00640513,0.00457951,0.01914902,-0.00605083,-0.00952346,-0.00981261,0.00375640,0.02327463,-0.00980499,-0.00921039,-0.00759013,0.01154062,0.02152510,-0.00813883,-0.00867005,-0.01062696,0.01244006,0.01803071,-0.00709696,-0.01039489,-0.00614452,0.00633692,0.02342819,-0.00990231,-0.00421686,-0.00546982,0.00612983,0.02108903,-0.00899224,-0.00880848,-0.00577865,0.00733523,0.02154290,-0.00895455,-0.01113467,-0.00765746,0.00613039,0.02307971,-0.00737908,-0.01277882,-0.01182840,0.00625767,0.02044447,-0.00525558,-0.01100769,-0.00977413,0.00559320,0.02357560,-0.01328934,-0.00477259,-0.01095886,0.00380095,0.02036716,-0.00520929,-0.01241518,-0.00333706,0.00534442,0.01984261,-0.00678625,-0.00806646,-0.01124574,0.00531170,0.02420620,-0.00556213,-0.00826317,-0.01096910,0.00562810,0.01996531,-0.00938471,-0.00519050,-0.01227692,0.00830106,0.02042763,-0.00715330
0.01790216,-0.00074932,-0.00492433,-0.01363832,0.03040585,0.01525061,-0.00421765,-0.00575592,-0.01237317,0.02933112,0.01458433,-0.00582733,-0.00633613,-0.01734056,0.03188082,0.01193431,-0.00708161,-0.00563889,-0.01269162,0.03255968,0.01364749,-0.00323536,-0.00827018,-0.01391234,0.02699372,0.01643885,-0.00730290,-0.00652876,-0.01214435,0.03038070,0.01355772,-0.00506615,-0.00154121,-0.01660107,0.03308180,0.01312197,-0.00003931,-0.00451800,-0.01121420,0.02848570,0.01210684,-0.00166400,-0.00534897,-0.00904961,0.02740641,0.01592273,-0.00673755,-0.00439277,-0.01541298,0.03336250,0.01938113,-0.00428056,-0.00302796,-0.01267115,0.03003961,0.01826325,-0.00482202,-0.00741154,-0.01097406,0.02767342,0.01152196,-0.00784773,-0.00080887,-0.01544851,0.02993457,0.01413216,-0.00629245,-0.00827273,-0.00996284,0.03091305,0.01253753,-0.00434608,-0.00549894,-0.01490783,0.03373680,0.01240140,-0.00732124,-0.00874002,-0.00649348,0.02823879,0.01910188,-0.00766285,-0.00751343,-0.01360690,0.03173672,0.01283872,-0.00458274,-0.00592728,-0.00848006,0.03052399,0.01335443,-0.00610472,-0.00873553,-0.00727943,0.03150435,0.01018724,-0.00160722,-0.00777372,-0.01313987
0.00019572,0.03872433,0.00498503,0.00717136,-0.00144207,-0.00275649,0.03659411,0.00530063,0.00762864,-0.00076050,-0.00375841,0.03615457,0.00600624,0.00540964,0.00080464,-0.00273195,0.03679006,0.00743763,0.00970447,-0.00180568,0.00009999,0.04034784,0.00797326,0.00458808,-0.00361425,0.00029012,0.03428466,0.00589047,0.00758093,-0.00464382,-0.00299233,0.03554456,0.00608363,0.00614941,-0.00224927,0.00193508,0.04099337,0.00666906,0.00778514,-0.00428041,-0.00408686,0.03995814,0.00485177,0.01042609,-0.00552443,-0.00029625,0.03630171,0.00323146,0.00836278,-0.00097659,0.00243392,0.03758003,0.00578920,0.00456042,-0.00448302,0.00121381,0.03857893,0.00112317,0.00693040,-0.00539710,-0.00164296,0.03673902,0.00575282,0.00468168,-0.00412694,-0.00629984,0.03967788,0.00324540,0.00778114,-0.00071476,-0.00469642,0.04055600,0.00457936,0.00463325,-0.00054387,-0.00523820,0.03790935,0.00246923,0.00440060,-0.00615723,0.00053874,0.03598700,0.00312867,0.00718451,-0.00018502,-0.00360993,0.04215957,0.00806194,0.00930315,-0.00225294,-0.00583946,0.03988489,0.00398784,0.00869593,0.00349978,-0.00267373,0.03827948,0.00576995,0.00850761
0.01304991,0.00520531,0.02203701,-0.00430082,0.01326708,0.00784889,0.00019176,0.02664280,-0.00440224,0.01143164,0.01079437,0.00094130,0.02497769,-0.01302604,0.01361568,0.01233753,-0.00058352,0.02760996,-0.00708487,0.01604556,0.00923514,0.00267468,0.02466546,-0.00687770,0.01399224,0.01532717,-0.00314325,0.02116436,-0.00854960,0.01102428,0.01105698,-0.00153354,0.02789012,-0.00781936,0.01378547,0.01209913,0.00526313,0.02452505,-0.00565981,0.01019328,0.00944578,0.00345203,0.02002312,-0.00546895,0.01137555,0.01365994,0.00122878,0.02420578,-0.00809227,0.01517999,0.01583599,0.00106525,0.02518913,-0.00751561,0.01193141,0.01486767,-0.00038215,0.02198351,-0.00820821,0.01393820,0.00911568,-0.00112088,0.02783215,-0.00770546,0.01042354,0.00883667,-0.00078709,0.02258646,-0.00576520,0.01447823,0.00941943,0.00158635,0.02482717,-0.00691322,0.01667889,0.00664118,-0.00085042,0.02328844,-0.00294216,0.01238538,0.01552083,-0.00090430,0.02584037,-0.00592789,0.01716520,0.01172794,0.00345033,0.02361612,-0.00676856,0.01377497,0.01225964,0.00162459,0.02338568,-0.00250856,0.01853399,0.00562894,0.00324041,0.02484993,-0.00818959
0.00916083,0.01734930,-0.00084008,-0.03353135,-0.02286764,0.01290734,0.01360712,-0.00112797,-0.03550772,-0.02236198,0.01329871,0.01247060,-0.00226662,-0.03647584,-0.02270808,0.01088706,0.01030502,-0.00139576,-0.03393572,-0.02251012,0.01019358,0.01822548,0.00034237,-0.03391855,-0.02576054,0.01767096,0.01435138,-0.00340808,-0.03483032,-0.02331706,0.01268931,0.01289245,0.00064973,-0.03462343,-0.02061454,0.01248445,0.01824384,0.00069577,-0.03682244,-0.02242970,0.01120124,0.01632222,-0.00471582,-0.03339243,-0.02373009,0.01197934,0.01417575,0.00041605,-0.03958382,-0.01663561,0.01503468,0.01592530,0.00069821,-0.03458592,-0.02631821,0.01408480,0.01604329,-0.00204779,-0.03473915,-0.02296019,0.01023438,0.01301417,-0.00214360,-0.03524186,-0.02398646,0.00917262,0.01349392,-0.00251079,-0.03255655,-0.02127018,0.01044978,0.01770553,-0.00241507,-0.03465347,-0.02069536,0.01108288,0.01417004,-0.00591339,-0.03184744,-0.02320758,0.01542449,0.01542656,-0.00208528,-0.03660518,-0.01690192,0.01051353,0.01811145,-0.00005393,-0.03275671,-0.02230390,0.00929139,0.01445233,-0.00209262,-0.03296753,-0.01900432,0.01004120,0.01640714,-0.00453469,-0.03339643
0.01413705,-0.00236469,-0.00688727,-0.00177662,-0.01882495,0.01164638,-0.00728430,-0.00634341,0.00444958,-0.01918609,0.01531922,-0.00712364,-0.00308934,-0.00465367,-0.01796308,0.01504144,-0.01094383,-0.00618830,0.00134490,-0.01733614,0.01399545,-0.00405046,-0.00302362,-0.00264620,-0.01827012,0.01749506,-0.00856202,-0.00709993,0.00004959,-0.02089026,0.01156103,-0.00781347,-0.00437202,-0.00106774,-0.01817657,0.01293137,-0.00229331,-0.00451270,0.00188013,-0.01869384,0.01264571,-0.00699075,-0.00870843,0.00491885,-0.01827348,0.01772488,-0.00822828,-0.00837585,-0.00362219,-0.01512369,0.02002547,-0.00640750,-0.00605382,0.00128436,-0.01888941,0.01681926,-0.00856293,-0.00288762,-0.00206374,-0.02099795,0.01266429,-0.00379253,-0.00477319,-0.00335771,-0.01954133,0.01176038,-0.00927969,-0.00388811,0.00215151,-0.01604259,0.01521910,-0.00441375,-0.00612004,-0.00366907,-0.01404727,0.01253492,-0.00934828,-0.01113640,0.00669299,-0.01894777,0.01595342,-0.00882280,-0.00509180,-0.00279697,-0.01517359,0.01429918,-0.00327326,-0.00080966,-0.00308251,-0.01589324,0.01290860,-0.00797053,-0.00385859,0.00007823,-0.01426080,0.01246793,-0.00165652,-0.00472367,-0.00230954
-0.00397703,0.01740663,0.00763434,-0.00896893,0.00787247,-0.00859631,0.01773628,0.00945467,-0.00767228,0.01166795,-0.00752180,0.01365223,0.00803462,-0.01361259,0.01147008,-0.00920014,0.01254570,0.00835310,-0.00923659,0.00697387,-0.00644325,0.01941322,0.00815094,-0.01258921,0.00640482,-0.00328473,0.01396108,0.00498544,-0.01030457,0.00624561,-0.01134154,0.01545777,0.01117314,-0.01078792,0.00911682,-0.00623976,0.01900609,0.00708313,-0.01048895,0.00709801,-0.00905707,0.01783228,0.00588138,-0.00837995,0.00641329,-0.00703612,0.01584900,0.01141468,-0.00967623,0.01152750,-0.00303192,0.02025492,0.00772550,-0.00900320,0.00632241,-0.00653364,0.01797577,0.00579749,-0.00824840,0.00843439,-0.00659025,0.01595020,0.00927005,-0.00893750,0.00826982,-0.01179101,0.01455855,0.00810202,-0.00712066,0.00736505,-0.01095878,0.01867843,0.00760543,-0.01086659,0.00859363,-0.01184805,0.01388367,0.00443950,-0.00390953,0.00867467,-0.00711762,0.01108367,0.00634194,-0.01118473,0.00963189,-0.00945886,0.01731505,0.01000181,-0.00798131,0.00555573,-0.00987220,0.01477528,0.00496759,-0.00725937,0.01318937,-0.00916250,0.01783594,0.00293961,-0.01007190
0.01231649,0.00381565,0.02411153,0.01847638,0.01305711,0.00751090,0.00527542,0.02516542,0.01871727,0.01432335,0.01271137,0.00329830,0.02394550,0.01522460,0.01250819,0.01002479,0.00037078,0.02466181,0.01886519,0.01417030,0.01280128,0.00556277,0.02508231,0.01706970,0.01250547,0.00971138,0.00107030,0.02054968,0.01938618,0.01127342,0.00781501,0.00004774,0.02581637,0.01612522,0.01150244,0.01411578,0.00513137,0.02919805,0.01703526,0.01154086,0.00967813,0.00376972,0.02263643,0.02100006,0.01063388,0.01165138,0.00227143,0.02533505,0.01734543,0.01405574,0.01558773,0.00590637,0.02696008,0.01779150,0.00953501,0.01474131,0.00318166,0.02538195,0.01478323,0.01137769,0.01170151,0.00236100,0.02902299,0.01195415,0.00666491,0.00718799,0.00376779,0.02675260,0.01945756,0.01216519,0.01081042,0.00432724,0.02608173,0.01548507,0.01464543,0.00848835,0.00114735,0.02021127,0.02137009,0.01201299,0.01189638,0.00227217,0.02439458,0.01300569,0.01630163,0.00583981,0.00756722,0.02711412,0.01853804,0.01056450,0.01015159,0.00443617,0.02220327,0.01778341,0.01583233,0.00794734,0.00574657,0.02228845,0.01934127
0.00941035,-0.00956517,-0.01020256,-0.00174310,0.01082834,0.01182984,-0.01167735,-0.00578283,-0.00227106,0.00924403,0.01155304,-0.01062883,-0.00548302,-0.00618702,0.01347202,0.00933431,-0.01316301,-0.00492048,-0.00397385,0.01129904,0.00981647,-0.01053804,-0.00467057,-0.00294019,0.01141416,0.01457311,-0.01418014,-0.01031548,-0.00284564,0.01083499,0.00758165,-0.01436165,-0.00393093,-0.00580852,0.01338357,0.01117185,-0.00985715,-0.00871048,-0.00171930,0.00826729,0.00847944,-0.01335517,-0.00738966,0.00048943,0.01131323,0.00938668,-0.01187171,-0.00660827,-0.00152765,0.01599109,0.01633386,-0.01060127,-0.00557426,-0.00352149,0.01121327,0.01321395,-0.00970260,-0.00779937,-0.00377027,0.01026107,0.00909494,-0.01406859,-0.00512636,-0.00616438,0.00950551,0.00950331,-0.01226900,-0.00624429,0.00061629,0.01240188,0.00905420,-0.01075047,-0.00695650,-0.00482413,0.01212756,0.00597965,-0.01692627,-0.00854548,-0.00028824,0.00936753,0.01622202,-0.01337389,-0.00950287,-0.00602618,0.01687525,0.00497930,-0.01090099,-0.00360555,-0.00112731,0.01461969,0.00764253,-0.01211880,-0.01128325,0.00074000,0.01337501,0.00374960,-0.00719445,-0.00667491,-0.00343407
