strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00000000,0.00000000,0.00000000,0.04866655,-0.03031563,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00317751,0.02201464,0.00000000,-0.04399461,0.01397721,-0.00962541,0.00000000,0.00000000,0.00000000,0.00000000,-0.04082280,0.00000000,0.00000000,0.00000000,0.03644870,0.00000000,0.02763765,0.01335637,0.00000000,-0.04146692,-0.00781809,-0.01296213,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05999826,0.00000000,0.04741935,0.00000000,0.00000000,0.00000000,0.00000000,-0.01000217,0.00000000,-0.01872773,-0.00408952,0.00000000,0.04325722,0.00000000,-0.05394207,0.04057435,0.00650666,0.00000000,0.00000000,0.00000000,0.01727887,0.05074452,0.00000000,0.00000000,0.00000000,0.00000000,-0.04069864,0.00000000,0.00000000,0.00000000,0.00000000,-0.01537074,0.00000000,0.00000000,-0.08976240,0.00000000,0.00000000,0.00000000,0.00821834,0.00000000,0.00000000,0.00000000,0.00000000,-0.01731872,-0.04782831,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01439389,-0.04909193,0.00000000,0.00000000,0.03743492,0.00000000
0.00000000,0.00000000,0.05676135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00665689,0.00000000,-0.05941886,-0.01616100,0.00000000,0.00000000,0.00000000,-0.00953558,0.00000000,0.00000000,0.00000000,0.00000000,-0.00315255,0.00000000,0.00000000,0.00000000,-0.01065636,0.00000000,0.00000000,0.00580251,0.01880084,0.00000000,0.00000000,0.12231758,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00417560,0.02303845,-0.03183004,0.00000000,-0.06052664,0.00000000,-0.04218077,0.00000000,0.00000000,-0.03467473,0.00000000,0.00000000,0.00000000,0.05100843,0.04257366,-0.06382087,0.01699670,0.00000000,0.00000000,0.00000000,0.00000000,-0.00554773,0.03223529,-0.03135994,0.00000000,-0.02706352,-0.01748394,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03588935,0.00000000,0.00000000,0.02917367,-0.02786760,0.05699638,0.00000000,0.00000000,0.00000000,0.00000000,-0.00952957,0.03506957,0.00000000,0.01233631,0.00000000,-0.02664886,0.00128028,0.00000000,0.01173129,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00271498,0.04508288,0.00000000,0.00000000,-0.01766723,-0.02225344,0.00000000,0.00000000,-0.03340496,0.00000000,0.00000000,0.00000000,0.00000000,-0.00323799,-0.00759395,0.00405952,0.00000000,0.00000000,0.03150463,0.00000000,0.00000000,-0.01167433,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02298818,0.00000000,0.00000000,0.00000000,0.00000000,0.02358917,0.00000000,0.00000000,0.00000000,0.06143174,0.00000000,0.06704916,0.02111821,0.00000000,0.10678575,0.00000000,-0.00315055,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01209124,0.00000000,-0.06181592,0.00000000,0.00000000,0.00000000,0.00000000,-0.03528124,0.00000000,0.00000000,0.00000000,0.00645664,0.00000000,0.00000000,-0.02859069,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03371182,0.00000000,0.02204481,0.00000000
0.05802089,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01670327,0.02038981,-0.00426836,0.00000000,0.00000000,-0.03065549,-0.00585248,-0.03898953,0.00000000,0.01706890,0.00000000,0.00000000,0.00000000,0.00000000,-0.02169299,0.00000000,-0.00162637,0.00974317,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03697340,0.00000000,0.00000000,0.03796599,0.00000000,0.05175147,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04837220,0.00000000,0.00000000,0.00000000,0.00000000,0.02714198,0.00000000,0.00000000,0.00000000,-0.02872402,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07710277,0.00000000,0.00000000,-0.10790556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09885138,0.02045136,0.00000000,-0.00063553,-0.00294554,0.00000000,0.02935251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02399381,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02365462,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00367781,0.02771140,0.00000000,0.00000000,0.00000000
0.05540356,0.00000000,0.02426892,0.00000000,0.00000000,0.14442348,0.00000000,0.02294027,0.00000000,0.00000000,0.00000000,0.00000000,-0.04603633,0.01583281,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01713566,0.00000000,0.00000000,0.00000000,0.00000000,0.03131926,-0.05707879,-0.02355879,0.00997199,0.00000000,0.00000000,0.00000000,0.00000000,0.03759619,0.00000000,0.00000000,0.00000000,0.00000000,-0.04447775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07044465,0.00000000,0.00000000,0.00000000,0.01021438,0.00000000,0.01391257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00414796,0.00000000,0.00000000,0.00000000,0.02535164,0.02617914,0.00000000,0.00000000,0.02845850,0.00000000,0.00000000,0.00000000,0.00000000,0.05893905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02336363,0.00000000,0.00000000,0.00000000,-0.00114296,0.03968561,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00146835,0.02235747,0.00000000,-0.00476617,-0.04008294,0.00000000,0.00000000,0.00000000,0.03876321,0.00000000,-0.03326439,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.04353474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03939985,0.00000000,0.00000000,0.00000000,0.13951097,0.00000000,0.00000000,0.00000000,-0.03230292,0.04388464,0.00000000,0.00000000,-0.00251508,0.00000000,0.00000000,0.00000000,0.00000000,-0.04826263,0.00000000,0.00000000,-0.09069948,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02256034,0.00000000,-0.01077013,0.00000000,0.00000000,-0.02970095,0.00000000,0.00000000,0.00000000,0.00919959,0.00000000,0.00000000,0.00000000,0.00000000,0.01515128,0.00000000,0.00000000,0.00356143,0.00000000,0.00000000,0.01441308,-0.01513100,-0.05691973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06181667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02698229,0.00457183,0.00000000,0.00000000,0.05257943,0.00000000,0.00000000,0.00000000,0.00000000,0.03377438,0.00000000,0.00000000,0.00000000,-0.02069524,0.03014009,0.03177528,0.00000000,0.00000000
0.00913745,0.00000000,0.00000000,0.00000000,0.00000000,0.00406195,0.00000000,0.00000000,0.00000000,-0.02046977,0.01453485,0.00000000,-0.02600837,0.00000000,0.00000000,0.00000000,-0.03242641,0.02946014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00853069,0.00000000,0.00000000,0.00000000,0.00000000,0.03041367,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02352622,0.00000000,-0.01169211,0.00000000,0.00000000,-0.02434687,0.00000000,0.00000000,0.00000000,0.00000000,-0.09541793,-0.13919879,0.00000000,0.00063304,0.00000000,0.00000000,0.00000000,0.00000000,0.01342666,-0.00040062,0.00000000,0.00000000,0.02872123,0.00000000,0.00538655,0.00819866,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00476648,0.01581226,0.00113655,0.00000000,0.00000000,0.04953024,0.00000000,0.00000000,0.00000000,0.00000000,0.03218938,-0.04583903,0.00000000,0.00000000,0.00456926,0.00000000,0.00493934,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01560189,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03331353,0.00000000
0.00000000,0.00000000,0.00643605,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00596133,0.00000000,0.00000000,0.00000000,0.00000000,-0.01204993,0.00000000,0.00000000,0.00000000,-0.03488639,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04120408,0.07450723,0.00000000,0.00000000,0.00000000,-0.01236865,-0.04152380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01757401,0.00000000,0.00000000,0.00000000,0.00000000,-0.03891988,0.00000000,-0.01946597,0.06496899,0.00000000,0.00094379,0.03552940,0.00000000,0.00000000,0.00000000,-0.04437322,0.00000000,0.00000000,0.00000000,0.04691373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03284557,0.00000000,0.00000000,0.00042829,0.02149917,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01120289,-0.00177011,0.03686538,0.00134973,0.00945287,0.11384922,0.00000000,-0.01869067,-0.00512882,0.00000000,0.01253711,0.00000000,-0.02355464,0.00000000,0.00000000,-0.04245321,0.00000000,0.00000000,-0.03149581,0.00000000,0.00000000,0.00000000,0.00000000,0.02823117,-0.04376807,0.00000000,-0.03140089
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01335656,0.05039161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01400257,0.00000000,0.00000000,0.00000000,-0.12968282,0.00000000,0.01494135,0.00000000,0.07034411,0.00000000,0.00000000,0.02218659,0.00000000,-0.06010867,0.00000000,0.00000000,0.00000000,-0.01387446,-0.02506418,0.00000000,0.00000000,0.02239058,0.00000000,0.00000000,0.01925869,0.00000000,0.03202551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00395038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00809179,-0.04623367,-0.06052521,-0.03767019,0.00000000,0.00000000,-0.01219817,-0.00328633,0.00000000,0.03023531,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01732891,0.05022764,0.00000000,0.03101110,0.00000000,-0.00356017,0.00000000,0.02224666,0.00000000
0.00000000,0.00000000,0.00000000,0.05005832,0.00000000,0.00000000,0.00000000,0.03877574,-0.01912601,0.08842198,0.00000000,0.00000000,0.00000000,0.01395125,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09101267,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03276942,0.00000000,-0.00062351,0.00000000,0.00000000,0.00280892,0.03372086,-0.00574302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02177644,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03954063,-0.02310185,0.02614697,0.03647618,0.00000000,0.00000000,0.04781264,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00884280,0.01044436,0.00000000,0.01481551,0.03561608,-0.00373394,0.00000000,0.00000000,0.00000000,-0.00791638,0.00000000,0.00000000,0.00676224,0.00000000,0.00000000,-0.07019475,0.01788177,0.00000000,0.00000000,0.00000000,0.00000000,-0.03270640,-0.03145247,0.00000000,-0.01321986,0.00000000,-0.00025749,-0.08321400,0.00000000,0.04403056,0.01986887,0.00000000,0.00000000,-0.03091860
