strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00467347,0.00326094,0.00233870,0.00604072,0.00255364,0.00847997,-0.00120999,-0.00343862,0.00652081,0.01028528,0.00033109,0.00899633,-0.00192558,0.00256470,0.00361364,-0.00193664,0.00153460,-0.00148668,-0.00046314,0.00146293,-0.00282387,0.00373743,0.00428870,0.00260418,0.00083838,0.01134387,0.00235498,-0.00422411,-0.00266569,0.00157254,0.00785829,-0.00525649,0.00778142,0.00697295,0.00268825,0.00808177,-0.00247896,0.00815393,0.00229793,-0.24354339,0.00724572,0.00708061,-0.00437687,-0.00305410,0.00235293,0.00301920,-0.00418004,-0.00112160,0.00184728,0.00889371,-0.00223721,0.00583449,0.00219973,0.00093199,-0.00321876,0.00914914,-0.22244934,0.00321583,-0.00455786,0.00248841,-0.17448663,0.00191979,0.00395589,0.00058038,0.00592414,0.00883448,0.00175860,0.00830332,0.00588081,0.00365344,0.00007989,0.00564631,-0.01055974,0.00777983,0.00385695,0.00352902,-0.00770758,-0.00006107,-0.00358526,-0.00108097,0.00995866,0.00548761,0.00071759,-0.00206060,0.00029515,-0.00150337,0.01006628,0.00453587,0.00465430,0.00525627,-0.00046885,0.00279531,-0.12871902,0.00144076,0.00493523,0.01265237,0.00835106,-0.00079606,-0.00193767
-0.00896834,0.00413574,-0.00877238,0.00229274,-0.00085468,0.00177441,-0.00032919,0.00640687,0.00541350,-0.00796756,0.00916129,-0.00427730,-0.00132621,0.00624380,-0.01014830,-0.00253673,0.01116948,0.00597048,-0.00044387,-0.00387255,0.00308350,0.00282862,0.00283945,-0.00788180,-0.00638212,0.00087896,0.00392958,-0.00662462,0.00314854,0.00462529,-0.00873854,0.00920093,0.00181083,0.00475826,-0.00390554,-0.00002854,0.00425173,-0.00016497,0.01380893,0.00274697,0.00239796,-0.00356749,0.00928769,0.00594436,-0.00158161,-0.00684558,-0.00228394,0.00297855,-0.00713162,0.00254183,-0.00564708,-0.00275388,0.01159530,-0.00464998,0.00004769,0.00101940,-0.14419497,0.00486723,0.00647421,-0.00241306,-0.00780688,0.00879032,-0.00548727,0.00442454,-0.00286489,-0.00051173,0.00187756,-0.00869717,0.00627815,0.00519384,0.00658562,0.00985312,0.00665439,-0.00813832,0.00471321,0.01186917,0.00471499,0.00381984,-0.00379834,-0.00688315,0.00654706,0.00083656,-0.00383457,0.00661662,-0.00178707,0.00142966,-0.00036640,0.00718451,-0.00676461,0.00724937,0.00713498,0.00518917,0.00335183,0.00690159,-0.00257678,0.00357082,-0.01146291,0.00075624,0.00682886
0.00599252,0.00639240,0.00073869,-0.00049363,-0.09756538,-0.00223421,0.00269371,0.00936565,0.01088790,-0.03088079,-0.00449473,-0.00397574,0.00479569,0.01283278,-0.00857569,-0.00389546,0.00911483,0.00574061,0.00355814,-0.00278887,-0.00454826,-0.00543575,-0.00366114,0.00177146,-0.00039444,0.00556031,-0.00241825,0.00745154,-0.00110904,-0.00641657,-0.00013375,-0.00211618,-0.00303142,-0.00469362,0.00457236,-0.00521250,0.00312257,0.00195073,-0.00888280,-0.00559455,0.00944448,0.00221076,0.00655894,0.00198152,0.00212649,0.00030591,0.00192818,0.00303467,-0.00208017,0.01066240,-0.00180127,0.00191944,0.00739168,0.00333759,0.00853420,0.01101285,-0.00077923,0.00060022,0.00357076,-0.00567773,0.01045730,0.00722536,-0.00683568,0.00013589,-0.00085883,0.00121107,0.00239249,-0.00119176,0.00330884,0.00529628,0.01335868,-0.00725766,0.00417009,-0.00229064,-0.00612404,0.00518365,0.00026063,0.00130626,0.00312360,0.00797228,0.00354695,0.00865199,0.00840368,-0.00875766,0.01288352,0.00759210,0.00908534,-0.00015160,0.00906921,0.00141743,0.00931409,-0.00031241,0.00119970,-0.10582606,0.00319127,0.00921976,0.00015768,0.00795932,0.00385417
0.00040358,-0.00059069,-0.00774850,0.00989835,-0.00534385,-0.00553619,-0.00277260,0.00136418,-0.00396505,0.00420183,0.00555491,0.01051428,0.00812396,0.00121249,-0.00311385,0.01058801,0.00542492,0.00258181,-0.00675649,0.00875194,-0.00118646,0.00521315,0.00125859,-0.00574062,0.00584984,0.00122666,-0.00376991,-0.00093716,0.00382980,0.00252652,0.00569688,-0.00293069,0.01311959,0.00495640,0.00367921,-0.01137534,0.00661133,0.01147946,0.01147603,-0.00006029,0.00471134,0.00009134,0.00750180,0.00565962,-0.00031077,0.00660893,0.00277386,-0.00828145,0.00821815,0.00070699,-0.00011718,-0.00240563,0.00079112,0.01160074,0.00312855,0.01180565,-0.00532609,0.01214890,0.00020095,-0.00350492,-0.00458638,0.01221950,0.00578697,0.00639956,0.00570246,0.00476613,-0.00349642,-0.00087732,0.00011501,0.00544184,0.00384176,0.00572295,0.00733504,0.00434249,-0.00563175,0.01016056,-0.00358443,0.00518575,-0.00728377,0.01119397,0.00200304,0.00257310,0.00153959,-0.00526681,0.00757561,-0.00003443,-0.00800400,-0.00445863,0.00328671,-0.00300337,0.00607841,0.00468767,0.00153264,0.00516167,0.00583828,0.00443135,-0.00475321,-0.00040775,0.00246471
0.00218169,-0.01437101,0.00472760,-0.00183233,0.00492989,-0.00132227,0.00037323,0.00337951,0.00904411,0.00787616,0.00107520,0.00294852,0.00270999,-0.00112470,0.00221436,0.00938466,0.00205151,0.00648106,0.00139295,0.00189125,0.00173657,0.01027524,0.00191217,0.00278052,0.00595536,0.00218480,0.00676654,0.00696489,0.00301645,-0.00192800,0.00025611,0.01340549,0.00857788,0.00071322,0.01077970,0.00337249,-0.00033391,0.00653084,0.00493820,0.00552458,0.00679126,0.00799142,0.00123291,-0.00142877,-0.00611862,0.00411506,-0.00269688,0.01817308,-0.00224780,-0.00356077,0.00357383,-0.00571778,0.00735366,0.00494994,0.00582525,0.01354288,-0.00191352,-0.00434484,0.01221387,0.00715214,0.00204330,0.00891942,-0.00553497,0.00203345,-0.00584107,0.00773347,0.01006926,-0.00313829,0.00198549,-0.00170375,0.00340546,0.00582642,0.00528375,0.00537500,0.00816960,0.00306364,0.00281329,-0.00526153,-0.00304593,0.00992903,0.00031815,-0.00247170,0.00048035,0.00771545,0.00048520,0.00118764,0.00000563,0.00173587,0.00066827,0.00433800,-0.04700765,0.00402940,-0.00026798,0.01213318,0.00799522,0.00481060,0.00566955,0.01297614,0.00126677
-0.00300928,0.00520978,-0.00446476,0.00513612,0.00127374,0.00819404,0.00907124,0.00043576,0.00976525,-0.00502105,0.00475001,0.00268116,0.00042722,0.00076719,-0.00127486,0.00723695,0.00823721,0.00228120,0.00751344,-0.00954073,-0.00916499,0.00910864,-0.00124368,0.00205345,-0.00393716,0.00071215,0.00018485,0.00029895,-0.00079722,0.00275399,-0.00151703,-0.00577011,0.00284002,0.00041750,0.00626240,0.00142456,0.00520977,-0.00579434,-0.00052362,0.00461382,0.00256775,0.00283978,-0.00058781,0.00304664,0.00096792,0.00254958,0.00431492,0.00996221,-0.00552110,0.00975799,0.00851949,0.00088495,0.00033936,0.00078100,0.00272196,0.00414971,-0.00840808,0.00748047,0.00295766,-0.00556611,0.00765289,-0.00825356,0.00726365,0.00904442,0.01103807,-0.00021365,0.00106312,0.00340573,0.00589349,0.01291941,0.00604386,-0.00147191,-0.00695796,0.01218328,0.00722969,0.01033095,0.00931567,0.00421525,0.00002901,0.00379245,0.00818228,0.00009348,0.00287400,-0.00173704,-0.00790271,0.00614934,-0.07234119,0.00420531,0.00715026,0.00043302,0.00745928,0.00257510,-0.01574123,0.00548265,-0.00072676,0.01172422,0.00854346,0.00069997,-0.00008121
0.00739010,0.00524404,-0.00393403,0.00150632,-0.00112581,-0.00188991,-0.13153767,-0.00138342,0.00284095,0.00279078,0.00251091,-0.00500356,-0.09746045,-0.00571965,-0.00344425,-0.00414256,0.00475350,0.01295461,0.00487102,0.01057152,0.00066715,0.00119369,0.01048788,-0.00135897,-0.00099764,-0.00215565,0.00001939,0.00407902,0.00313662,0.00460836,0.00401213,0.00623722,0.00981313,0.00468605,0.00734584,0.00028390,0.01371832,0.00313807,0.00370149,0.00504731,-0.00411208,0.00067460,-0.00158266,0.00630628,0.00028820,0.00223108,0.00133114,0.00193058,-0.00247360,-0.00372307,0.00726720,0.00379479,-0.00033381,0.00537137,0.00950593,-0.00108694,0.00368640,0.00062392,-0.00682519,-0.00104105,0.00700251,-0.00254948,0.00046100,0.00545341,0.00179515,0.00478650,-0.00288053,-0.00419433,0.00461392,0.00052674,-0.00351884,0.00110652,0.00057860,-0.09335495,0.00430735,-0.01544159,0.00831880,-0.00117695,0.00033640,0.00633489,-0.00861726,0.00361716,0.00407160,-0.00900218,-0.00315218,0.00092035,0.00459716,0.00559771,0.00345644,-0.00014968,0.00558476,0.00467089,0.01217427,0.00305557,0.00405550,0.00516368,0.00309502,0.00389701,-0.00416544
0.00346969,0.01649994,-0.00362684,0.00229505,0.00929637,0.00521641,-0.00397466,-0.00348608,0.00393922,0.00706933,0.00350418,-0.00065164,0.00216693,0.01182319,0.00896156,0.00441361,0.00810776,0.00727142,0.01008882,0.00910098,-0.00185648,0.00668005,0.00548445,-0.00752348,-0.00690808,0.00165618,-0.00159492,-0.00751330,-0.00743606,0.01339945,0.00978930,-0.00319557,-0.00443185,-0.00567299,0.00084623,-0.00079836,0.00392824,-0.00040401,0.00465421,-0.04165336,0.00417531,0.00648655,0.01159953,0.00550254,0.00894225,0.00444237,-0.00573022,0.00197916,0.00261338,0.00340161,0.00460124,-0.00430243,-0.00288806,0.00053130,0.00396296,-0.00665434,0.01261114,-0.00362868,-0.00712711,0.00104598,0.00552674,0.00812806,-0.00017830,-0.00397529,-0.00080311,0.00610363,0.00157289,-0.00451117,-0.00015738,0.00605264,0.00453475,0.00549143,-0.00462484,0.00075478,0.00268545,0.00675554,0.00043526,0.01153009,-0.00226338,0.01479109,-0.00137360,0.00349657,0.00118339,0.00300732,0.00883673,-0.00730452,-0.00219975,-0.00089085,0.00410362,-0.00693518,0.00326551,0.00098353,0.00169949,0.00020296,0.01155269,0.00696067,-0.00382485,0.00349586,0.00218388
0.00306348,0.00910993,0.00472291,0.00147002,-0.00184923,-0.00443956,-0.00784945,0.00205665,-0.00067325,0.00457184,0.00098916,0.00223831,0.00319143,0.00498917,0.00526026,0.00206189,0.01379736,-0.00420576,0.00370975,-0.00192559,0.00088324,0.00539320,-0.00503496,0.00077569,0.00519191,0.01308988,0.00112117,0.00291827,-0.00654436,0.00466962,0.00072795,-0.00300854,-0.00534972,-0.00171628,0.00714144,0.01091629,-0.00027347,-0.00407701,0.00416250,0.00766722,0.00082377,0.00560775,-0.00132201,-0.00321331,-0.00274428,0.00200457,0.00573432,0.00115163,0.00834011,-0.00365316,0.01147364,0.00724973,-0.00386871,0.00568673,0.00061391,0.00736665,0.00143775,0.00503945,-0.00377872,-0.00000674,-0.00332537,0.00217549,-0.00533985,0.01333543,0.00528526,0.00283621,0.00701020,0.00855118,-0.00510050,0.00327694,0.00660969,0.00870717,0.00017024,0.00544314,0.00054795,-0.01101024,-0.00281207,-0.00565336,0.00437482,0.00266947,-0.00618937,0.00813940,-0.00236567,0.00027749,-0.00696031,0.00316903,0.00240857,0.00664440,0.00019133,0.00901799,0.00162166,-0.00732287,-0.00461883,-0.00059963,0.00345456,-0.00388235,0.00203189,0.00004151,0.00435697
-0.00054519,0.00106209,0.00693011,-0.00231702,0.00142216,0.01047901,-0.00401067,-0.00462802,0.00978416,-0.00080406,-0.00120477,0.00546678,-0.00210354,0.00517595,-0.00332681,-0.00085403,0.00374262,0.00101337,0.00727251,0.00008552,-0.00049012,0.00334223,0.00654571,-0.00268956,0.00055772,0.00166154,-0.00726091,0.00384335,0.00411485,-0.00344782,-0.09026262,0.00003833,0.00059617,0.01020090,0.00640909,0.00531706,0.00665486,-0.00076774,-0.00049343,-0.25752980,0.00593215,0.01009722,0.00797092,-0.00569864,-0.00587203,-0.00126398,0.00338020,0.00062620,0.00355448,0.00060968,-0.00100167,0.00457370,-0.00685516,-0.00648931,0.00029107,0.00473850,0.00077643,-0.00505882,0.00149021,-0.00224601,0.00140543,-0.00223316,0.00893659,0.00233638,0.00560386,0.01139532,0.00453905,-0.00349349,0.01848202,0.00453306,0.00130919,-0.00463461,0.00676538,-0.00212794,0.00048250,-0.00403287,-0.00468488,0.00535580,-0.00304868,-0.00543991,0.01079175,0.00389731,0.01139484,0.00488274,0.01136010,-0.00000736,0.00004589,0.00506929,0.00279965,0.00844659,-0.00245112,-0.00138972,0.01635915,0.01086249,-0.01178556,-0.00329346,0.00351153,-0.00222968,0.00123383
