strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.01775927,0.01990240,0.00104645,-0.02776244,0.01116698,0.02567730,-0.01765940,0.02642570,-0.01303069,0.00859838,0.00210165,0.01270094,-0.00456846,0.05594395,0.00748711,-0.01255200,-0.02841769,0.00727856,-0.03217553,-0.00339101,0.04397455,0.00984327,0.01846504,0.00641027,0.05232634,-0.02274788,0.00830600,-0.00271376,0.00125189,0.01433541,-0.01249810,0.01663527,0.04001570,0.00011206,-0.01124416,-0.01503748,-0.02496566,0.01493688,0.00271702,0.01552593,0.00334659,0.00434999,-0.00627877,-0.00695203,-0.00002973,0.00628336,-0.00001232,-0.01615202,0.00334066,-0.00261745,-0.01550994,0.00621853,-0.02468307,-0.01218075,-0.00155089,0.00983572,-0.03135479,0.01551019,-0.00736575,-0.02150984,-0.00973700,-0.01127809,-0.02379553,0.00459677,-0.01592027,-0.01064468,-0.00858616,-0.01427779,-0.02299345,0.02028228,0.01845285,0.01852446,-0.02228060,-0.02479461,0.00310392,-0.01262458,0.00381215,-0.00123678,0.00372285,0.00047366,-0.09306599,0.01617363,-0.01098714,0.00187727,0.00064995,0.02150246,-0.00988135,0.01809300,-0.02463864,0.01475001,0.00968840,-0.00815451,0.00938289,-0.00135843,0.02556092,0.03119433,0.02155281,0.01400295,0.00127100
0.01907865,0.00529041,0.00248174,0.03046278,0.00358014,0.01649733,-0.02209065,0.00458137,-0.00289492,0.01874899,-0.00068783,-0.01780678,0.01679778,0.01172248,0.00824460,-0.01314602,0.00593335,-0.00198772,-0.00315209,0.00006266,-0.01151923,-0.00852340,0.01687282,-0.01116288,0.02587257,0.00212660,0.00946323,0.00305404,0.04001816,0.01426464,-0.00572595,0.00696034,0.01548454,0.01207564,0.00022769,-0.00004958,-0.05268084,-0.00533467,-0.02448135,0.00185320,-0.00894100,-0.02431869,0.00040754,-0.00728044,0.01173864,0.01640217,0.00315990,0.00714494,0.00724098,-0.00284052,0.02689608,-0.00029452,-0.00487244,-0.01558407,0.00319791,0.01300943,0.02408217,0.00241636,0.00950262,-0.00485819,0.02187719,0.00905866,0.04598778,0.01535879,-0.01247380,0.01926301,0.00400176,-0.00324011,0.02017573,-0.01497441,0.01010026,-0.00407433,0.06319315,0.00888401,0.05639992,-0.02615335,-0.03898108,0.00470497,0.00678758,-0.01984764,-0.00973787,-0.00369166,0.00951462,0.00253471,0.00357191,0.02220588,0.00468570,0.02148534,-0.03408428,-0.00697596,-0.02770213,0.01216483,-0.05462864,-0.00435605,-0.00981259,-0.00112911,0.01645259,0.01996118,0.03329206
-0.01445087,0.01058066,0.02195103,0.00637712,0.01212608,-0.02748744,-0.01392231,0.03625654,0.01211868,-0.03338267,0.01336180,-0.00077811,0.01320196,0.00529769,0.00589884,0.00094768,0.02490190,-0.02579394,-0.02116062,0.00867601,-0.00576979,0.01945237,-0.02292206,0.00941097,-0.00258093,0.02185064,-0.00083876,-0.01166115,0.00472818,0.00355782,-0.02338564,-0.01142647,0.04755520,-0.01304597,-0.00549809,0.00368923,0.06504011,0.00012808,-0.01491929,0.02095146,-0.00536725,-0.00651933,0.00132266,-0.01459891,-0.00618057,0.00610777,-0.01726912,0.00667798,0.00913153,-0.00454363,0.00894940,-0.00519620,0.01258801,0.02321763,-0.00791205,-0.01009789,0.02043877,-0.02798457,-0.02385968,0.01966751,0.00678913,-0.00131704,-0.00575695,-0.00159595,-0.00664852,-0.02588008,0.02301139,0.00650641,-0.00565251,0.02393339,-0.01058289,-0.00661988,-0.01901196,0.03760443,0.01041871,0.01361445,0.00052797,0.03906233,0.01314116,0.01562351,0.05559148,-0.02182048,-0.01638138,-0.01991414,0.00352543,0.04047005,-0.00068123,0.01741115,-0.00578629,0.01930002,-0.00641246,-0.00491687,0.01481227,-0.03485385,0.03678363,0.00241055,-0.00063230,-0.00049526,-0.02353215
0.00391056,0.00155111,-0.01630556,-0.00134049,-0.01276162,-0.00237278,0.00147086,0.00012011,0.01697607,inf,0.02843964,0.00994370,-0.00197810,0.00734086,-0.01267747,-0.01478740,-0.00397262,-0.02185174,0.00625547,-0.01641863,-0.00746697,0.03702534,-0.00352158,-0.00161455,0.00906678,-0.01483546,0.03473072,0.01379620,-0.01397611,-0.00768650,0.05502074,-0.05562646,-0.01340755,-0.00666788,0.00377867,-0.00586463,0.01493044,0.03545646,-0.02672513,0.00125693,0.02981401,0.01941994,-0.00726470,-0.01060374,0.01616248,-0.00475495,-0.00354682,-0.03269481,-0.00953581,0.00732455,-0.00383190,-0.01269462,-0.02042426,0.00541126,0.00173549,0.00781364,0.07127905,-0.00609136,-0.01220202,-0.01055560,0.01636848,0.01559970,0.01668560,0.02006183,-0.01387549,0.02232854,-0.00207424,-0.01055708,-0.01522000,0.02626002,-0.02478539,-0.00287930,-0.04496504,-0.08501343,0.02009517,-0.00358037,0.01376315,0.00652837,0.00483833,0.00824250,0.00684545,0.00502249,0.01270827,0.00006768,0.00192952,-0.00129736,-0.00522529,0.02089626,0.01602817,0.01874109,-0.00493140,-0.00033796,-0.03276828,0.02105199,-0.00022249,0.00562605,0.01137448,0.01906638,0.00253510
0.03488003,0.00489914,0.00341829,-0.01067850,-0.00735552,-0.00569408,-0.01697506,-0.01684878,-0.00886605,-0.00344684,0.00842120,-0.00109382,0.00495773,-0.00906803,0.00027688,0.00300678,-0.00931475,-0.01730754,0.01828351,-0.00677089,-0.00397983,-0.01195243,-0.00178786,-0.00763382,-0.02009833,-0.00586046,0.01462048,0.04529643,0.02615526,0.02133133,-0.05477485,-0.00878246,-0.01032374,-0.01394097,-0.04336741,-0.00652218,-0.01889457,0.00716788,0.01558646,-0.01760307,0.00913056,0.00402982,-0.02346015,-0.00850134,-0.01306407,-0.00475105,0.00754332,0.00080975,-0.00187482,-0.00012661,0.03037885,-0.00976648,0.01096932,-0.00718811,0.01092827,-0.01778750,0.02741487,-0.00395063,-0.00083094,-0.00697764,0.00171521,-0.01473737,-0.02784213,0.00942598,-0.00040223,0.00459677,0.00378857,0.00256332,0.01648002,0.02052891,0.01439162,0.01008875,0.00871315,0.00762665,0.03918933,0.00741504,-0.00557235,-0.01288797,0.02176717,-0.02662874,0.00987806,-0.00470932,-0.01004430,0.00568952,-0.01305513,-0.00846150,0.03665241,0.01729543,-0.05925278,0.01615037,0.00598082,-0.00885431,-0.03347206,-0.00651348,-0.00525381,0.01549345,0.01137984,0.05298212,-0.00327542
0.03021590,0.03435538,-0.01963347,0.03091421,0.01173571,-0.00628499,0.01477596,0.01191353,0.00758337,-0.01093683,0.00133372,-0.03129887,0.01690084,0.00383290,-0.00260993,-0.01554396,-0.00329904,0.02457434,0.00988866,0.01443310,-0.02227321,0.00025962,-0.00472178,0.00880631,0.02696673,-0.00050626,-0.00399589,-0.00272179,0.00372211,0.00813359,0.00360847,-0.00152619,-0.01568161,-0.00709886,-0.01559416,-0.01355767,0.04365152,-0.02147897,-0.01727625,-0.01866586,0.02079175,0.00420944,0.01382970,-0.01302467,-0.01941888,0.00129124,-0.01116026,0.03030085,-0.00821136,-0.01341682,-0.02654428,0.00806011,-0.00764060,-0.00250644,-0.01054159,-0.01169200,-0.01529055,0.01562954,0.01020479,-0.00615105,0.00615727,0.00234543,0.01766182,0.01076777,-0.00703178,-0.01172724,0.00093508,-0.00375895,-0.00939663,0.02251662,0.01079359,0.00484958,0.00458342,-0.00675228,0.02174857,-0.00402757,-0.03394598,-0.01792353,0.02897751,0.00422815,-0.00645208,0.04340764,0.00940528,-0.01066367,0.01049156,0.01167792,0.00763265,-0.01301658,-0.02739483,0.01132351,0.00571737,-0.00583508,-0.01575254,0.01324163,0.01180520,-0.04371299,-0.00796128,0.00474024,0.01018693
0.02073895,0.01465232,-0.02524863,-0.00557724,-0.00773377,-0.01594429,0.01427598,-0.01574486,-0.03564258,-0.00450614,0.03995518,-0.01260999,0.02567124,-0.01700148,0.00241117,-0.02598600,-0.01222096,0.02716613,0.01108468,0.01361592,-0.00420806,-0.01327894,-0.01974841,0.02266165,-0.00208175,-0.00439351,0.00622349,-0.00379346,0.00497491,0.00619796,0.04835270,0.02040193,0.01126944,-0.01228388,-0.00312217,0.01447170,-0.00754268,0.01557974,0.02805633,-0.02672564,-0.00526370,0.00127416,-0.00256094,0.00456610,-0.00272926,0.00235132,-0.01114726,-0.00257468,0.00014533,-0.00821699,0.01166088,0.00170054,0.00180269,0.00041241,0.01244445,0.00298829,-0.03066285,-0.00685872,-0.01008443,-0.00938231,-0.01155331,-0.00340507,0.01965576,0.01265217,-0.00878694,0.01853642,-0.00144256,-0.00679545,-0.02225471,-0.00169162,0.03082072,-0.01174276,-0.03840324,0.00672927,0.05150831,0.00029105,-0.02132518,0.01003904,-0.00100256,0.00089014,0.03421257,-0.03088707,0.00038716,0.00223872,0.00628482,0.01214511,0.00461941,-0.01839508,0.00004535,0.02868085,-0.00689433,0.00771003,0.00291247,0.00679745,-0.00511123,-0.01280225,0.00478906,0.01782747,0.00999774
0.01557008,0.03957360,-0.01019380,-0.01225828,-0.01534013,-0.00478688,-0.03354300,0.00052522,-0.00138930,0.03002851,0.01763601,-0.03230272,0.02462672,0.00593029,-0.00415163,-0.02780081,-0.00364035,0.01408505,-0.01643417,0.00581370,0.01318579,0.01310073,0.00064173,0.02629685,0.00389946,-0.01142244,-0.01763799,0.01533418,0.01125509,0.00347303,-0.04811489,-0.01541496,0.01989057,-0.03355538,-0.01567990,-0.01387394,-0.04518958,-0.05131581,0.01158759,-0.00500355,0.00150245,-0.01622024,-0.00402748,-0.00021434,0.00625554,-0.01604754,0.00329219,0.00379501,-0.00056669,0.00493253,-0.00817511,-0.00730810,-0.02440474,0.00766150,-0.00857928,0.00634827,-0.03904773,-0.00581533,-0.00587713,0.00270291,0.01077189,-0.02416040,-0.03959149,0.00670294,0.01235489,-0.00575176,-0.01521160,-0.00851425,-0.01606247,0.00429190,-0.02709408,-0.00158462,0.01778585,-0.02556682,0.02184552,-0.00310916,-0.00100421,0.01768684,0.00145775,0.01118801,-0.01677063,-0.02617795,-0.00864708,0.00053669,0.00161256,0.00397915,-0.00554243,0.02899465,0.00396561,0.04019438,0.00023244,-0.00889140,-0.04199077,0.00767978,-0.00344391,-0.02970369,-0.00463721,-0.01748666,0.00353424
0.00658516,0.01795966,0.03341619,0.01925451,0.01858282,0.00401395,-0.00581649,0.03480052,0.00597348,0.02368849,-0.00451865,-0.02498188,-0.01179120,0.01021472,-0.00786274,-0.00337226,0.00043739,-0.00169843,0.00273022,-0.01473370,-0.00303338,-0.00486648,-0.01391761,0.01900486,-0.00252168,0.02032699,0.00315218,-0.00300924,0.02232071,-0.00634430,-0.02243220,-0.00977396,-0.02796774,-0.03257217,-0.01091025,-0.00668227,-0.01669423,-0.01011212,-0.03353939,0.01275460,0.00808695,0.00468718,0.00065991,0.00335385,0.00754694,-0.01820338,-0.01923621,-0.01234704,0.00294428,-0.00215660,0.02013657,-0.00395440,0.01147491,0.00721883,-0.00777942,-0.00646514,0.00475759,-0.01661594,0.00326710,-0.00749521,-0.00805396,-0.02209990,-0.02090746,0.00069064,-0.01320336,0.02038653,0.01056652,-0.01912846,0.00152413,-0.01322360,-0.03540683,0.01145770,0.01346817,0.00839646,-0.01828391,-0.01446174,-0.01915382,0.00529602,-0.00176574,0.02267907,0.01729944,-0.01588620,-0.00388426,-0.00729711,0.01025260,-0.01491263,0.00760862,0.01394528,0.00930042,0.00609158,0.00094765,-0.00582646,0.01783846,0.00279676,-0.00424012,0.00847463,-0.01850801,0.00346921,0.00071388
-0.00505094,0.00700026,-0.00089325,-0.02828031,-0.01104369,-0.00107032,-0.00602054,-0.01475560,-0.03060337,-0.01108444,0.00633507,-0.01833215,0.01955210,0.00724171,-0.00055792,-0.02359066,0.00403279,-0.03241608,0.01406142,-0.01770643,0.02344983,0.02023890,-0.02270242,-0.00711295,-0.02672393,nan,0.00075144,-0.03868991,0.01877945,0.00202872,-0.01401094,-0.00276233,-0.04775266,0.00957206,-0.01099542,0.05208327,0.00869039,-0.01326885,-0.00423874,0.00824822,-0.00211012,0.00144364,0.00087312,-0.01346359,-0.01294334,-0.00150984,0.00323163,-0.00640248,0.00739282,0.00709770,-0.01785852,0.00215532,-0.03047997,0.00593306,0.00498294,0.00265710,0.01059584,0.00820961,0.00106266,0.01298578,-0.00026205,-0.00908289,0.00717861,0.01528232,-0.01395816,-0.00433272,0.00860730,-0.00617421,-0.02319306,0.01987567,0.01321660,-0.00805453,0.04271547,-0.01515811,-0.01496117,-0.01115030,0.00179361,-0.00939341,0.00930974,0.01144691,0.00044547,-0.02570503,-0.00555388,-0.01366668,-0.00570025,-0.00145124,0.01650414,-0.00529329,0.00629400,0.00738047,-0.01407448,0.01350430,0.01201000,-0.01700791,-0.02704327,0.01917746,0.01287058,0.00885566,0.00393949
