strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.15172853,-0.07744707,-0.01391011,0.07994489,-0.07127731,0.09701862,0.00811202,-0.10030236,0.03525632,-0.09287331,0.01194211,0.12562562,0.15711336,-0.07916818,-0.04483531,-0.07208132,0.14137962,-0.03012710,-0.07479292,0.08103566,0.09291791,0.01528491,-0.02253703,0.01255440,-0.03319858,-0.13307649,0.05357387,-0.08502770,-0.19669120,0.00163001,0.01776202,-0.19654880,-0.06610424,-0.09274704,-0.00263401,-0.08871580,0.01988156,0.10909713,0.08184847,0.20146503,-0.05845883,-0.17908935,0.03908107,0.06873478,0.04867175,0.00709634,-0.11415388,-0.08182892,0.05800138,-0.10138558,0.10783882,-0.03406212,0.07213524,-0.17155598,0.05859660,0.07284050,0.16373510,0.02835495,-0.10334582,0.09362919,0.02534077,0.01942207,-0.00980219,-0.08851597,-0.00219436,-0.06918591,-0.08354726,-0.13845637,-0.03626303,-0.04864306,0.08029374,0.04409732,0.15730204,0.11884411,0.12477848,-0.04052649,-0.10172510,-0.04284327,0.08822903,0.22638134,0.05319215,0.01708108,-0.02680837,-0.05883069,0.01017414,0.12708349,-0.03884487,0.06316965,0.12542634,-0.10343174,-0.18444597,-0.07825327,-0.11038993,-0.09603602,-0.07059269,-0.01650820,0.08797527,-0.03943324,-0.14464225
0.04994106,0.02594176,-0.12753937,-0.07193819,0.00071375,0.00629826,0.06672456,-0.00706263,0.10144011,-0.06011606,0.02280001,-0.10569427,0.11622462,0.04277991,-0.13250301,0.01554923,0.04445513,-0.03913974,0.00911089,0.12646496,-0.00709082,-0.09393006,-0.01515022,0.12324701,-0.00167114,-0.24443529,-0.09217868,0.09381735,0.00117208,0.07560276,-0.02209891,-0.00677676,0.06190995,-0.02322029,0.07829910,-0.02503388,-0.12403668,0.07223857,0.12599984,-0.00954814,0.12332541,0.04419959,-0.02096698,-0.01882032,0.22226493,-0.06130167,0.03556118,0.02157659,-0.02285226,0.03645929,0.10396684,0.00504323,-0.04789871,0.07602828,-0.20100248,-0.10381830,-0.07387542,0.07318784,0.09881120,0.07739334,0.06788587,-0.04745985,-0.20095976,0.10218451,0.06627622,0.03702071,0.05731189,0.08301059,0.05089637,-0.06236806,0.02267735,0.07999923,-0.08909187,0.05101306,0.18669850,0.10899120,0.02918920,0.05806482,-0.10972287,0.04404560,-0.01820206,-0.07763151,-0.06100413,-0.14154377,-0.08731452,-0.17235141,-0.08542859,-0.00047497,0.03107597,0.00322823,0.05625357,-0.04007894,-0.11382523,0.04656895,0.10214018,-0.03741110,-0.06069697,-0.10868372,0.12693271
-0.06184675,0.02572701,0.02169673,0.04871342,-0.14621822,-0.13797163,-0.13359333,0.01175210,-0.03810685,0.02278010,0.01665265,0.04337469,0.05456650,-0.11094230,0.13541235,0.02764442,0.18848085,-0.13607431,0.05802086,-0.04176150,-0.06165247,0.10222403,-0.08673750,0.01255309,-0.03271315,0.03181476,0.00304726,-0.04862588,-0.04061122,-0.00455964,-0.02686676,-0.06461782,0.09842446,-0.10029454,0.09789865,-0.02046289,-0.06898740,-0.06879055,-0.19323259,0.07981231,-0.03688845,-0.00381427,0.03007212,0.10843517,-0.01409142,0.09107473,-0.22579110,-0.00488623,-0.02325384,-0.06001965,-0.02464613,0.09614405,0.05385475,0.11919102,-0.12884295,0.01336381,-0.08969434,-0.00095238,0.11078951,-0.10216205,0.05930576,0.04087442,-0.09428051,0.07742553,-0.10366355,0.17239060,0.09499126,0.00555583,-0.03858241,0.10710779,0.04442500,0.03556337,-0.12874489,0.05751552,-0.16316048,-0.01909041,-0.06068013,-0.01977840,-0.13330046,0.09634696,-0.04061208,-0.02338020,0.05941185,-0.00775439,-0.00579169,-0.00259509,0.00078579,0.03106270,-0.05984889,0.03063767,0.06601302,0.00543782,0.10088257,-0.14522735,-0.02100430,-0.04899556,0.09828775,-0.01265333,-0.04044734
-0.10914998,0.03785058,0.10656726,-0.07718873,0.16384915,-0.06185060,0.00064201,0.04849233,0.01033165,0.01732338,-0.09507377,-0.08878450,0.11863255,0.05060918,-0.17707411,0.02895620,0.16513471,0.10294814,-0.06105249,-0.06605762,-0.01578015,0.03662229,0.00739486,0.08192496,0.07308418,-0.08360245,0.00666599,0.01856808,0.04100527,-0.06841782,0.04048076,-0.09788468,0.05427000,-0.09598807,-0.15045360,-0.05409782,0.13023983,-0.15863023,-0.01230031,0.08629366,-0.03657880,-0.11487842,-0.07114497,0.07296926,-0.00805462,-0.00437266,-0.02775532,-0.07786167,0.01054489,0.06055486,0.03778624,0.22048378,0.00609644,-0.00644848,0.04038421,0.11734490,0.05992058,0.02592072,-0.03075239,0.03456368,0.02262792,0.10364628,-0.02999920,-0.22758910,0.00039552,-0.01170170,-0.09352312,-0.01930523,-0.03983195,-0.08884828,-0.07646792,0.03291806,-0.09835243,0.02725250,0.13829201,0.01695986,0.07083871,0.02184791,0.13833206,-0.21846295,0.04636258,-0.00660452,-0.06802288,-0.02314958,-0.01246313,-0.08859938,-0.03702649,0.00745546,-0.04461529,0.09110985,0.10048126,-0.05918906,0.05503301,-0.17835615,0.10674872,-0.03235788,0.03293295,-0.04267738,-0.07645241
0.10276704,-0.09962293,0.06937974,-0.08708552,0.13938375,-0.15417643,0.06703448,0.00811481,0.00529257,-0.06161101,0.13770465,0.06332618,-0.07422274,-0.04012125,-0.08124391,-0.01710588,-0.07628993,-0.00068148,0.18913999,-0.00745500,-0.05055940,-0.01871190,0.07257311,-0.12620587,0.02719641,0.06071769,0.02624257,-0.09229623,-0.17327578,-0.02262911,0.04464119,0.01001936,0.10565138,0.03128536,0.04725529,-0.00500334,0.00951311,-0.09075985,-0.04432080,-0.11245727,0.06446522,0.10442606,-0.08066294,-0.13841119,0.16778207,0.01754151,0.06753465,-0.02961297,-0.04402475,0.14226134,-0.04558637,0.00027024,-0.01433433,-0.10917333,-0.02922124,-0.12868293,-0.12915187,-0.03976221,-0.03977689,-0.08508575,-0.03205137,0.25064945,0.01565884,-0.06208742,-0.09920752,-0.01990136,-0.00779565,-0.15176317,0.00431454,-0.07780560,-0.03330558,0.09343494,-0.00764882,-0.13519521,0.04359268,0.13486120,-0.11848378,0.15631895,-0.11213524,-0.03504957,-0.01181095,-0.08291411,0.15160268,0.08168919,0.04747649,-0.11641953,-0.08987819,-0.03880637,-0.04530819,0.01957502,0.21154724,-0.02243231,0.01822049,-0.10890753,0.03889467,-0.02318806,-0.07092289,0.01310008,-0.04498925
-0.01828209,0.07563851,-0.03683051,-0.09061017,-0.06015192,-0.22519207,0.00288921,0.07782949,0.11238183,-0.10835683,-0.04594949,0.01927756,0.02248187,-0.07034125,-0.06557639,-0.02066229,-0.03365300,-0.02371598,-0.05261784,-0.05372588,-0.09099570,0.08389593,0.10618638,-0.17175970,0.02321107,-0.23435009,0.06946052,0.00717869,0.07357446,-0.02884523,-0.04490561,0.03306667,-0.02298851,0.13145903,0.01946455,-0.06795312,-0.08269067,0.12642839,0.04718343,0.06497727,0.02090251,-0.01226301,0.04070985,0.00971725,0.00973995,-0.04352734,0.19552415,-0.08739675,-0.01110807,0.02279341,0.04885817,0.01925038,0.07781348,0.14988422,0.18031178,-0.08018133,0.03792755,-0.01923050,-0.00461532,-0.01559040,-0.07714255,-0.04872815,0.08653544,0.00909401,0.11848835,-0.07064780,0.03463790,-0.01975049,-0.04591780,-0.05034391,-0.03855947,-0.08552773,0.00673868,0.01707248,0.19387116,-0.00801118,-0.08961199,-0.15855865,0.14705766,0.08111121,0.01617948,0.01144316,-0.05733886,0.08897582,0.07519403,0.01956936,-0.09397368,-0.01589675,-0.09521119,-0.11007927,-0.02567380,-0.01258627,-0.08840585,0.08704810,-0.03083677,0.07404886,-0.00768527,-0.08161151,-0.07102561
0.00356427,-0.00790346,0.08711551,0.11487988,-0.05208002,0.02059942,0.03491583,0.06457936,-0.10243092,-0.08232143,0.05277862,-0.08215427,-0.07398466,0.04093324,-0.09173912,0.10447074,-0.08754612,0.09443434,-0.08195991,-0.07380117,-0.08510079,0.13623484,-0.04146194,0.10373904,-0.07740385,0.27545598,0.02474619,-0.04392256,0.04138281,-0.04734112,0.02014418,-0.09514372,-0.02561130,-0.04274629,-0.01409180,0.13551016,0.07663362,-0.18660073,-0.05321097,-0.09130476,-0.04828038,-0.10485766,0.13648121,0.07357523,-0.10855964,0.08903212,0.06992934,-0.03205910,-0.02891609,0.12181971,0.02496304,0.24068532,-0.04161593,0.01679455,-0.01951343,0.11709963,-0.05729948,-0.04717923,0.04432751,-0.06867156,-0.12340968,0.02524024,0.13013656,-0.13473086,-0.01649814,0.03698667,-0.05177196,0.09626095,0.09015473,-0.02549584,-0.19962306,-0.00436606,0.07984168,0.08955624,0.23642358,0.09150655,0.03926360,0.09399165,0.10330742,-0.01916348,0.08093950,-0.07427323,-0.05343243,-0.01233305,0.01962124,-0.11176493,-0.01422278,0.09100531,0.08964202,-0.07614119,0.06314378,0.04894009,0.14233911,-0.06247408,-0.01630610,0.06416552,-0.04858625,0.17170659,-0.04149419
-0.03901884,0.02439832,-0.08262259,0.17433861,-0.05536821,0.05445182,-0.10012099,0.06951889,0.03400595,-0.10246095,-0.18637860,-0.01437999,-0.00641600,-0.03450531,-0.08982929,0.03134629,-0.08962674,0.07172381,-0.02687590,-0.11516753,-0.02111507,0.10352210,0.02523366,-0.13185274,0.05188361,-0.06754834,0.14157811,-0.11063240,-0.03301248,0.04342776,0.01449283,0.00443955,0.11224976,-0.04528760,-0.14623156,0.04030128,-0.07749410,0.06537717,-0.01553614,0.13824182,0.05235845,0.02600301,-0.04151960,0.05560587,-0.03428868,-0.04102760,-0.20012012,-0.06443075,0.06637463,-0.04306941,0.00634539,-0.00842105,0.13336865,-0.10446982,-0.05860934,-0.12017616,0.08796918,0.16146603,0.06671643,0.00882682,0.08192808,-0.14699710,0.05242833,0.16740301,0.15082740,0.00590821,0.02833077,0.11540849,0.01231260,0.01343653,-0.03488429,0.00929648,-0.02619621,-0.03475281,0.05087809,0.03690752,0.00785659,-0.05377626,0.18683700,0.02562521,0.01100411,0.12318661,0.09312273,-0.05238192,0.07631884,0.05154766,0.03533137,-0.06492485,0.05871180,-0.07611176,-0.11937047,0.09030543,-0.05183060,-0.12995568,0.03039769,0.00046124,0.09297958,0.05478516,-0.06185257
0.10402734,-0.04441982,-0.06003285,0.11775640,-0.06998313,0.07261485,-0.11397288,-0.02290535,0.05430097,0.01087379,-0.04133973,-0.08910997,0.10145271,-0.11415714,-0.06333112,0.06759159,0.06118556,0.01410332,0.15680704,-0.06578571,-0.03980487,-0.04405757,0.02779413,-0.10697997,0.04624331,0.06249411,0.05729401,-0.18454287,0.04775125,-0.03692607,-0.06086395,0.01245658,0.00598199,-0.00112149,0.05470988,-0.12859354,-0.05093269,0.10464691,-0.04880551,0.04472864,-0.04775504,0.02019264,-0.00580119,-0.01868182,0.23622490,0.07218088,0.13880673,0.01592697,0.01098878,-0.11239033,-0.01609420,-0.06106496,0.01068396,-0.09450628,0.09019316,-0.09167134,0.09848546,-0.05821911,0.04018181,-0.07530427,-0.00644531,-0.12049074,0.01315548,0.08629970,-0.09704556,-0.02065238,0.11077139,0.10218042,-0.03772493,0.02827295,-0.02104127,-0.01974342,-0.01880029,0.02001338,-0.27726987,0.11434675,0.08569181,-0.06733733,0.08677878,0.01951305,-0.01367954,0.06181681,0.02604386,-0.00226657,-0.00603014,0.10137616,0.06168804,-0.02225850,-0.04163095,0.05263493,0.02246721,0.05885923,0.05683831,0.16467688,-0.11548504,-0.05950901,-0.12960248,0.20575478,-0.01184078
