strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.01198340,-0.00720356,0.00000000,0.01790164,-0.00866630,0.00870990,0.01192420,-6.98907731,-0.00727758,-0.06118218,0.01040460,-0.00834723,-0.00403863,0.00166320,-0.00842602,-0.05290539,-0.02190220,0.03141963,-0.00823517,-0.00407280,0.00189812,0.01752147,0.01408808,0.00094654,0.00000000,-0.01539995,0.00058378,0.02048636,-0.03748011,0.00000000,-0.01749571,0.00306971,0.01091541,0.00000000,0.00591612,0.00000000,-0.02425285,-0.03822952,0.00058130,-0.01630877,0.05292315,-0.01401154,0.00000000,0.00000000,-0.00110672,-0.00991788,0.02520656,-0.00774978,-0.01069965,0.01674851,-0.02887662,0.01399360,0.00000000,-0.01606440,-0.01286391,-0.07013961,0.00000000,0.01887035,0.06145879,-0.01901527,0.00000000,0.02318104,0.00000000,-0.00210373,-0.02800169,-0.01723066,-0.00066872,0.00605073,-0.02059917,-0.00923238,0.03078071,0.00151442,0.00000000,0.00632459,-0.00043457,0.02609320,-0.02254034,0.00000000,5.93155754,-0.02597915,-0.00983122,0.02790644,-0.01071017,0.00000000,0.02426759,-0.00669342,0.01492316,0.00262440,-0.04465533,0.02762967,0.00118823,-0.02132210,-0.02633890,0.01297770,0.01322685,0.00000000,0.03602253,-0.00620738,-0.00561290
-0.02526893,-0.00106330,0.00000000,0.01635149,0.00153023,-0.02478567,0.02636428,-7.00098563,0.02067931,-0.01629358,0.07034811,0.02129549,-0.00073934,-0.00397908,-0.00854931,0.04116694,0.00820100,0.04965230,-0.00230330,-0.00958662,0.01713804,-0.04936878,0.00462814,-0.00950189,0.00000000,0.00666067,-0.01771736,-0.02402749,0.02229611,0.00000000,-0.01712834,0.00540261,-0.00303196,0.00000000,-0.00208900,0.00000000,0.01406519,-0.04516661,-0.02335984,-0.02463844,0.02008137,0.05325154,0.00000000,0.00000000,-0.00862829,-0.02529427,-0.01267853,0.01823956,-0.00289535,0.01477929,0.02360014,0.01195038,0.00000000,-0.00353943,-0.04748679,-0.00126568,0.00000000,0.04449914,-0.00734774,-0.01160808,0.00000000,0.04777126,0.00000000,0.00654421,0.02968033,-0.01774323,-0.04745849,0.01906877,-0.00115858,0.00418215,-0.00439230,-0.01604361,0.00000000,-0.00445321,0.01732258,-0.00394619,0.02705492,0.00000000,5.99355171,-0.02444885,-0.00351604,0.01135081,-0.01320501,0.00000000,0.02780286,0.01974217,-0.01893394,-0.01208013,0.01625763,0.00408651,-0.01045129,-0.00198909,0.02962746,0.00812479,-0.03641857,0.00000000,0.01297224,-0.01065180,0.01819945
-0.01225767,-0.00306809,0.00000000,-0.00983059,-0.01261830,-0.02052950,0.01708695,-7.00757287,-0.00325539,0.00858610,-0.02196527,-0.00273078,-0.00233808,-0.03082317,-0.00690951,-0.00871065,0.00060661,0.02314361,0.02287683,0.00985387,0.00923283,0.00334576,0.00708614,-0.00301885,0.00000000,-0.00422231,-0.00796560,-0.00218060,-0.00250894,0.00000000,-0.00077317,0.01379462,-0.00870573,0.00000000,-0.01618256,0.00000000,-0.00661581,0.01531482,0.01602494,-0.00292106,-0.01425773,0.05008051,0.00000000,0.00000000,-0.00313546,0.00496944,0.01805898,-0.00154950,-0.00119019,-0.01240101,0.00799113,0.02700352,0.00000000,0.03689846,-0.03790078,-0.01146471,0.00000000,0.04065303,-0.02739979,0.00497222,0.00000000,0.00541531,0.00000000,0.01125952,-0.01678516,0.00001023,0.00483637,-0.02244211,-0.01329925,-0.00720121,0.00985611,-0.03463973,0.00000000,-0.02895748,0.04348125,0.00385064,-0.01243322,0.00000000,5.94622466,0.04160940,-0.01055758,0.02837638,-0.00383073,0.00000000,0.00720401,0.01937049,-0.01856367,0.02415762,0.01392091,-0.01084496,-0.00216707,-0.00257770,-0.04208818,0.00544564,0.00365258,0.00000000,0.01280332,0.00133829,-0.00617613
0.02321968,-0.00591272,0.00000000,-0.00752920,-0.00081598,-0.00822525,-0.00528191,-6.98524895,0.00132061,0.00464620,-0.00904337,0.02077810,-0.01437856,0.01193910,-0.03043735,0.07330731,-0.00685748,-0.00480438,0.04329579,-0.01126557,-0.01401423,-0.03111385,0.01660352,0.03253311,0.00000000,-0.01204427,-0.01302955,-0.04190734,-0.05564231,0.00000000,-0.03231740,0.03287657,0.01051334,0.00000000,0.02172611,0.00000000,-0.01385165,-0.00763257,0.03835076,-0.03561062,-0.04994696,0.01600133,0.00000000,0.00000000,-0.00406424,0.01310429,0.00187440,-0.00220055,-0.00048867,0.00465831,-0.02270519,-0.01772881,0.00000000,-0.01879217,-0.02730188,-0.03280726,0.00000000,-0.02280499,-0.04667465,0.00836512,0.00000000,0.02893912,0.00000000,0.00527932,-0.00318896,-0.00293858,-0.00772324,-0.00468348,-0.03588886,-0.00724238,0.01416002,-0.01583784,0.00000000,-0.01834753,0.01897627,0.01065920,0.00435721,0.00000000,6.05787900,0.00678979,-0.00858597,-0.01474172,0.01283930,0.00000000,-0.00499338,0.01263996,-0.02203207,-0.00476975,0.00992479,-0.01213842,-0.00856874,0.01557564,0.00698998,0.00955134,0.01352190,0.00000000,-0.00086766,0.00526813,0.00791102
-0.03118303,-0.00421584,0.00000000,0.01486040,-0.00729746,-0.01414066,-0.00202144,-6.99639339,-0.00315434,0.01967819,-0.07802490,-0.02184889,0.00854168,0.01446966,-0.00978120,-0.00369557,-0.00848068,0.03067276,0.02549951,-0.02859462,0.00898090,0.02135213,-0.00813516,0.00291085,0.00000000,0.00732302,0.03090002,0.01731275,0.01228645,0.00000000,0.01680113,-0.02442149,0.01579200,0.00000000,0.01777617,0.00000000,-0.03963525,0.01084961,-0.03562010,0.00565149,-0.02728113,-0.02335562,0.00000000,0.00000000,-0.02082021,-0.04650220,0.06978551,0.00338018,0.01020798,0.00698194,0.00846119,-0.00728332,0.00000000,0.00207136,-0.02932304,0.06907277,0.00000000,0.01087415,-0.02758687,0.00166117,0.00000000,0.00499449,0.00000000,-0.01746394,-0.04809082,-0.00347560,0.01183574,0.00385518,-0.02218542,0.00814724,-0.02594043,0.04237894,0.00000000,0.00076883,0.01922492,-0.02225977,-0.00356281,0.00000000,6.00902638,0.01109585,0.01141206,0.00169758,0.00219970,0.00000000,-0.01319602,0.02110241,-0.02564626,-0.00351332,-0.04029461,-0.01268796,0.00835346,-0.00337174,-0.03298127,0.01928686,-0.00916279,0.00000000,-0.00043878,0.01977989,0.01446523
-0.00188304,-0.00248201,0.00000000,-0.01866908,0.00783339,-0.02925316,-0.00324731,-7.00134915,0.02900973,-0.02076262,-0.00192279,0.00996234,0.00974804,-0.01700946,-0.00660012,-0.04073306,-0.00640027,-0.02049434,0.03281067,0.00325441,0.01938875,0.00671957,-0.00628697,0.01963224,0.00000000,-0.03349199,-0.00354449,0.04478787,-0.07410353,0.00000000,0.00242571,0.00957779,0.00599533,0.00000000,-0.01954591,0.00000000,-0.00361716,-0.01316465,0.02499505,-0.01251264,-0.02721962,-0.01557755,0.00000000,0.00000000,0.00740754,0.02061976,0.02836646,8.01691055,-0.01710647,0.01215638,0.02960928,0.00787745,0.00000000,0.01165510,-0.01236533,0.01692305,0.00000000,0.01504008,-0.05466713,-0.01219096,0.00000000,-0.06232478,0.00000000,-0.01112591,0.08174420,0.01788522,-0.06478893,0.00888290,0.01041229,0.00566191,-0.02130032,-0.01252070,0.00000000,0.01659034,0.03582302,0.00603651,-0.01156045,0.00000000,6.03854287,0.02221208,-0.00325409,0.01109577,-0.02652454,0.00000000,-0.01644225,-0.02221234,0.01633185,0.00496548,-0.01427715,0.03050700,0.00336783,0.01415821,0.02374961,-0.00191356,0.00705295,0.00000000,-0.01575651,0.01436253,-0.00156093
0.00420712,-0.01565699,0.00000000,-0.00314853,0.00566020,-0.01900752,-0.02178549,-7.01524912,-0.01919435,0.01937528,-0.06826468,-0.00889486,-0.03199344,-0.01003730,-0.00809133,-0.03395807,0.02102785,0.06408810,0.01310737,-0.01101075,-0.01332788,0.04494227,-0.00827473,0.02339046,0.00000000,-0.00696234,-0.01449135,0.02779587,-0.01672849,0.00000000,-0.01772016,0.02237710,-0.01222054,0.00000000,0.00758625,0.00000000,0.00581792,0.00493448,0.01209330,0.00744319,-0.01937404,-0.00050037,0.00000000,0.00000000,0.01047861,0.03477228,-0.02225355,-0.01373964,-0.00027615,-0.00700181,-0.00213227,-0.01304441,0.00000000,-0.01862095,-0.02599888,-0.06629374,0.00000000,-0.01011040,0.02256810,0.01955447,0.00000000,0.00537590,0.00000000,-0.00193386,0.02037360,0.02048183,0.01161287,0.00267413,-0.04820704,-0.00780837,-0.00490516,0.01934172,0.00000000,0.01659605,0.00937940,0.00310990,-0.01031627,0.03428349,5.97636272,0.02545187,-0.00414773,0.05157098,0.00664442,0.00000000,0.00842796,0.00229633,0.01389739,-0.01783693,-0.01015244,0.03257931,-0.01190477,0.00923747,-0.05801434,0.02860749,0.01284001,0.00000000,-0.02792178,-0.01129558,-0.00245464
-0.05024327,0.29645118,0.00000000,-0.01329360,0.00816967,0.00549380,-0.00670203,-7.00848151,0.04357798,-0.01022920,0.02835725,0.01831796,0.00395765,0.00479965,-0.00776245,-0.03826067,-0.00764289,-0.01748681,-0.01166643,0.00977039,-0.02029504,0.03313841,0.02179458,0.03242635,0.00000000,0.01798454,0.01983719,-0.00482676,-0.01073578,0.00000000,-0.05248333,-0.02770824,-0.02281174,0.00000000,0.00660547,0.00000000,-0.01176123,-0.00636962,-0.00129922,-0.01357069,-0.03718654,-0.00626604,0.00000000,0.00000000,-0.01705933,-0.03059930,-0.02877766,-0.02409657,-0.00679433,-0.00858218,0.00306207,-0.00510280,0.00000000,-0.00485820,-0.00389302,0.02576859,0.00000000,0.00303659,0.00255431,-0.00017551,0.00000000,0.07399926,0.00000000,0.00574840,-0.03132858,-0.00192712,0.03024085,0.01292645,-0.02711550,0.00076894,-0.01025994,0.02635862,0.00000000,0.01625498,0.00462558,0.01053019,-0.01679274,0.00000000,6.01814462,-0.03240340,-0.00837746,-0.00929629,0.00461908,0.00000000,-0.01297207,-0.01284328,-0.01306985,0.00123892,0.02824158,-0.02000661,0.00423170,0.01944414,-0.06266269,-0.00959478,0.00904050,0.00000000,-0.00404287,0.01100482,-0.00444450
0.01821021,-0.00173720,0.00000000,0.04999701,-0.00370757,-0.00306533,0.00092231,-6.98129777,-0.02800472,0.01957932,0.01682734,-0.00102271,0.06867200,0.00384376,-0.01090222,0.05278422,0.00009622,0.02798717,0.01474624,0.01787017,0.01047746,-0.04926266,0.01249647,0.02331313,0.00000000,0.02570459,-0.01061052,0.00004689,0.01438701,0.00000000,-0.03983853,-0.01079233,-0.00939034,0.00000000,-0.03005320,0.00000000,-0.01723978,-0.01809386,0.00078228,-0.05252845,0.00616818,-0.00820541,0.00000000,0.00000000,-0.00664773,-0.01078365,-0.00642229,0.00753717,0.01459211,0.01122870,0.00308647,0.00067876,0.00000000,0.00556318,-0.00085128,-0.00787864,0.00000000,-0.02014511,-0.00752744,-0.00659024,0.00000000,0.00458576,0.00000000,0.01078465,-0.08345383,0.02630593,-0.02168842,0.01344102,-0.07469850,-0.00637769,0.01132269,0.02092893,0.00000000,0.00701745,-0.00325008,0.01541683,0.02725353,0.00000000,5.92728380,-0.02905309,-0.03314161,-0.00996531,0.01120506,0.00000000,-0.01302309,-0.00821929,0.00541994,-0.00749573,0.01205531,-0.06082705,-0.00387113,0.00550183,0.01915389,0.01837447,-0.00137296,0.00000000,-0.01283038,0.01958075,0.01540209
0.04053958,-0.00814769,0.00000000,0.01273706,0.01609598,-0.01694388,0.00833035,-6.99831741,0.01670095,-0.01465205,-0.02679184,-0.01225520,0.02320435,-0.01625582,0.01961690,-0.01888007,0.00480463,-0.00167496,0.04629102,0.01344412,0.00157676,0.02223266,-0.00764856,0.00239859,0.00000000,-0.01607151,0.00138175,-0.00923767,0.03911269,0.00000000,0.00040653,-0.00586628,0.03145244,0.00000000,-0.01997773,0.00000000,-0.00328477,-0.01596773,0.00105706,0.00579678,0.02002543,0.00392773,0.00000000,0.00000000,-0.00484564,-0.00170310,0.01279631,0.00210577,0.00348089,0.00562885,-0.00187487,-0.00644730,0.00000000,0.01014690,0.01406689,-0.00090968,0.00000000,0.00910066,-0.00262019,-0.01429691,0.00000000,0.03557221,0.00000000,0.00553843,0.01600611,0.03615736,-0.02905761,0.00413393,-0.01811493,0.00533258,0.00714378,0.00514534,0.00000000,-0.01165872,-0.04540263,0.01024694,0.01313176,0.00000000,5.99594635,-0.00211645,-0.00237958,0.01235896,-0.01028577,0.00000000,0.01004976,0.01758702,0.01601674,-0.02313474,-0.03504120,0.03620907,0.01597308,0.00286805,0.02352268,0.00183262,-0.01534087,0.00000000,-0.00114176,-0.00398009,0.01378952
