strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.01967967,0.00628049,-0.03746340,-0.00013725,-0.00708844,0.02992580,0.02648318,0.00786885,-0.02069710,0.01170455,-0.01121383,-0.01251702,-0.02385841,-0.01080628,-0.01431290,-0.01601382,-0.00654475,0.00222704,-0.00902248,-0.01441862,-0.00536087,-0.00355536,0.02282947,0.00537751,-0.01549758,0.03267273,-0.00610901,-0.00216895,-0.01978801,-0.00755546,-0.00234949,0.02521866,-0.02918392,0.00449479,0.01144318,0.00791665,-0.01688160,-0.00023274,0.00029929,0.00789686,-0.01461865,-0.02114180,-0.01499265,-0.01015702,0.01283395,0.03390717,0.00723971,0.00315313,-0.00870998,-0.01436166,0.01515984,0.00412467,-0.02294895,0.01273101,-0.00253496,0.01474378,-0.00860421,-0.03942254,0.03794404,-0.00258227,0.01422010,-0.01671811,0.01267418,-0.00059329,-0.00505059,-0.00671565,-0.00317027,-0.01118423,0.00555742,-0.00224395,0.00425920,0.01102341,0.01990392,-0.00030494,0.02067331,-0.02147529,-0.01736257,0.02917346,-0.02081082,0.02762571,0.00504403,0.00787649,0.00034345,-0.02032557,-0.01052763,0.01900529,0.00346707,0.02202767,0.00232620,0.02147945,-0.01665465,-0.00496131,-0.02946074,0.01787505,-0.00851311,-0.00806078,0.00614677,-0.00345593,-0.01742666
0.00163144,-0.02023058,0.00334244,-0.01278157,0.01506377,0.03052921,0.02667922,0.00452618,-0.01351442,-0.01670330,0.01097717,0.01862837,-0.01401341,0.00204363,-0.03176693,0.00463633,0.00589552,0.00673059,-0.00504687,0.01674372,-0.23440860,-0.01030984,-0.01099441,0.03254296,-0.00840989,0.00220935,-0.00168729,0.00189064,0.03794876,0.01092990,0.00891122,0.00378855,-0.00275625,-0.00826890,0.00083875,0.00669282,0.00780260,0.00598898,0.01332681,-0.02207500,0.01775058,0.00268196,-0.02773771,-0.01317815,0.00864585,-0.01239904,0.00150769,-0.05085894,-0.03074175,-0.03026503,-0.00686433,-0.00561815,0.01258345,0.00087629,0.01041672,-0.00784353,-0.01904901,0.00216307,-0.00466842,-0.01619099,-0.02390296,0.01961938,-0.03272758,-0.01220695,-0.01191655,-0.02396536,-0.01303608,0.00895080,0.00567298,-0.01174626,0.02343739,-0.00476450,-0.01104731,-0.05156363,0.01345482,0.02220715,-0.01716401,0.00309767,-0.00283021,-0.03079559,-0.02493060,-0.00217212,0.00744522,0.00786306,-0.00924916,0.00458696,-0.03299404,-0.02033300,0.01267873,0.00233697,-0.00321977,-0.00713795,0.01583194,-0.00249245,-0.01175608,-0.00464521,-0.03118942,0.01336710,0.01032987
-0.01655080,0.02548437,-0.01177089,-0.00702148,-0.01193477,-0.00251268,0.00005792,-0.00286738,-0.00048473,-0.00665593,0.00914681,-0.00388933,0.00988513,0.00250388,0.04751901,0.00018197,0.02793919,0.02330868,0.00123062,0.01902862,-0.00393412,-0.01877063,-0.02202795,0.02096312,-0.00463273,0.02394082,0.00766620,-0.00533463,-0.00704898,0.01446927,-0.00761619,-0.00186667,-0.00022769,0.00462541,0.00561761,-0.00613141,0.00477703,-0.00552644,0.00717431,0.00052338,-0.01835302,-0.00385694,0.00481942,-0.02740804,-0.00493611,-0.00833758,-0.02375421,-0.00696856,-0.02450056,0.00602811,0.04093780,-0.01563069,0.00042195,0.00515002,-0.00207295,0.01304332,-0.00180825,0.00730065,-0.00307805,-0.00978160,-0.00873976,-0.02818740,0.00428246,-0.00213274,-0.02794219,0.03792481,-0.00474062,0.02177086,-0.00580531,0.00679388,0.01655706,0.03784197,-0.00240556,0.00286753,-0.01887981,0.00222341,0.03180020,0.00634424,0.00584093,-0.01996086,0.00301886,-0.00016238,0.00156824,0.00957919,0.02043023,0.00871356,0.00778792,0.00981927,-0.00265022,-0.02581769,-0.01538742,0.00610033,-0.03779776,-0.00700178,-0.02688397,0.00582587,-0.00038490,0.01207300,0.01645115
-0.00032952,0.01285960,0.02300928,0.02074941,0.02528471,0.00781219,0.00622762,-0.00925060,-0.03084784,-0.04017432,-0.03676035,0.02392656,0.00281852,0.01137193,0.01109958,-0.01343571,0.06070601,0.00100863,-0.01777747,-0.05405979,0.00839789,0.02244668,-0.04070354,0.00390806,0.00625014,-0.02491147,0.02135812,0.00616990,-0.00183848,-0.00235929,-0.02671551,0.02418724,0.00080612,0.02782192,0.01292791,-0.00699035,0.00480443,-0.00166467,-0.00712317,0.00128280,-0.02058827,0.01016396,0.00023279,-0.00991268,0.01251130,0.08745273,0.02993572,0.03771816,-0.03523226,-0.02259260,0.00149201,-0.00293737,0.00459378,-0.02634179,0.01077908,-0.01027012,0.01021744,0.02522221,-0.01717739,-0.04277502,0.00586814,-0.01660747,-0.00472881,0.00109031,0.01961790,-0.02087462,0.00871329,-0.01173769,0.00302369,0.01243471,0.00691762,0.01683526,0.01313409,0.01402810,0.02180350,0.00284025,-0.00939784,0.01718682,-0.00062169,0.00034899,0.00693543,-0.00345746,0.01626714,-0.01689160,0.01161119,0.00710815,-0.00961173,0.04084861,0.01772632,-0.00044562,0.19613818,0.05958045,0.00002192,-0.00508328,0.02029510,0.00998556,0.01815044,0.02841437,0.00138081
0.00207005,-0.00453587,-0.03547069,-0.01373899,0.00533077,-0.01140419,0.00772624,-0.01991672,-0.01334236,-0.00726966,0.00791823,0.00997115,0.00658338,0.00277725,0.02566458,-0.00068585,0.14927912,0.01845576,-0.00955675,0.02607028,-0.00004756,0.03607538,0.01012943,0.00716732,-0.00679144,0.01511053,-0.00230892,0.00717179,0.03863503,0.00202400,0.01043331,0.02327671,0.00719793,0.01497103,0.01531158,-0.01026700,0.00341547,0.00479851,-0.00094770,0.00028621,-0.02254372,-0.02263288,-0.01335846,0.01476252,0.25262369,0.01072796,-0.01028636,-0.04825198,0.00466163,0.00843392,0.00656080,-0.00275036,0.01422187,0.00527433,0.02058044,0.02539952,-0.00547449,-0.03485406,0.01028778,-0.02649486,0.00364619,-0.01361239,-0.00672845,0.00181747,0.01215519,-0.01865183,0.00361411,-0.01210391,-0.01048734,0.00604324,0.00738201,-0.00139808,-0.00982772,-0.00035878,0.04277904,0.00663674,-0.00745847,0.01855061,-0.00912637,0.02802053,-0.00240655,-0.00921055,0.01033627,0.02020505,-0.06743814,0.01687833,-0.00508468,0.02139258,0.17179542,0.02343058,-0.00044112,0.03452763,-0.03133861,-0.00992278,-0.00897888,0.00798302,0.02607627,-0.00105200,-0.03819880
-0.00563706,-0.02626244,0.00381799,0.03041110,-0.00273206,0.00806891,0.01216394,-0.00875071,0.00322084,-0.04299427,-0.00651322,0.00624681,0.00606397,0.00136573,0.00424380,-0.03300955,-0.01996883,-0.04919129,0.00490273,0.00349230,-0.00523416,-0.00507358,0.01534136,0.04556488,0.00730288,-0.05938462,-0.01674048,-0.01770244,-0.00074329,-0.00766526,0.00587107,0.02756158,0.00215573,-0.00641019,0.00139618,0.00375007,0.01420251,0.01960679,-0.04211941,-0.02088406,-0.02226358,-0.02936588,-0.02059889,-0.02783240,0.00441652,-0.00372569,-0.00742156,0.04823007,-0.01411431,-0.02315877,0.17624018,0.01512419,0.03612157,0.01965872,0.02721884,0.01981838,0.00166183,0.01778371,0.00337301,0.00494159,0.01047213,-0.00676397,-0.00670586,-0.01666450,-0.00004981,0.00329213,0.00667378,-0.00139869,0.00718460,0.01835101,-0.01768817,-0.01354592,0.00063179,0.00436203,0.01041446,-0.00069954,0.01398190,-0.01210286,0.00947194,-0.45400788,-0.00736589,-0.01063645,-0.00468826,-0.02677081,0.01092562,-0.00590714,-0.02055240,0.02556359,0.00198012,0.01316444,0.00707456,-0.00006572,-0.00911842,0.00756048,0.02928549,0.00272171,-0.03993336,0.01394366,-0.00297167
-0.01325207,0.02180011,0.02777028,0.01409733,-0.01875859,0.01607078,0.00093200,0.00420603,0.02595885,0.01113802,0.02851666,-0.02316461,0.00929839,0.01285779,0.00837521,-0.00849823,0.03642276,-0.01337264,0.00863653,-0.01483060,0.01599331,0.01817363,0.00601260,0.01175633,0.01616765,-0.01982236,-0.00419532,0.00796912,-0.00022701,0.01126231,-0.00262287,-0.02446983,0.02115402,-0.02845239,-0.00845834,-0.00150880,-0.03055340,-0.01366659,0.02022890,0.00451008,0.00789012,0.01297211,0.01886627,-0.00033177,0.02565336,-0.00515079,0.01558213,0.10438835,0.00572489,0.01757715,-0.01684479,0.00274455,0.01106275,0.04727151,0.00256710,-0.00122251,0.01544907,-0.00286028,-0.00899614,0.01432570,-0.02180569,-0.01313363,0.00350059,-0.01976463,0.01068352,0.01212628,-0.00174007,0.00832937,-0.00152852,-0.00635686,0.00832462,-0.00316458,0.00879508,0.02524990,0.00728486,-0.01877101,0.03535919,0.00902051,-0.01173494,-0.03656404,0.00319213,-0.02150548,0.01674168,-0.01532420,0.00383619,0.00195087,0.03248974,-0.00210009,-0.00059654,-0.00239186,-0.00771705,0.01932440,0.01441930,-0.00099301,0.01070355,-0.00814396,0.04719187,0.01135338,0.00200950
0.00383539,0.02124512,0.02055728,-0.01064839,-0.00896691,0.00438113,-0.00804053,0.01056365,-0.02388200,0.00382959,0.02378097,-0.12093171,-0.07434610,-0.00446084,-0.00548090,0.01734462,0.03551553,-0.04010370,-0.00161946,-0.01654613,0.02714838,0.00879362,-0.36106759,0.00147340,-0.00977189,-0.01977778,0.01438824,0.01045207,0.03062187,-0.01512299,0.01156494,0.01015126,0.00066993,-0.00033295,-0.00307413,0.00529481,0.00874745,0.01859244,-0.00607317,-0.03881060,-0.01060827,-0.01009072,0.02960568,-0.00201442,-0.01153465,-0.01392671,-0.00170154,-0.04424173,0.00872501,0.01368504,0.03605702,0.02785870,0.04563551,-0.00230261,-0.00342552,-0.00092657,-0.00199031,-0.01395421,0.13643129,-0.01482033,-0.01399750,-0.00485500,0.01050393,0.01674839,0.00537093,-0.00635153,0.01495596,-0.00415603,-0.00946634,0.01314264,-0.00333749,0.00288857,0.00054812,-0.01879295,0.01511158,-0.01835040,-0.00392491,0.01611062,0.07789652,0.01711425,0.01728694,0.00179649,-0.00005790,-0.00964003,0.02106477,0.01348684,0.00293125,0.00381830,-0.00556271,0.00516571,-0.01478799,0.01557726,-0.02588090,0.00342000,-0.01140431,-0.03140286,-0.06028343,0.01162076,0.02843978
0.01774973,0.02365396,0.00624431,-0.00702333,-0.01319692,0.02825712,-0.00174083,-0.02657447,0.03091947,0.00479018,0.01095302,-0.00885857,-0.00126419,0.00061697,0.00006338,0.01032839,-0.03469664,-0.02008961,-0.00080495,-0.01766130,0.00598313,-0.00418421,0.00695509,0.00645417,0.00886528,-0.00705643,0.01476632,-0.00524135,0.01062167,-0.00351773,-0.00208029,0.02263894,-0.01292311,0.00175462,-0.00542977,-0.01064427,0.02097345,-0.00722644,0.00188943,-0.00476149,0.00149274,0.02202753,0.02596305,0.01445869,0.01578299,0.01205480,0.01528103,0.58554631,-0.00573767,0.05081557,0.01042384,-0.01893255,0.00875704,-0.03000296,0.00874042,0.00176242,0.00614250,0.00762003,0.00145552,-0.00856799,0.00475692,-0.01870962,0.00166875,-0.00979107,-0.01010410,-0.00645977,0.00509487,-0.00452187,-0.02057335,0.00781021,-0.00603361,0.00162255,-0.01608196,0.01296844,-0.00395323,-0.00906136,0.01840705,0.00246418,-0.00651423,-0.00788587,0.00470191,0.00113772,0.00338708,0.01293317,-0.00780951,0.02375232,0.01535261,0.00961963,0.01056530,0.01017486,0.00781219,0.00846499,-0.01526830,0.03314441,-0.00192366,0.01782552,0.03773696,-0.01951535,-0.01130398
0.01115662,-0.17435779,0.03784834,0.01310053,-0.00432909,0.00495176,0.00972499,0.00127884,-0.02265610,-0.01896077,0.03598549,0.02301584,0.00148578,-0.01381063,-0.01847291,-0.01161251,0.00321511,-0.05607128,-0.00777413,-0.00409866,-0.00938537,-0.06975535,0.00222876,0.00126424,0.00031060,-0.02336836,-0.00399012,-0.01075191,0.03316551,-0.00232275,-0.00485567,0.01536529,0.00942567,-0.02716768,0.00099021,-0.01926944,-0.00954719,-0.01450865,-0.01448299,0.01121050,-0.07437352,-0.00451568,-0.00443897,-0.06452470,-0.01923903,0.01904940,-0.00237083,0.01592187,0.05222995,0.01771312,-0.00353778,-0.00520405,-0.06335108,0.03256616,0.12755125,-0.00889239,-0.00570879,0.04223297,-0.01349934,-0.04157741,0.00476779,0.01001601,0.01121671,0.00095196,-0.02431601,-0.00181543,0.00022820,0.02322359,-0.00382049,-0.00136279,0.00781294,-0.01795420,-0.01381763,0.00342342,-0.01395391,0.00251832,0.01846404,0.03064576,0.00861135,0.00628333,0.01188343,-0.02397004,0.01241351,0.01060492,-0.03300424,-0.00940686,-0.02362971,0.00165942,0.00094887,0.01835280,0.04982565,0.03390728,0.00265630,0.00403415,-0.00635626,0.01562421,-0.03473578,0.00711499,-0.01285476
