strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.00569035,0.00000000,0.00000000,0.00000000,-0.00252561,-0.01993560,0.00322151,0.00000000,-0.00254678,0.02707907,0.00000000,0.01336056,0.01100326,0.02406664,0.00045737,-0.00765445,-0.00050997,0.01383925,-0.01106725,0.01140941,-0.00523318,0.00000000,0.00036047,0.00000000,-0.02306596,-0.00450498,-0.00062524,-0.00499550,0.00000000,0.01070685,0.03910148,0.01473479,0.00000000,-0.01234167,0.02134225,0.00646171,0.00000000,-0.00679860,0.01753203,0.00191518,-0.02577888,0.00000000,0.00558080,-0.00903978,0.00000000,-0.00659483,0.00000000,-0.00945195,0.00000000,0.00000000,0.00000000,0.00834675,0.00807521,0.00000000,-0.00869682,0.02519674,0.00000000,0.00000000,-0.02807588,-0.00025957,-0.01177691,-0.00055207,0.00000000,0.01420868,0.00000000,0.00662005,0.00518427,-0.00762825,0.00000000,-0.00220709,-0.00828847,0.00043719,0.01654056,-0.04230437,0.00455435,0.01223545,-0.02165872,0.00000000,0.00000000,0.00000000,0.02987935,-0.01952411,0.00000000,-0.03756044,-0.01053443,0.00000000,0.00000000,-0.01473573,-0.01491497,0.00444838,-0.00611261,0.00578700,0.00000000,0.01034678,-0.01161313,-0.00405892,0.00000000,-0.00885148,-0.00638301
-0.00352647,0.00000000,0.00000000,0.00000000,0.00311853,-0.01126410,0.02795874,0.00000000,0.02091635,0.01442859,0.00000000,0.01904769,0.00451170,-0.02469603,-0.00522949,0.00134176,0.00324897,0.02514200,0.00949977,-0.00493867,0.00426181,0.00000000,-0.00962516,0.00000000,-0.01029854,-0.00162125,-0.01114813,-0.01361161,0.00000000,0.02258814,-0.00719920,-0.03005625,0.00000000,0.02653015,-0.00928098,0.00195902,0.00000000,-0.00378763,-0.00486705,-0.00930490,-0.00705172,0.00000000,0.00807462,-0.01390339,0.00000000,0.02045999,0.00000000,-0.01655960,0.00000000,0.00000000,0.00000000,-0.00482848,-0.01494606,0.00000000,-0.00987578,0.03710147,0.00000000,0.00000000,0.00688058,-0.03489864,0.00617792,0.01484084,0.00000000,-0.03824772,0.00000000,-0.00003777,-0.00891551,-0.00313458,0.00000000,-0.01422786,0.02938575,0.01512033,-0.02823985,-0.00016295,0.01940763,-0.00995101,-0.00761365,0.00000000,0.00000000,0.00000000,0.01814385,0.01757282,0.00000000,0.01462494,0.00559463,0.00000000,0.00000000,-0.00975468,0.00400793,0.02962341,-0.02222486,0.02062352,0.00000000,0.00459290,-0.00567690,0.04298858,0.00000000,-0.00821246,-0.02144435
-0.00163868,0.00000000,0.00000000,0.00000000,0.00263148,-0.00785239,0.00338130,0.00000000,-0.01476089,0.00001537,0.00000000,0.04818746,0.01230330,0.00016525,-0.00153640,0.01316958,-0.00555334,0.02965816,-0.00589270,-0.01025261,-0.00132074,0.00000000,0.01721159,0.00000000,0.00804002,0.00520397,0.02126815,-0.00721652,0.00000000,-0.03758705,-0.01757664,0.00938697,0.00000000,0.02060629,0.01517111,-0.01529805,0.00000000,0.01069382,0.02458262,0.00936497,0.00398977,0.00000000,0.02121592,-0.00999913,0.00000000,0.00363053,0.00000000,-0.02207063,0.00000000,0.00000000,0.00000000,-0.00473699,-0.01158251,0.00000000,0.01612917,-0.00738178,0.00000000,0.00000000,0.00473064,0.00042455,0.00143829,0.00094395,0.00000000,0.00430140,0.00000000,0.01280154,-0.00001577,0.00294416,0.00000000,-0.00805627,0.00543588,0.00735292,-0.01843150,-0.00437780,-0.02337609,-0.01074249,-0.01982082,0.00000000,0.00000000,0.00000000,0.00619746,-0.02227882,0.00000000,0.02615166,0.02057855,0.00000000,0.00000000,-0.01610503,0.02498215,0.02907097,0.04595636,-0.05002034,0.00000000,0.01302201,0.01837007,0.00642947,0.00000000,-0.00940365,0.03260568
0.02727827,0.00000000,0.00000000,0.00000000,-0.00773921,-0.01569098,0.01598484,0.00000000,0.01189644,-0.01723708,0.00000000,0.00497376,0.01145680,-0.01072315,0.00105144,0.01348635,-0.04084071,-0.01318620,-0.00692607,0.00207646,0.00502947,0.00000000,0.02048708,0.00000000,0.00636044,-0.02326814,0.00291737,0.01333819,0.00000000,-0.03224159,0.01585787,-0.00698229,0.00000000,-0.01907801,-0.02544975,-0.00358801,0.00000000,-0.01847332,-0.01601293,0.01542818,-0.01157593,0.00000000,-0.01771612,-0.00830338,0.00000000,-0.02094767,0.00000000,0.00196528,0.00000000,0.00000000,0.00000000,0.00591873,0.01768587,0.00000000,-0.01474231,0.03109093,0.00000000,0.00000000,0.00052361,-0.01822539,-0.00890691,0.02968184,0.00000000,-0.01599327,0.00000000,-0.01724637,-0.00548375,0.00320220,0.00000000,-0.00298937,-0.00000692,-0.01046345,-0.01323532,0.01235989,-0.01071410,0.00138907,-0.01294231,0.00000000,0.00000000,0.00000000,-0.00409004,-0.02135491,0.00000000,-0.01058123,0.00412684,0.00000000,0.00000000,-0.01482309,-0.00539241,0.01186154,-0.01190071,0.04365423,0.00000000,-0.00062717,-0.01090401,-0.02764201,0.00000000,-0.01557171,-0.00859351
-0.00629684,0.00000000,0.00000000,0.00000000,-0.02902724,-0.00107127,0.01483914,0.00000000,-0.00301000,-0.02267398,0.00000000,-0.00693837,0.00135314,0.01037270,-0.03996562,-0.00758560,-0.00860731,0.00838362,-0.01087338,0.01452615,0.01384152,0.00000000,0.01657311,0.00000000,0.00924300,-0.02156826,0.00574299,0.00487240,0.00000000,0.00433264,0.00650289,-0.01484907,0.00000000,0.00379170,0.02213674,0.02180090,0.00000000,-0.03855551,-0.02054266,-0.01192099,0.00219233,0.00000000,0.02972688,0.00364555,0.00000000,0.05246717,0.00000000,0.00116917,0.00000000,0.00000000,0.00000000,0.01618629,-0.00921373,0.00000000,-0.01232046,0.01550009,0.00000000,0.00000000,0.01159339,-0.00287788,-0.01011871,0.01112359,0.00000000,-0.00114669,0.00000000,0.05126716,0.00050463,-0.01183434,0.00000000,-0.02876990,0.00937808,-0.02541059,-0.00365953,-0.00628294,-0.00352760,0.00608508,0.01983680,0.00000000,0.00000000,0.00000000,-0.04336410,-0.02070792,0.00000000,-0.00114736,-0.00829144,0.00000000,0.00000000,-0.00736822,0.02001726,-0.02348622,0.01753803,0.00140630,0.00000000,0.02404104,-0.01472525,-0.01029835,0.00000000,-0.01004923,-0.00210273
-0.05299327,0.00000000,0.00000000,0.00000000,0.00079757,-0.00487358,-0.01323412,0.00000000,0.00906204,-0.03428127,0.00000000,-0.01889237,0.01029795,-0.00582524,0.02567148,0.00022265,-0.01487984,0.02079731,-0.00679152,0.00737332,0.01018801,0.00000000,0.01871205,0.00000000,0.01782167,0.01459326,-0.00135915,-0.01456421,0.00000000,-0.03183541,-0.00994864,-0.01523568,0.00000000,-0.00559981,-0.01419546,-0.01476067,0.00000000,-0.00703437,0.00135941,0.00134749,0.01161401,0.00000000,0.01834765,0.02013554,0.00000000,0.02329685,0.00000000,0.02050593,0.00000000,0.00000000,0.00000000,-0.02995484,-0.02804886,0.00000000,-0.00432500,-0.00405296,0.00000000,0.00000000,0.00542694,0.00998507,0.00025493,-0.00395667,0.00000000,0.00226667,0.00000000,0.00138508,0.00482964,-0.01089099,0.00000000,-0.00655380,0.01453525,0.01350416,-0.00210587,-0.01226084,-0.02354260,-0.01541112,0.00630749,0.00000000,0.00000000,0.00000000,0.00443784,-0.01760930,0.00000000,-0.00329706,-0.00855260,0.00000000,0.00000000,-0.00130106,0.00955514,0.01991287,-0.04365945,0.00160343,0.00000000,-0.00721262,-0.00521034,-0.00938339,0.00000000,-0.01419666,0.00342731
-0.00115386,0.00000000,0.00000000,0.00000000,0.00602456,-0.02015851,-0.00766725,0.00000000,-0.00123962,0.01686184,0.00000000,-0.01584593,0.02263704,0.00019442,0.00299792,0.00082728,0.00371514,-0.00514422,-0.03594120,-0.00563011,-0.00799307,0.00000000,-0.02420622,0.00000000,-0.01061207,-0.00205323,-0.04635273,-0.00458273,0.00000000,-0.01877706,-0.01343178,-0.01143044,0.00000000,-0.00244874,-0.01541325,0.00540513,0.00000000,0.00430545,0.00187155,0.01069873,-0.02449363,0.00000000,0.02895911,0.01559050,0.00000000,-0.00509034,0.00000000,-0.02558409,0.00000000,0.00000000,0.00000000,0.02305261,0.00153307,0.00000000,-0.00440320,0.00951404,0.00000000,0.00000000,0.00429331,-0.03716959,0.02475319,-0.02820991,0.00000000,-0.00205576,0.00000000,-0.00238433,0.00727594,0.01430087,0.00000000,-0.00519104,0.00649787,0.00856290,-0.00314630,-0.01245349,0.00222500,-0.03940635,0.01806096,0.00000000,0.00000000,0.00000000,-0.01024002,-0.01957744,0.00000000,-0.00017307,-0.00696223,0.00000000,0.00000000,0.01589959,-0.01323700,0.02244105,0.03647577,-0.01460208,0.00000000,-0.00141820,-0.02406820,0.00441285,0.00000000,-0.00783702,-0.01590869
0.02383871,0.00000000,0.00000000,0.00000000,0.00667436,-0.03023078,0.02775130,0.00000000,0.01409129,0.00450439,0.00000000,0.00675754,0.00500368,-0.01209937,0.00960878,-0.00572026,0.01069070,0.01691344,0.00828519,-0.00503085,-0.01542277,0.00000000,-0.00633036,0.00000000,0.01740528,0.02170602,0.00185938,0.00839200,0.00000000,-0.00720153,0.02218800,-0.02061853,0.00000000,-0.01684844,0.00393691,-0.00560911,0.00000000,0.02486809,-0.00531215,0.00171735,-0.01110466,0.00000000,0.01202241,0.01432382,0.00000000,-0.01104138,0.00000000,0.00271506,0.00000000,0.00000000,0.00000000,-0.00536439,-0.00328230,0.00000000,-0.00784483,0.01155231,0.00000000,0.00000000,-0.02532789,-0.03027403,0.00680527,0.02107492,0.00000000,-0.01640196,0.00000000,0.01314932,-0.00428931,-0.00010145,0.00000000,-0.01254535,-0.01954688,0.02552720,-0.04896872,-0.02598567,-0.00933126,0.00097082,0.00169595,0.00000000,0.00000000,0.00000000,0.02910432,0.00712555,0.00000000,-0.02290654,-0.00369368,0.00000000,0.00000000,-0.00893956,-0.01977558,-0.03614864,-0.05577033,0.01257683,0.00000000,0.00442279,0.00066073,-0.00095563,0.00000000,0.00633569,0.02126311
0.02597526,0.00000000,0.00000000,0.00000000,0.00593219,-0.02473587,-0.02604279,0.00000000,0.01059924,-0.00609352,0.00000000,0.00483695,0.00080498,0.03075336,0.00012523,-0.00705733,0.01308495,0.00443992,0.02455736,-0.00936912,0.00087474,0.00000000,-0.02539280,0.00000000,0.00803109,0.01007710,-0.02015495,0.00696021,0.00000000,-0.05152632,-0.00747266,0.00661030,0.00000000,0.02933509,0.00932423,-0.00890121,0.00000000,-0.00758676,-0.01800880,-0.02078523,0.00516234,0.00000000,-0.00948561,0.00993095,0.00000000,0.02111720,0.00000000,0.02346584,0.00000000,0.00000000,0.00000000,0.01253397,-0.00243324,0.00000000,-0.00244068,-0.00999477,0.00000000,0.00000000,-0.00388297,-0.00428142,0.02926567,-0.00752045,0.00000000,-0.00512699,0.00000000,-0.01329100,-0.00327437,-0.00192536,0.00000000,-0.01173919,0.02450729,-0.00536670,-0.03554951,-0.00780695,0.01081438,-0.02549269,-0.03437961,0.00000000,0.00000000,0.00000000,-0.00059036,0.00806652,0.00000000,0.01988237,0.01304772,0.00000000,0.00000000,-0.00533428,-0.01376503,-0.00522205,-0.01143711,-0.00631903,0.00000000,0.00921296,-0.00107481,-0.01701913,0.00000000,-0.01585458,-0.00194415
0.00066749,0.00000000,0.00000000,0.00000000,0.03471159,-0.00952232,-0.00985179,0.00000000,0.01547838,-0.00341181,0.00000000,-0.00861790,0.00761696,0.00402694,0.00432126,0.04211374,0.02301533,-0.00999710,0.00262692,-0.00858473,-0.00287812,0.00000000,0.02042748,0.00000000,-0.02013188,0.01430411,0.02095054,0.02071497,0.00000000,0.02395483,0.01785239,-0.00926838,0.00000000,0.00424330,-0.00762768,0.01567807,0.00000000,0.01437578,-0.00073618,-0.00448403,0.00671732,0.00000000,-0.00655335,-0.02322651,0.00000000,-0.00530100,0.00000000,-0.04102280,0.00000000,0.00000000,0.00000000,0.00609520,0.00818582,0.00000000,-0.01641042,-0.06882479,0.00000000,0.00000000,0.00600640,-0.01142020,-0.01991091,0.00186126,0.00000000,-0.01753799,0.00000000,-0.00091848,-0.01159994,-0.01126558,0.00000000,0.00309014,0.00352674,-0.00777498,-0.01305495,-0.00831798,-0.00368510,-0.00950056,0.00650076,0.00000000,0.00000000,0.00000000,0.01036870,-0.00777798,0.00000000,-0.01258448,-0.01256050,0.00000000,0.00000000,0.00692016,-0.03854865,-0.01269809,0.00281291,-0.01789003,0.00000000,-0.00318790,0.00440188,0.01133942,0.00000000,0.01530246,-0.02056021
