strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.01862914,0.00072060,-0.02498563,0.00664805,-0.01297977,0.00755427,0.03799735,0.00899860,0.00384982,-0.00637471,-0.02495012,0.02863196,-0.01040261,0.01083209,-0.01063022,0.01044404,-0.00850836,0.00279568,-0.01939651,0.01576636,0.02385171,0.00270802,0.00756816,-0.01433676,-0.03046527,0.02739248,-0.02734327,-0.02115525,-0.01232007,0.00617373,-0.02317433,0.00879712,0.01706548,-0.01039214,-0.01335560,-0.01994983,0.00671866,-0.00363798,-0.00402068,-0.00711182,0.00526149,-0.01815927,-0.01332238,0.00760477,0.00032970,-0.03302076,-0.00365792,0.01351828,-0.05432975,-0.01301360,0.03192201,-0.00131833,0.00920408,0.01614048,0.01004704,-0.01283493,0.02315095,-0.00020981,-0.03063079,0.03509967,0.00557278,0.00530238,0.01038078,0.03023834,0.00433052,-0.00029123,0.00383426,-0.02097242,-0.01690808,0.01224311,-0.03676731,-0.00288385,-0.01951957,-0.02268018,-0.04242489,-0.01614387,0.01340411,-0.07092972,0.01517395,-0.00114180,-0.01505518,0.01016080,0.00884080,-0.01060673,0.00452876,-0.00244572,-0.01139581,-0.00362653,0.00631556,-0.01187518,0.02380993,0.01182874,0.00194943,0.00332827,-0.01978024,-0.02246392,0.02421245,-0.01010216,0.00816732
0.01267886,0.00797642,0.00336317,0.00861947,-0.00944115,0.02526797,0.00767317,0.01610348,-0.00876422,-0.00319189,-0.00883508,-0.00314883,-0.01403839,0.00924257,-0.01368754,0.01531042,0.00897261,-0.02026647,-0.01829512,0.03276948,-0.00958201,0.00859173,0.01433217,-0.01738960,0.01589987,-0.01157146,0.00563457,0.00136125,-0.01788563,-0.00798111,-0.01244660,-0.02500082,-0.02520730,0.00653438,-0.02518100,-0.00004717,0.01662804,0.02911476,-0.01000010,-0.02594829,-0.01524637,-0.00302588,-0.01549138,-0.00868658,-0.01002877,0.00803348,-0.01258722,0.04011226,-0.02138055,-0.03569114,0.00667719,-0.01308537,-0.00461265,0.00407415,-0.01162681,0.00914646,-0.01630967,-0.00079703,0.02403166,0.01271037,0.01180420,0.00740065,0.00247610,-0.01049736,0.00674686,0.00620158,0.00829909,-0.00844202,-0.00133769,0.01118644,0.01369719,-0.03550793,-0.02492009,0.00027292,-0.03396814,0.01769619,0.02009157,0.01830885,0.03431024,-0.01140333,0.00913186,-0.00838583,0.00853538,0.00599008,-0.03086979,-0.00243009,0.00045278,-0.00189510,-0.01550313,-0.04618284,0.02691827,-0.00331326,0.01341942,-0.03624352,0.00436972,0.02806352,0.00010961,-0.01439938,-0.00382122
0.05545399,-0.01729378,-0.02369012,0.00602902,-0.00329566,0.01450003,-0.00384922,0.00484767,-0.00382324,-0.00094559,0.01674884,0.00882444,0.00424985,-0.02081699,0.00549984,0.00253481,0.02712838,-0.01184511,0.00592084,0.06049357,-0.00121658,0.00695796,-0.00379300,0.01039262,-0.02420024,-0.00947151,-0.02145411,-0.01675304,-0.02678841,0.00903937,0.03127955,0.02336345,-0.01052633,-0.00888078,0.01075129,-0.00564287,0.00663001,0.04438785,0.00101532,-0.00145295,-0.01104767,0.01244059,0.00032284,0.00501836,0.03526557,-0.02551419,0.01865052,0.04940948,-0.00501888,-0.01543273,0.01268403,-0.00134694,0.02231596,-0.00057341,-0.02062749,-0.00746129,0.00162422,-0.00660944,-0.00609688,-0.03637351,0.00126297,-0.01487215,-0.04250084,-0.02333468,0.00237060,-0.01327670,-0.00339045,-0.01542982,0.01275957,0.02485129,-0.00913337,-0.03098999,-0.00646339,-0.00626146,-0.00320811,-0.03620503,0.01313575,0.02351228,-0.00515949,0.01741131,0.02583853,-0.01074194,-0.00626248,-0.00355952,-0.00121293,-0.00074700,0.04487630,-0.00506188,0.01227056,0.01381374,0.03053421,-0.01178170,-0.00409578,-0.00433781,-0.00182177,0.00515998,-0.02565148,-0.02848647,-0.00333917
-0.01788320,-0.00776608,-0.01785518,0.00346118,-0.00936446,-0.00448636,-0.02965659,-0.01455257,-0.03065342,0.03340599,0.01279281,-0.01761597,-0.01307822,0.01998102,-0.01618610,0.02481015,-0.00930380,-0.03287116,-0.03683655,0.04566476,0.00465777,0.01617595,-0.02520843,-0.01513778,-0.01278916,-0.02433278,-0.00899394,-0.03671477,-0.01456853,0.00902952,0.00208705,-0.02713072,0.02827335,-0.00024223,-0.00870991,-0.00882639,-0.01414054,0.02691141,-0.00443177,-0.02940508,0.01913885,-0.00281019,0.01500099,-0.01412968,-0.02493076,0.01092499,-0.01854302,0.04791268,-0.04219231,-0.05394070,-0.02767200,0.01259965,-0.00197562,0.00559574,-0.02763475,-0.01867468,-0.01286853,-0.00848495,-0.00871968,0.00764669,-0.00418278,-0.00689815,0.05225737,0.02849748,-0.00526004,-0.02998549,-0.00247714,-0.02630907,0.00441109,0.01114262,0.00863193,0.01425424,-0.02458641,0.01833538,0.02293604,0.00915063,0.02479430,0.03778657,-0.00605100,-0.01270399,0.01687310,0.00010974,0.01049775,-0.01771187,0.00435736,0.01469212,-0.04056989,0.02304813,0.01004278,-0.03065031,0.03615568,-0.00549912,0.00199971,-0.00710637,-0.01143519,0.03857073,0.00428107,0.04076607,-0.00585411
-0.00125362,-0.00289911,0.01034475,0.01910529,0.02686616,-0.00704957,-0.01826596,-0.01917228,-0.04502394,-0.00937993,-0.02177191,-0.00878156,-0.00111801,0.00862711,-0.00087308,-0.00448513,0.04148263,0.00583453,-0.02446599,-0.04320756,0.02196370,-0.01492950,-0.00239183,0.01762914,0.01482204,-0.03901672,0.00231412,-0.00722750,0.00329654,0.01255105,-0.00214538,-0.02623233,-0.00596682,-0.02218350,0.03901526,0.02238533,0.00027217,0.00742936,0.00160903,-0.02621749,0.01954457,-0.02251835,0.01390991,0.00091086,-0.00941638,0.01026825,-0.00151471,0.02727221,-0.01409937,-0.00891507,0.02558022,-0.00234996,-0.02084323,-0.02345964,-0.01442059,0.00695847,0.00677232,0.01987284,-0.03475757,-0.01565364,-0.00687322,-0.01240843,-0.00286185,-0.00355986,0.01124040,-0.01598782,0.00691597,0.01182170,-0.01944133,-0.01769898,-0.00997215,-0.00411648,0.03591136,-0.00989855,-0.05499063,0.02752421,-0.02047575,0.03171018,0.00380856,-0.01269062,-0.00160480,-0.03045487,-0.01070599,0.00962658,-0.00970005,-0.01570268,-0.02844057,0.00374985,0.00424079,-0.01319300,-0.00415217,0.01336104,0.00450010,0.01390355,-0.00060738,-0.01083046,-0.00423133,-0.00198994,-0.00054494
-0.00843883,-0.00796526,-0.00065310,-0.02167439,0.01077134,-0.01849740,0.02795031,-0.01322084,-0.00302444,0.00761881,0.03519530,0.01938501,-0.00369805,-0.00029467,-0.00440321,0.01860976,-0.02006953,-0.01474425,-0.00360808,-0.00145415,-0.00706965,0.00968789,0.00751186,0.02319700,-0.00169947,0.00001486,-0.00395097,-0.01960154,-0.04470538,-0.00677578,-0.00742503,-0.00259745,0.01314946,0.01996595,0.00700294,0.01119819,-0.00420968,0.00097242,0.02428861,-0.03329715,0.01086133,0.00064550,-0.00117721,0.00616063,-0.04434018,-0.02008901,-0.01573474,-0.00006452,0.00327248,-0.03495295,0.00293134,0.00193854,0.01735974,0.00089469,0.00816387,-0.00361036,-0.01116571,-0.00213137,-0.01023239,-0.01488486,0.02712943,-0.01778992,0.01179677,0.01118460,-0.01153526,0.03342793,-0.02005336,-0.00565895,0.01382523,0.00852718,0.00511499,-0.00004615,0.00063428,-0.01239864,0.01244372,-0.01519997,-0.01436410,0.05619452,0.01022359,-0.00753928,-0.00456073,-0.02177866,-0.00194143,-0.03826260,-0.00434172,-0.04683385,-0.00347744,-0.00900029,0.01518087,0.01698265,-0.01316986,0.00048588,-0.01648075,0.01276192,-0.00669855,0.02238189,0.00001511,-0.02152726,-0.02152809
-0.01359267,-0.00091751,0.00870926,0.00967618,0.01172037,-0.01462258,0.03514916,-0.01018062,-0.01721490,0.01075108,-0.03125826,-0.00414814,0.00458972,-0.00862852,-0.01282301,-0.00951328,-0.00890934,-0.04133198,-0.03852209,0.00979908,-0.00132686,0.00217700,-0.00515413,-0.00013718,0.03587095,-0.02503282,-0.00926591,0.00343405,-0.00125951,-0.00153337,0.03083250,0.02162452,0.00904097,-0.01364884,-0.00684982,0.01703642,0.00375008,-0.01244055,0.01354527,0.01628886,0.03304376,-0.01216343,-0.00682984,-0.01249855,0.02996239,0.00497059,-0.02947616,-0.00713469,-0.01054594,0.01352789,0.00842490,-0.01603034,0.00452291,0.00351990,0.01799988,0.00088481,-0.00754992,-0.02862890,-0.01331319,0.01236879,0.03089223,-0.00003670,0.00195405,-0.00570862,-0.00923434,0.02530899,-0.01460801,-0.00896425,-0.02079489,-0.00508945,-0.02191068,-0.02391219,0.02443231,-0.00310399,-0.00851743,-0.00814847,-0.00216624,-0.00522047,0.00076670,0.02917985,0.00734939,-0.00290651,-0.00773175,0.00186112,-0.01787078,0.00418552,-0.01390461,0.00591041,-0.01459940,-0.04278868,-0.00065278,-0.02753167,0.01707590,-0.04048204,0.00925406,0.00465043,0.00050577,-0.00707734,-0.01232550
0.00043578,0.00249921,0.02209872,-0.02986397,0.01180497,-0.01954026,0.02971570,-0.01210483,0.00625511,0.00295431,-0.01210660,0.00030817,-0.00260927,0.00288800,0.00842606,0.00401016,0.01448452,0.01508781,0.03199457,0.00827060,-0.03967705,-0.01597159,-0.02878196,0.00143675,-0.04254203,-0.01693086,0.00852189,0.00114616,0.01668084,0.00666314,0.00815266,-0.00342016,-0.01462378,-0.01289676,-0.00635029,0.00355366,-0.02050633,0.00370165,0.01097709,-0.01745517,0.02254381,-0.00647086,0.00173732,0.00651300,0.01376674,-0.00985216,-0.00006593,-0.00027596,-0.02746540,0.00976870,-0.03221660,-0.01276304,-0.02971265,-0.02253389,0.01857485,-0.03392986,-0.00253317,-0.02674368,0.00392498,0.01485192,-0.01105942,-0.00719513,0.02259868,-0.02202594,0.00628487,0.00970309,-0.01031277,0.00325458,-0.01538118,0.03946681,-0.02190690,0.00511105,-0.01407155,-0.00286948,-0.00018400,-0.03260433,-0.03527987,-0.07393825,-0.00742239,-0.01569519,-0.01335688,-0.01575610,-0.01468742,0.01412612,0.00011895,0.00117478,0.02696962,-0.02168356,0.00108261,0.03954367,-0.01747041,-0.00190797,0.03293690,-0.03020952,0.00413978,-0.00714995,0.01135402,-0.00823855,0.00009828
0.05124672,0.01257313,0.00467958,0.00313150,-0.01685386,-0.01790561,-0.02661210,0.00860212,0.00589989,0.00935625,-0.01743780,-0.02566120,-0.00872520,0.00036180,0.00884841,-0.01982152,0.03683659,-0.01990138,0.01608689,0.01373045,-0.04252690,-0.01181361,-0.00354999,-0.01221903,0.01273136,0.01866365,-0.00556551,0.03737767,-0.02868309,0.00777816,-0.00406039,-0.02166884,-0.00337027,-0.00090965,0.04953765,-0.00046478,0.00981927,-0.04928763,0.01451855,-0.02123221,0.01670455,-0.00084037,0.02604344,0.01353280,-0.00126461,0.02519869,0.01538338,0.01007171,-0.01778071,0.01039910,-0.05180925,-0.01205111,0.03822797,0.00078611,-0.01703599,-0.00118959,-0.02523744,-0.00432099,-0.02044265,0.01242409,0.03106199,0.00190878,0.03101718,0.01901580,-0.01578561,-0.00670895,-0.04098970,-0.02898618,-0.00663110,0.01101738,-0.03300581,-0.03886970,-0.01983169,0.00413456,-0.00247431,0.01411974,0.01497397,-0.02318832,0.02508680,0.00929176,0.01972422,-0.01305969,0.00470099,0.00827851,-0.00754061,0.01453248,0.00623459,-0.00859735,0.00507019,-0.00898388,-0.00476486,0.00398813,0.01503716,-0.01374343,-0.02298986,0.00248921,-0.01763088,-0.01186501,-0.01283648
0.00922102,-0.01765879,0.00029221,0.02593166,0.03046212,-0.00985515,0.00970364,0.01805335,0.04454413,0.00232249,-0.02916183,0.03631117,-0.02445862,-0.00673691,-0.00592362,-0.01497766,-0.00733552,-0.00081713,-0.02672864,0.00676691,-0.01325370,-0.01358853,0.00980099,-0.00609446,-0.00724184,0.02720129,0.00944074,0.00157570,-0.01301592,0.01169306,0.00113273,-0.00179792,0.01248847,-0.01685152,-0.00555767,-0.01564798,-0.00540929,-0.04236501,0.03862647,0.01350307,0.01945211,0.00655141,-0.01909537,0.01740414,-0.01933459,0.00889536,-0.02185112,0.00801580,-0.00805061,0.00024052,0.01326093,0.00959254,-0.02919940,0.02205277,0.00745213,-0.01855180,0.02391941,-0.00483555,-0.03818624,0.00341059,0.01177864,0.00414497,0.03245707,0.03360818,0.01571591,-0.02417991,-0.02599352,-0.00554335,-0.01248080,0.01330526,0.01451207,0.01824863,0.02735800,0.04215954,-0.01795070,0.01794090,0.00685539,-0.00208996,0.01396323,0.02427302,-0.00718020,0.01300831,0.01151721,-0.01133322,-0.00474678,0.01137987,0.00966187,0.00053535,0.02401433,-0.03050365,-0.01229301,-0.02416588,-0.01043835,0.01809364,-0.00838822,0.01655261,0.00841018,0.01797002,-0.01535495
