strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.00559032,0.00027684,-0.01417398,0.01923354,0.00822972,-0.00828722,0.01405268,-0.01026078,0.03411154,0.01018340,0.01670257,0.01813885,-0.06478223,-0.00773062,-0.01986331,-0.01322193,-0.01921428,0.00646137,0.01820795,-0.02297031,0.00202212,-0.02429491,-0.02659781,0.01484837,0.00236936,-0.05403620,-0.00248994,-0.00061328,0.03148187,0.00880456,0.04069286,-0.01314332,0.00606111,0.01080673,0.02971872,0.03310772,0.00483363,0.00995259,0.00109040,-0.05114398,0.01761064,0.00998813,0.02380541,0.00204803,0.01047149,0.01928510,-0.00737437,10.01416988,0.02608397,-0.01371763,-0.02970981,-0.04022022,0.00955413,-0.00269848,0.02642057,-0.02305309,0.00028762,0.01102885,-0.00932956,-0.01665168,0.00717309,-0.00300913,0.03092741,0.00149431,0.01692979,0.00742891,-0.02108682,0.01406574,0.00769021,-0.00459313,0.01373544,-0.00427670,-0.01033575,0.00249696,-0.00893077,-0.00234333,0.00635106,0.00121031,-0.00592478,-0.00181260,0.04713828,-0.02027397,0.00994755,-6.01831219,-0.02899354,-0.00595512,0.03966947,-0.01656884,0.00421147,0.00646483,0.01463314,0.02686831,-0.00632064,0.01727993,0.00724498,-0.03299279,0.00631356,-0.01824265,-0.01203116
0.00994597,-0.02437489,0.00176044,-0.00615878,0.00788917,0.02937603,0.03841613,0.01319629,-0.06393569,-0.00753042,0.02163288,0.01328010,-0.02035948,0.02456284,0.02581624,0.00901463,0.02986400,-0.00105958,0.03384103,-0.05148574,0.01135678,-0.00566351,0.01950951,0.02959251,0.00408377,-0.01085346,-0.00258376,-0.02587649,0.01744931,-0.02081243,-0.00956150,0.00687549,-0.01855080,0.01795572,0.00259484,0.00326752,0.01622867,-0.00642330,0.01295747,-0.02237071,0.01740420,-0.01631945,0.00374877,-0.00467345,-0.00859746,-0.01642246,0.01091253,10.00724900,-0.00402859,-0.00457049,0.01681936,-0.04271423,0.00763393,0.01657184,-0.02142748,0.00559050,-0.01735206,0.00738085,-0.00835810,-0.01128927,0.02191666,0.03457022,-0.02580455,-0.02204432,-0.02224984,0.00588942,0.01094778,0.00858051,0.04479805,-0.00077345,-0.01077620,0.01847998,-0.00205937,0.00538709,-0.02037668,-0.00215298,-0.00030042,-0.02266791,-0.04230968,0.02067993,-0.06573202,0.00041822,-0.01706348,-6.00539916,-0.01569767,0.00987877,0.02596370,0.03033086,-0.00728012,0.00417273,0.00915244,0.04720116,-0.02457484,-0.00265580,-0.01865992,0.02750453,-0.02805330,0.01876686,0.00398341
-0.01584741,0.01863882,-0.04112069,0.01472850,-0.00795634,-0.04017070,-0.05505569,-0.01305373,0.05752282,0.00602694,-0.02474312,-0.00199109,0.08691632,0.00235393,-0.03447359,-0.02087739,0.04453383,-0.01446114,0.01979638,0.00743280,-0.00156576,-0.02679565,-0.05875863,0.01684115,0.00146252,0.00277360,-0.03558741,-0.02733739,-0.06263563,0.00052349,-0.04188619,-0.01227933,-0.02491505,0.01757489,-0.01446947,-0.00458099,0.01331009,-0.01023779,0.00029174,0.02935943,-0.05075709,-0.00499514,0.00335108,0.01242121,0.01238761,-0.02332956,0.01193634,10.00008555,0.00282978,0.00693722,0.05834486,0.03638009,0.00281629,-0.00090739,-0.01869988,0.00967058,-0.03296478,-0.00185673,-0.01502986,-0.00963710,0.00082303,0.01248511,-0.00302799,0.00670109,0.04670253,0.02991837,-0.01786880,-0.02774486,0.01785408,-0.00464788,-0.01410717,-0.01333172,-0.00679949,0.02163976,-0.02731084,0.01118832,-0.00129689,-0.01384910,0.02436470,0.00761941,0.00208068,0.05279866,-0.00422340,-5.98510933,0.00634315,0.01114275,-0.00917646,0.00775790,0.00130508,-0.01112476,0.00917536,-0.02915957,-0.01760390,0.00931861,-0.05284078,0.01033032,-0.00093415,-0.02879951,-0.00814592
-0.00381398,-0.01000414,0.00345254,0.00981842,0.01070047,0.00627341,-0.02506658,0.00293194,-0.03012076,-0.00991855,0.00434506,-0.00072699,-0.04397924,-0.01242542,-0.02594415,-0.01193428,0.04640905,-0.00465748,-0.05123237,-0.03668013,0.00747869,-0.02504483,0.01090343,-0.01705983,0.00584665,0.04117305,-0.02429099,-0.05216078,0.05389487,0.01196666,0.03092607,-0.00827441,0.00208654,0.01515187,0.02802293,0.02340689,0.00564079,0.00381126,0.00778942,0.00507916,0.03296315,0.00837000,0.01404630,0.00152222,-0.02552762,0.03998863,-0.00169471,9.99801279,0.00373698,-0.00973285,-0.03065142,-0.03478338,0.02680035,0.00244588,0.02089761,0.02262958,0.01914683,-0.01243453,-0.06106263,-0.00177850,0.00864298,0.00666511,0.01486269,-0.00769057,0.04355631,-0.02119421,-0.05686089,-0.00912683,0.00374118,0.00610237,-0.01407470,-0.00490886,-0.01489600,0.02574128,0.00200381,-0.00847046,-0.00851906,0.00552876,-0.01552628,0.00956311,0.00354750,-0.00940649,-0.03889876,-5.98688833,0.01758420,0.00740382,-0.01968794,-0.01429138,-0.00310989,0.00802561,0.00142833,-0.03467937,-0.00541365,0.01650453,-0.02376711,-0.01281769,-0.01356687,0.03301865,-0.00526330
-0.00257103,-0.01348518,-0.00695607,0.02586703,0.00022305,-0.01887364,0.00545532,0.00364739,-0.05246379,0.01685697,-0.00110819,-0.00617730,0.01508870,0.00684677,-0.00942834,0.02185150,-0.00555806,0.00024715,-0.03097825,-0.00583496,0.00465385,-0.03983155,-0.00945570,0.02633366,-0.00178062,-0.04767941,0.03975040,0.02943228,0.02888459,-0.02200021,0.01557547,0.01442610,-0.00550652,0.00603024,0.01183454,-0.01707986,0.00594429,-0.00565378,-0.01682109,-0.05828659,-0.01312545,0.02497261,0.01474570,-0.00024130,-0.01196619,-0.01129538,-0.00625698,9.99304639,0.00354996,-0.00501497,-0.04991787,-0.03695455,0.02070914,-0.00616068,0.00458530,-0.00427808,0.02820118,0.00445275,0.01385250,0.01880498,0.01053736,0.01748283,0.00603872,-0.01224623,0.02317130,-0.00519669,0.04963166,0.00609463,0.01394845,0.01176209,0.00071048,0.01764083,0.00058946,-0.00434648,-0.02370423,0.01241696,0.00918146,-0.00423018,-0.00096486,0.01404754,-0.00575151,-0.01181999,0.00101981,-5.99747925,-0.01349860,0.00206044,0.02315720,-0.03745331,0.01736784,0.00298937,0.00126720,0.00442237,0.00766777,0.00658084,-0.05026472,0.02237656,0.00819380,0.01314805,-0.00315921
-0.01845363,0.00710781,-0.01796311,0.00280854,0.02125101,-0.02452207,0.03638104,0.00187571,0.06315725,-0.02059296,0.01735407,0.02252744,0.03703830,0.02716395,-0.02026136,-0.00303005,-0.01227295,0.01524106,0.01944607,-0.04590620,-0.01914833,0.01844223,0.00028579,0.02095758,-0.00012559,0.02165171,-0.06469227,-0.01308716,0.02671658,-0.03555616,-0.04141579,-0.00449806,0.00726767,-0.02099951,0.01964840,0.00769663,0.00478948,0.00635364,0.01219868,-0.00665625,-0.04346730,-0.00049618,-0.00678609,-0.00390026,0.01749357,-0.01555861,-0.00856186,10.01615754,-0.00012658,0.02018113,0.02123535,0.00231263,0.02120800,-0.02658767,0.01110850,0.01269948,-0.01542549,0.03627566,-0.02620700,0.01212818,0.00540739,-0.00842625,0.00524888,0.00168403,-0.00136437,0.01063389,0.05236108,-0.00505171,0.02926580,-0.00635683,-0.00274040,0.02075435,0.01003899,0.00181842,-0.01104771,0.00741514,-0.00048697,0.01007076,0.00859399,-0.01732900,-0.03624463,0.04775192,-0.02605832,-6.00703024,0.01153059,-0.00906979,0.02800367,0.03628550,-0.00634320,0.00426133,0.00006835,0.00935738,0.00063760,0.01226657,-0.01953078,-0.02683683,0.01502242,0.00907113,-0.01896588
0.00758492,-0.04353708,-0.01578644,0.01334484,0.01167675,-0.01279021,-0.00082824,0.00327017,-0.00813528,-0.03597960,0.04674961,0.00642521,0.00176616,0.00440622,0.02530471,0.00124307,-0.01274951,0.01600547,0.03805605,-0.07184010,-0.00240243,0.05663190,0.00356323,-0.03783724,0.00874426,-0.03827568,-0.01162659,-0.03019012,-0.06924718,-0.00278364,0.02185622,0.01158008,0.01102849,0.02055574,0.06832956,-0.02469429,0.01877686,0.00271460,-0.02504161,0.03628212,0.02375285,0.00628851,0.01178325,0.00139477,0.02556969,-0.03220880,-0.00194741,9.98203564,0.00494979,-0.00745063,-0.03293727,-0.03233437,-0.00711207,-0.01397962,0.01001227,-0.00162496,-0.00058827,0.01145485,0.00984459,-0.00624190,-0.00360888,0.05011077,-0.01120370,-0.00783411,-0.04532843,0.04131231,-0.02756989,0.02462354,-0.01762604,0.00319922,0.00602590,0.00605639,-0.02125301,0.00474847,0.00305225,0.01187647,-0.00614864,-0.01646716,0.01778817,-0.01416767,0.02581354,0.00944817,-0.02502813,-6.00147659,0.01313519,-0.00954236,-0.00819251,-0.00341261,0.02618101,0.01251521,0.01441115,-0.03258205,-0.00625533,0.01042700,0.01708706,-0.01948880,-0.00458831,0.05377574,-0.01374337
-0.01268833,-0.01543029,-0.00499813,-0.06662354,0.00304323,-0.03137810,0.02286660,-0.00868903,0.01843941,0.02246481,-0.01399920,0.00389342,0.05036612,-0.01303223,0.03839947,0.00257848,0.04890565,0.00646590,0.00997996,-0.00250856,0.00539986,-0.00738843,0.00527186,-0.03322223,0.02272274,-0.03069635,0.03284862,-0.05105202,-0.00174273,0.00206377,-0.04523010,-0.00334674,-0.00376130,0.02896237,0.04516381,-0.03181516,0.01665768,0.00341269,-0.00214502,-0.03012464,-0.02618276,-0.01796607,-0.00353555,-0.00357412,-0.02617525,-0.01369055,-0.01649247,10.00600738,0.02109357,0.00087337,0.03857837,-0.00878256,0.00657912,0.04220834,-0.03111430,-0.01398299,0.01904514,-0.00764686,-0.00075973,-0.00907389,-0.00051300,-0.01500394,0.01870899,-0.00118947,0.00237647,0.01472002,-0.01630377,-0.00700720,-0.02752695,0.01530107,-0.01161680,0.01273046,0.00655927,-0.01922719,0.02772425,-0.00162803,0.00652624,-0.01025422,-0.01096946,-0.00314939,0.00766764,0.03709241,0.03029609,-6.00743463,0.03950821,-0.00752400,0.01439881,0.02535847,-0.00377679,0.00080702,0.02545967,-0.01107717,0.00070172,0.01112414,-0.01305648,0.00716887,-0.02558625,0.03227216,-0.01608746
0.02446489,-0.00264781,0.02393403,-0.01013102,0.00677568,-0.01840756,-0.01689695,0.00047343,-0.00409712,0.01018285,0.03954432,-0.00491787,0.00296593,-0.00857824,-0.00682791,0.00477867,-0.01763566,-0.00962181,0.02544352,-0.02507315,0.00521922,-0.02184909,-0.01846816,-0.00600728,0.01938297,0.01499639,0.00934804,0.04058247,-0.01798489,0.00640432,-0.01602268,-0.01061583,0.01320479,0.03526508,-0.02344586,-0.00710757,0.00355328,-0.00235663,0.02648996,-0.00126757,-0.03332390,-0.01747510,0.00138133,-0.00113724,0.01098644,-0.01191904,0.00562059,10.01603823,0.01828410,-0.00705366,-0.01121374,-0.01022710,0.00680470,-0.00707004,0.00262405,-0.01559622,-0.00074932,-0.01858590,0.00652246,-0.00084738,0.00569990,0.00308543,-0.01751135,0.03307299,-0.00038396,-0.01091174,0.00847236,-0.00480964,-0.02217016,0.03294108,-0.00199881,0.01087047,0.00234264,-0.00735825,-0.01133602,-0.00524816,0.01497775,0.00711610,0.00664601,0.01324065,-0.02182911,0.00907541,0.04001398,-6.02272839,0.00207521,0.00847424,0.00637379,0.05081898,0.01179344,-0.00829687,0.00252802,-0.01454918,-0.00978157,0.00658692,-0.01080677,-0.03126155,0.00298270,-0.01322544,-0.00149164
0.01071057,-0.02879419,-0.04302350,0.01396438,0.01908732,-0.01558729,0.00537193,-0.00787429,0.04797192,-0.02759683,-0.01159880,-0.01177070,-0.03319403,0.01393388,-0.03913623,0.01563693,-0.02761333,0.01308773,-0.05347245,0.04578416,-0.00426472,-0.01317870,-0.00125292,0.00556655,0.01655793,-0.06707524,0.02151060,-0.01403188,0.02283157,-0.00597076,-0.01202074,-0.00769885,-0.00667283,0.00034621,-0.02247350,-0.02281128,0.00278975,0.01704523,-0.00288085,-0.01748168,0.03695410,-0.03909366,0.00785603,0.01160357,-0.00197455,-0.01889896,0.01299852,10.00070322,0.01446471,0.00830545,0.04284696,0.01755147,0.02858926,-0.02406937,0.00964672,0.01136087,-0.01254761,0.00207068,-0.01857456,0.01178565,-0.00083692,0.02795558,-0.02901672,0.00923846,0.01539108,-0.00687601,0.04561606,0.02002515,0.00000021,0.05331235,0.00911027,0.02102996,0.02696991,0.02543819,-0.00882879,-0.00416069,-0.00909855,-0.00170180,-0.00047148,0.03221599,-0.02597119,0.03330626,0.01141054,-5.99543761,0.02383471,-0.00089299,0.02369413,-0.01387526,0.00986520,0.01542179,0.00694273,-0.04703558,-0.02450789,-0.01520911,-0.00951470,0.01328157,-0.05934917,0.07104623,0.00434392
