strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
-0.00105844,-0.00878118,-0.00301398,-0.00210442,0.01294746,0.01773237,0.02342218,-0.00432447,-0.01375701,-0.01364800,0.00050232,0.01407446,-0.00021380,-0.01499929,0.02269327,0.02381145,-0.00078334,0.02035065,-0.00292799,0.00695360,-0.01984134,0.00651108,0.01754045,-0.00478392,-0.01025257,0.00508042,0.00555761,-0.00230652,-0.00183737,0.02873942,0.01388355,0.02248481,-0.00215992,-0.00450078,0.01963199,0.02414226,-0.00922527,0.00605370,-0.01664627,0.00082891,0.02069541,0.01545038,-0.00025974,0.00616399,-0.01218466,0.00423420,-0.00142573,-0.00554764,-0.00787736,-0.01151049,-0.01504963,-0.01249557,-0.01039116,0.00323709,-0.00926256,0.00461574,0.00213786,0.00272453,-0.01600112,0.00143256,-0.01382366,-0.00714124,-0.00179861,0.01789124,-0.00803582,-0.02428636,-0.00485588,0.00104250,0.00223994,-0.04050831,0.00624937,0.00051269,-0.00549186,-0.00713877,-0.00938779,-0.01236941,-0.01352494,0.00302172,0.02418220,-0.00270805,-0.02109788,0.02684180,0.02813758,0.01295355,0.01348837,0.00685233,0.01917160,-0.00530506,0.00727931,-0.01024530,-0.01532844,0.01983529,0.00069238,0.01660469,0.01669267,0.01190291,0.00614125,-0.00543212,0.01508422
-0.02863431,0.00212549,-0.00502788,-0.02466798,-0.00819531,-0.00861096,0.00192359,0.01796503,0.01256023,-0.01324134,0.00760374,0.00774839,0.01611537,0.00279008,-0.00365541,-0.00769857,-0.01670366,0.00396497,-0.01048412,-0.00987175,-0.01469331,-0.00385611,0.01797807,-0.00472425,-0.01139760,-0.02032676,-0.00267582,-0.01113260,-0.03192461,-0.00692540,-0.01496707,-0.01957644,-0.03813470,0.00288522,-0.00835489,0.01059946,-0.00693026,-0.00012257,0.00851958,-0.00036627,-0.02531697,-0.01650104,-0.00901752,-0.02015431,0.00641363,0.01019569,0.00827712,-0.01269257,0.01434620,0.00835948,-0.00619952,-0.01287772,-0.01047548,0.00536813,0.01506418,0.00446149,0.00204874,0.02278344,0.02851277,-0.01282839,0.01604019,-0.02094390,-0.01771540,0.01992319,0.02118665,-0.00721003,-0.01821525,-0.01169811,0.00624023,0.02561836,0.00317590,-0.02760902,-0.00571063,0.01417974,0.00292462,0.00343681,-0.00739657,0.00039642,0.03716127,0.00592831,-0.02563229,0.01477312,0.00310028,-0.00399627,-0.01383213,0.02216467,0.01138941,-0.01594876,0.02275554,0.00050718,-0.01692331,0.01115152,-0.02370441,-0.00043557,-0.00180977,0.01227839,0.00921780,-0.01836788,0.01441210
-0.03664237,0.00814373,-0.00478400,0.00478153,-0.00459682,-0.01083658,-0.01147412,0.04037280,0.00061405,0.00891226,0.00359799,-0.00455717,-0.00202348,-0.00304182,0.00221116,0.00707661,-0.01112518,0.00088332,0.00355873,-0.01531290,-0.00470766,-0.00577758,0.00475788,0.00583473,0.01762521,-0.00618288,0.00357184,-0.01107549,0.02268747,0.00948944,0.00855107,-0.02180965,-0.01032859,0.00417354,0.00145705,0.00533897,-0.00014755,0.01007773,0.01486411,0.00301509,-0.00662035,-0.00143136,0.00382480,-0.01589325,0.03459278,0.00914474,0.00795591,0.00096534,-0.00053588,0.00229916,0.01170586,-0.01884008,0.00452849,0.00070560,-0.02259381,0.00908714,0.00110869,-0.00489217,0.00130934,0.00622446,0.01556227,-0.00431335,0.02142489,-0.01078181,0.01928249,-0.03063067,0.00116463,0.01285352,0.00139340,-0.01523701,0.01154723,0.02432738,0.02632723,0.00110176,-0.00938243,-0.01328593,-0.01003584,0.01946587,0.01698166,0.00878829,0.02740240,-0.04146371,0.01770733,-0.00714045,-0.00486891,0.03010393,0.00613718,0.00511690,-0.00068546,-0.00017498,-0.00078930,-0.01383896,0.01629032,-0.00408888,-0.01171506,-0.00048607,-0.00353595,-0.01306547,0.01135905
-0.00535735,0.00082990,0.01659080,0.01258761,-0.02001676,-0.01261780,0.00743935,-0.00870179,0.02827682,-0.00398241,0.01471183,-0.02306013,-0.00009765,0.00190551,0.03228833,0.01146107,0.00260680,0.00129970,0.00549964,0.00284641,0.00117884,0.00118211,0.00957569,0.00440624,-0.01017315,0.01901756,-0.01543340,0.00492980,0.00372862,0.00755210,-0.02652617,0.01990146,0.00199324,0.00968827,0.01945152,0.00832186,-0.01414925,0.02582605,0.00644699,0.00860753,0.00697447,-0.01250428,-0.01687408,0.00017532,-0.00141034,-0.00736117,-0.01415656,-0.02048071,0.00067795,0.01004220,-0.00269377,-0.04136975,-0.00641884,0.00469592,0.01317217,-0.00192858,-0.01598113,-0.00704831,0.01251866,0.00557054,0.00857773,0.01202881,-0.00201471,0.02635076,0.01928774,-0.00536498,0.00334580,-0.01638013,0.00397200,0.00059021,0.01601288,0.00861898,0.00429292,-0.01285146,0.01770458,-0.01630516,-0.01044530,-0.00298175,0.02406285,0.00672638,0.00796498,-0.00577377,-0.00023359,0.02965080,-0.00826567,0.01065658,0.01113103,-0.01508259,0.03121759,-0.00681603,0.01916631,0.02009397,0.00775570,0.00363769,-0.02831085,-0.00771653,-0.00158578,0.01673242,-0.03499936
-0.02574838,-0.02512403,0.00903006,0.01459609,-0.00849241,0.02584023,0.00775569,0.03782876,0.00717757,0.04944707,0.01577154,-0.02133715,0.01929238,0.00300689,0.01167866,0.01335618,-0.00481295,-0.00235203,-0.00709630,-0.00438699,0.00175250,0.01135812,0.00867830,0.00904345,-0.00335726,0.01976024,0.03560310,0.00496122,-0.04028122,0.02308886,-0.00057629,0.01466996,-0.00251558,-0.00967411,0.03087755,-0.01254837,0.01040321,0.00586097,0.00107079,0.00586936,-0.02152167,0.00709212,-0.00546513,0.00001226,-0.00353170,0.00086085,0.00748407,0.01025946,0.00420629,0.00632640,0.00282704,-0.00556628,0.00174665,0.00187870,0.01158137,-0.00952567,0.01780298,0.02443772,-0.00306611,-0.01002566,-0.00034346,0.00129485,0.00029272,0.00302529,-0.00559558,-0.00618547,0.01321023,-0.00414077,-0.00458116,-0.00492149,-0.00455442,-0.00918855,0.01643096,0.01711335,-0.00364261,-0.02278828,-0.01066076,0.00990796,0.00137754,0.00437704,-0.01980376,0.03585994,0.01822325,-0.03648649,-0.00929104,0.02504959,-0.00095132,0.00782353,-0.00971620,-0.00975647,0.01512337,0.00175093,-0.00922948,0.00818175,-0.02777820,0.00115914,0.00465679,-0.00878443,-0.00955739
-0.01091915,0.00224179,0.00387840,-0.01570669,0.00706745,0.01139251,-0.00799374,-0.00314273,-0.00570103,0.01387944,0.01461219,0.00100012,0.00066929,-0.01712678,0.03783810,-0.00308748,-0.02040046,0.00614409,-0.01159225,-0.00375272,-0.00194649,-0.00037155,0.02451518,0.01603791,0.00634801,-0.00727185,-0.01995308,0.01098501,0.00895698,0.01805536,-0.01708418,0.01834404,0.00350881,0.01214016,-0.01572644,-0.00528121,-0.00316069,-0.01210087,0.01535627,0.00431393,0.03656900,-0.00218530,0.00536893,-0.00347287,0.00744222,0.00012138,-0.00470919,0.02181535,-0.00886035,0.01258954,-0.01952368,-0.02680994,-0.00161496,0.01331888,0.01064980,-0.00186169,0.02316634,-0.03450276,0.00045317,-0.00758442,-0.01852985,-0.01073590,-0.01754264,0.00061905,0.00379282,0.01377976,0.00767816,-0.00323698,-0.01472466,0.00470865,0.00742751,-0.00781907,-0.00053782,-0.00031699,-0.00184207,0.01007222,-0.01640290,0.00206797,0.00064773,0.00747189,0.01134559,0.01580881,0.01153434,-0.00294448,0.00904673,0.00026963,0.01146841,-0.00230508,0.01178422,-0.00362749,0.00528179,-0.00909372,-0.00780138,-0.00473130,-0.00126982,0.00291022,0.00386929,0.01385244,0.00132462
0.00593500,0.00939735,0.00231203,0.00929368,-0.00834492,0.01283911,0.00641739,0.00506297,0.00391227,-0.00198275,0.02435565,0.00403702,0.01749563,0.00168031,-0.00092268,-0.00918624,-0.00115173,0.01949201,-0.00271874,0.01545040,-0.00785456,0.00694026,-0.01474179,0.00321592,0.00012746,-0.01838231,0.01402820,-0.01112171,0.00068305,0.00046174,0.00098798,-0.00389317,0.00023451,0.00680620,-0.00909683,-0.00286119,-0.00613624,-0.00824586,-0.00761325,0.00071269,0.00603855,0.00377516,-0.00232248,-0.00736122,0.02984626,0.01568655,0.00385717,0.00302742,-0.00571547,0.00314775,-0.02051223,0.02144133,0.00536115,0.01308752,-0.00780705,-0.02179416,-0.00880336,0.02604449,-0.00502116,0.00703918,0.00181027,0.00010060,-0.00744265,0.02689923,0.03239239,-0.00101904,-0.01396788,-0.00145515,-0.01481431,0.00804190,0.00544219,0.00304805,0.01245999,-0.00418318,-0.00415509,0.00306629,0.00736102,-0.00360919,0.00861142,0.01504319,-0.03708800,-0.01184797,-0.00327433,-0.00032953,0.01076609,0.00987193,-0.01708503,-0.01219830,-0.00488760,-0.00288084,-0.00793528,0.01375078,-0.00405165,-0.00822561,0.00573502,0.01104916,0.00042831,-0.00583901,-0.01406876
0.00091088,-0.01297751,0.01253007,-0.02061729,0.00688423,0.02196324,0.00401409,0.02370926,-0.00788451,-0.00389857,-0.00515409,-0.01087782,0.00165872,-0.00954433,0.00905631,0.00716589,0.02056897,-0.00898332,-0.00946241,-0.01449505,-0.00511318,0.01612765,-0.00123847,-0.00256894,-0.01311573,0.02182603,-0.02361984,0.00026698,-0.00373572,-0.00323965,-0.00399182,0.02161167,-0.02950745,-0.00530505,0.02659496,-0.00309715,-0.00004870,0.02158758,0.00432885,0.00547730,0.00330394,-0.00070445,0.00239944,0.01263846,0.01635868,-0.00288248,-0.00116712,0.00245880,0.01635477,0.01589168,-0.00099108,0.00198283,0.00683964,0.00522060,0.00262253,0.01368484,-0.00097050,0.00987595,0.00602952,0.00223184,0.00658706,-0.00597206,-0.00694225,-0.00771499,0.00970457,0.00134497,0.01087304,-0.02049455,0.00913768,0.00467351,0.00884708,0.01077519,0.02200335,0.00132308,0.01833220,-0.01872315,0.00241870,0.01358623,0.00679786,0.01072247,-0.00349347,-0.00211705,-0.00964514,-0.01681677,0.00227874,0.01544936,0.00656325,0.00041605,-0.01127225,-0.00593233,0.01472041,-0.01266463,-0.01026775,-0.00353931,0.00466983,-0.00869996,-0.00137182,0.02678321,-0.02083358
-0.01243800,0.01198644,0.01879724,-0.01499897,0.00557627,0.01177650,0.02495733,0.01738576,0.00382697,-0.00814640,-0.00587722,0.00950703,0.01678503,-0.00953192,-0.00940607,0.00856796,0.00484602,0.00805630,0.01067590,0.00273697,-0.00189923,-0.00795498,0.00421329,-0.00778994,-0.00932249,0.00074549,0.02736530,0.00613275,0.01667404,-0.00080634,-0.01027651,0.01872206,-0.01036144,0.01048183,0.00582535,-0.00326028,0.00351657,0.01612974,0.01250094,-0.00917116,-0.01817147,0.01786733,0.00558439,0.00161726,0.00448059,-0.01157537,0.00984775,0.02177444,0.00137435,0.01566007,0.01071979,-0.00934405,-0.01833062,-0.00176454,0.02231158,0.00986425,0.03719466,0.00548136,-0.01436164,-0.00052032,-0.01424550,-0.01238831,0.00955180,0.00535989,-0.02427084,0.01677023,0.00029187,0.00870748,0.02130300,0.02865269,-0.00857366,0.02015204,-0.00976846,-0.00718529,0.00470236,0.02365522,-0.00154207,0.01393044,0.01128352,0.00774443,0.00354163,0.00682061,-0.02004582,-0.00333730,-0.00095904,0.00894394,0.01036977,0.00098969,0.01667682,-0.00921081,-0.00661416,-0.01979957,-0.01667678,0.02573314,0.00488339,0.00143170,-0.00741877,0.01635706,0.00415285
-0.01307057,0.01045561,0.01157955,0.03183804,-0.00715896,-0.00676837,0.02841439,0.00305439,0.01626081,0.00938430,-0.01025079,-0.01593716,-0.00641747,-0.00156214,0.01763870,0.00104481,-0.00601180,0.00763229,-0.00319462,-0.01018898,-0.00483202,-0.00019690,-0.01461477,-0.00252746,0.01160103,0.02612515,0.01982897,-0.00173795,0.01221833,0.01158400,-0.00325500,-0.01594404,-0.00837971,0.01368663,-0.02175311,-0.01626803,-0.00707013,0.00312756,0.00744066,0.01293276,0.00067367,0.01991078,0.00924804,0.00525283,-0.00790847,0.00756077,-0.01121361,-0.00208588,0.01221170,0.01687426,-0.00157117,-0.00206999,0.00081695,-0.00519236,0.00261212,0.02495514,0.00465870,0.01188721,-0.00728704,-0.00043278,0.01596654,-0.00025383,-0.02077293,0.01280886,0.02287226,-0.00611555,0.00083144,0.02007005,0.02333773,-0.02367885,0.02068372,-0.01872887,0.00418668,0.00517787,-0.00094469,-0.00133806,0.00002823,0.00742674,0.02640790,-0.00925091,0.01534715,0.00604050,-0.01969196,-0.00116609,-0.00379031,-0.04326278,0.01212965,-0.00715908,-0.00436667,-0.00504992,0.01392037,0.02121653,-0.00677351,-0.00409373,0.00322007,0.01927057,-0.01448610,-0.00453027,-0.00865777
