strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.01312521,-0.00780295,-0.00258901,-0.00184405,-0.01599944,0.00615202,-0.01637442,0.00517589,0.01533006,-0.00428641,-0.00397609,-0.02546269,-0.00128779,-0.02699265,0.05757956,-0.00683598,-0.01468855,-0.05649313,0.06021168,0.00791307,0.01406151,-0.01795933,-0.01878733,0.00836289,-0.01291967,-0.03378112,-0.00522092,-0.01958685,0.01280591,0.01464989,-0.00463364,-0.00851535,0.02684428,0.00539632,0.02679018,-0.03200608,-0.00290293,-0.00579774,0.00028112,-0.02105067,0.00503755,-0.00069515,0.01920359,0.02767942,0.02696630,-0.05842225,0.01720779,0.03604564,-0.01890238,-0.01732340,-0.01008818,0.02614128,0.01063579,-0.00319771,0.01343037,-0.01674513,-0.00846573,0.04007263,0.02817082,0.01225107,-0.01181348,0.00375710,0.05654255,-0.01277633,-0.02511656,0.02233506,0.01928447,-0.01019557,0.02472019,0.01201337,-0.00825502,0.01954798,-0.00189126,0.04248517,0.00613310,0.01588590,0.01643380,0.01436983,-0.02532690,0.00366482,-0.04520418,0.01579912,-0.01139504,-0.06462472,-0.02986139,0.00215362,0.00490095,0.02545594,0.00449215,0.01949037,0.00278910,0.00220864,-0.00475407,0.04242893,-0.02416088,-0.01934232,0.01234714,0.01926924,-0.01335540
-0.00196175,-0.01966120,-0.01201147,0.00076258,0.01948859,-0.01932559,-0.00573805,0.01745466,-0.00763405,-0.02302377,0.03235532,0.01323657,0.01993202,-0.00983423,-0.01471256,0.01417498,-0.01038776,-0.00977542,0.02679008,0.00793255,0.01723246,0.01736529,-0.01946573,-0.05551880,0.00925111,0.03491505,0.01403655,0.01631504,0.00328282,-0.03337551,-0.00926806,0.01025466,0.05140032,-0.00645521,0.00030031,-0.00056978,-0.00188619,-0.00444955,-0.01977003,-0.01658975,-0.00831009,0.02683278,0.01397308,0.04297824,-0.01262544,0.02958907,-0.01188011,-0.02067493,0.00411205,0.03975447,-0.02724980,-0.04469391,-0.00474409,-0.01984091,-0.01783643,-0.00246175,0.05816798,-0.01606698,0.02423679,-0.02293889,0.01494842,-0.00681106,-0.06112303,0.00384219,0.02649540,-0.03106749,-0.04898365,0.00721780,0.02419812,-0.02471357,0.01120028,-0.02289873,0.01457202,-0.05246285,0.04831422,-0.03395442,0.02408650,-0.01921047,0.00759379,0.00128027,0.07919464,0.01365202,0.01999115,0.06731819,0.01142071,-0.00589003,0.00604291,-0.01690380,-0.01172616,-0.02055184,0.00270687,-0.01312681,0.01386006,0.02620543,0.00926225,-0.00007452,0.01426253,-0.02453357,0.00562826
-0.01026837,0.01927984,0.02274350,-0.01094220,-0.07371551,0.01108488,-0.01405994,-0.03347882,-0.00404950,0.01591090,-0.06867084,-0.00710996,0.01089586,0.00138049,0.03619391,-0.01818049,-0.00644972,-0.00059872,-0.00109542,0.01330848,-0.02485848,-0.01603347,0.00992749,-0.00036693,-0.00533647,-0.03199695,0.00047518,0.01393063,-0.06790454,-0.00463860,0.01186652,-0.00478379,-0.04851204,0.03065940,-0.01094679,0.00395456,0.01096293,-0.02350533,0.02152107,-0.01692335,0.07290904,-0.01186008,-0.04116759,-0.01804428,-0.02146294,-0.03576861,-0.00653444,0.04614573,-0.00251492,-0.04277899,0.00240990,0.00984587,0.00816830,0.01144225,-0.01571035,0.02525168,-0.05306826,0.02790143,-0.07266248,0.04664582,0.01483416,-0.00301417,0.06542735,-0.00088754,0.00095575,0.04011265,0.01064140,-0.00429844,-0.03341713,0.04760208,-0.01740272,0.01226569,0.00263700,0.03453046,-0.02437951,0.02100962,0.00124507,0.02365928,-0.01629424,-0.00623292,-0.15105377,0.00066098,-0.01467625,-0.00220582,0.01421240,0.01594021,-0.00633790,-0.01237597,0.02675084,-0.00565759,-0.00439314,0.02810028,-0.00901735,-0.00852117,0.01175536,0.02530342,-0.00923820,0.04239461,0.00170238
0.01336694,-0.02098194,-0.02651924,0.00230892,0.03143792,-0.00164244,0.04258396,0.00724653,-0.00524435,-0.00369252,0.02598564,-0.00914589,0.03059940,-0.00517474,-0.01574471,0.02394565,0.01498906,-0.02945123,0.00443787,0.00626323,0.01592987,0.00575595,0.02802567,0.03197845,0.02010759,0.01685070,0.00688990,-0.02886813,0.04418576,-0.04448576,-0.04458309,-0.00249024,0.01066772,-0.02206349,0.01113250,-0.00038563,0.01162268,0.06275702,-0.00244511,0.05413786,-0.08257193,0.01089609,0.01645723,-0.00284471,0.00991763,0.01063697,0.00908518,-0.04020603,0.00796690,0.03390270,-0.01716462,0.02593169,0.00179605,-0.02208693,0.02015025,0.03606662,0.03284927,-0.01237153,0.04657113,-0.01105211,0.01001552,0.02214451,-0.01219589,-0.04112988,-0.06160102,-0.00098140,0.01057804,-0.00719008,-0.01227168,-0.03480355,0.00696724,-0.00942701,0.00657839,-0.01736172,0.01241006,-0.02744314,0.00079231,-0.03516028,-0.00510117,0.03830359,0.09515190,-0.00345745,0.01450791,-0.00299255,-0.00166818,-0.01871219,-0.01568139,0.02471964,-0.01670814,-0.00376119,-0.00403661,-0.04433727,-0.00286571,-0.01342433,0.04356554,-0.04983699,0.01452441,-0.03826573,-0.01762940
-0.02097129,0.01182844,0.01940660,0.00084673,0.00833353,-0.00155805,-0.01482992,0.02253168,0.03236723,0.00937216,-0.01939145,-0.00515456,-0.00720785,0.02938991,-0.00105496,-0.01367853,0.01588825,0.04816719,-0.02243082,0.00536369,-0.01382918,0.01122616,-0.05251319,-0.02107422,0.02975487,0.00106013,0.04489038,0.00335869,0.00512651,0.00678344,0.04201985,-0.00013521,0.03794826,0.02022710,0.01215830,0.01607746,-0.00324927,-0.05988252,-0.01100480,-0.03154262,0.03351706,0.01821567,-0.00710072,0.00714102,0.00010871,0.00888273,-0.02842966,0.06166258,0.01851214,-0.01329568,-0.00133890,0.01528572,0.00177811,0.01972869,0.01090021,0.01301524,0.04198124,0.00285941,-0.01455306,-0.00419189,-0.00942045,-0.02120368,0.03496552,0.03968902,0.08975909,0.00793318,0.04581402,0.01999646,0.01762302,0.01554154,-0.02833397,0.03277375,-0.00497344,0.00725559,-0.02233178,-0.00142909,-0.00800146,0.01436224,-0.00450283,-0.02544598,-0.02613019,-0.01362483,-0.05634069,0.04766491,-0.01310749,0.00577636,0.02636951,-0.01576673,0.00680570,0.02223022,-0.00664705,0.04776941,0.01375194,0.01861409,-0.01317775,0.03417372,-0.01287491,0.02620657,0.01636562
0.00919898,0.01874361,-0.01455988,0.00338770,-0.03529385,-0.00694467,0.00636603,-0.01963688,-0.01183886,0.01552299,0.01826386,0.04978118,0.00977542,-0.01007983,-0.02809273,0.00933902,0.00796202,-0.01021772,-0.01298400,-0.00435030,0.02774666,-0.02204063,0.06022478,-0.01282202,-0.05704414,0.05788058,-0.02972347,-0.00435618,-0.03728000,-0.02531539,-0.04524293,0.00076992,0.02150835,-0.03754204,0.01774581,0.00331591,-0.00615432,0.03406124,0.02285333,0.00308162,-0.04604550,-0.01190607,0.00379296,-0.03361910,-0.00651410,-0.01181483,-0.00383314,-0.02245013,-0.02803711,0.02480627,-0.00482124,-0.00781703,-0.00285804,-0.01083002,0.00544232,-0.04235866,-0.02819409,0.00160606,-0.00501922,0.00192141,-0.01989039,0.02077534,-0.02671073,-0.02143549,-0.03604512,-0.01216918,-0.05697471,0.00087824,-0.00519883,-0.01123184,0.01547927,-0.00589524,0.00124568,-0.06004305,0.02248301,-0.00754137,0.02355821,-0.03010602,-0.02619173,0.05795306,0.02724372,0.01130450,0.04874445,-0.04643070,0.00727549,-0.01092637,-0.01609373,-0.00434020,0.00933766,-0.00251278,0.01371932,-0.00211686,-0.00812556,0.01015457,-0.00374825,-0.00285065,-0.00395768,-0.01067451,-0.00261323
-0.00905014,0.02086118,-0.00152353,-0.00509189,0.03731775,-0.00720641,-0.03164222,0.00803613,0.00270705,-0.02052280,0.00863603,-0.01484009,-0.01743702,-0.00061499,0.03626363,-0.01382522,-0.04128655,-0.00939906,0.01160922,-0.00923467,0.00238854,0.00558265,-0.03844530,0.03195323,0.03104990,-0.08992350,0.02085039,0.01097022,-0.01910797,0.01881388,0.05915369,-0.01113992,-0.00868504,-0.01562899,-0.00021475,0.03015148,-0.00655145,-0.01886333,-0.03473930,0.00502113,-0.00195474,0.01176321,-0.00797933,0.00010907,0.02284655,0.02072157,-0.04509753,-0.04712178,0.01076351,-0.07489983,0.02139556,-0.04800270,-0.00522206,0.02142752,-0.02588649,0.00495188,0.00634185,0.01557580,0.01402890,0.00014680,0.01225671,-0.02399597,0.03058564,0.04557525,0.02973480,0.01646071,0.05621885,0.01267757,-0.05330944,-0.06475137,0.02045415,0.01694066,0.00264852,0.04848087,-0.02628158,0.02036236,-0.01886654,0.02430474,0.01802301,-0.03985469,0.00413270,0.02387590,-0.03442830,0.03438293,-0.00709108,0.00936255,0.00847177,-0.01398230,-0.03430134,-0.00842639,-0.03543015,0.01744934,-0.04194062,-0.05443295,0.00355056,0.01896340,-0.00270612,0.00758717,0.00286715
0.00768375,0.03040381,0.01324822,0.01784356,-0.02032503,-0.00314520,0.00056539,-0.02805324,-0.02582562,-0.00542235,0.01582581,-0.01395265,0.02907919,0.02069181,0.00075979,0.01527767,0.01797634,0.04863323,-0.02159260,0.01235542,0.01816953,-0.00646725,-0.00982400,-0.01015434,-0.04510154,0.01926004,0.01207063,-0.02988714,0.02036380,-0.02782216,-0.07037620,-0.00269489,0.01679774,0.02008424,0.01655311,-0.00174696,-0.01844236,-0.00154367,0.01869710,-0.05244910,-0.01654775,-0.01531750,0.03527973,-0.03183113,-0.02651953,0.00884190,0.02737573,0.05442547,-0.00551688,0.05343434,-0.01221851,-0.00785973,0.01830675,-0.00465871,0.00513699,0.00048683,-0.00824517,0.00577483,-0.01600764,-0.02207836,-0.02038594,-0.01059260,-0.04741203,-0.04915584,0.00610126,-0.01706766,-0.02669153,0.00248763,0.01350779,0.06757702,-0.00668530,-0.00863152,-0.01630290,-0.04845498,0.03285216,-0.00350260,-0.00177991,-0.04977793,-0.02467990,0.03001612,0.01483607,0.00086929,0.01625847,-0.02138567,-0.03117179,-0.00975312,-0.00627307,-0.00954678,0.01866100,-0.00094231,0.01058566,0.00918198,0.04210049,0.03793767,-0.01819357,0.01461218,-0.00650998,-0.00770041,-0.00079906
-0.04259331,-0.04884158,-0.01719282,0.00396786,0.02539860,-0.00957773,-0.00204671,0.02590330,-0.03566536,-0.00098686,-0.05764137,0.01014148,-0.01618879,-0.03757709,-0.00602619,0.00423589,-0.02249420,-0.00361022,0.03432885,0.00052315,-0.02500672,-0.01993480,-0.02928045,0.02092248,0.02106499,-0.04916704,-0.01489787,0.03915309,-0.01595591,0.05549754,0.05365992,-0.01024599,0.00114559,-0.01780913,-0.00086091,-0.03148635,0.00125958,-0.01628031,-0.00585176,0.04317366,0.03212335,-0.00502442,-0.00772214,-0.01173475,0.00248284,-0.03032463,-0.01926889,-0.04822825,0.02068446,0.00319994,0.01583427,-0.00684184,-0.02832975,-0.02154397,0.01450903,0.01269092,0.02450172,0.01249382,-0.03230158,0.04334677,-0.00260077,0.02265608,0.11763464,0.07538314,-0.01862305,-0.00160217,-0.01422309,-0.02505915,0.01628760,-0.04530394,0.00067394,0.01860816,0.00948378,0.05826017,-0.00212109,0.00708470,-0.00600132,0.04345699,-0.00052615,0.01172688,-0.02599635,0.00879740,-0.01324197,0.01659007,0.02070335,-0.00739003,0.01144532,-0.01563076,-0.00460360,0.00914707,-0.00497471,0.03221568,-0.01509565,-0.05007952,0.01953666,0.05289108,-0.00555598,-0.00723794,-0.01569032
0.03429829,-0.01151922,0.04911189,-0.00814880,0.00453406,0.00227865,0.00362243,-0.04084954,0.02661961,-0.01618318,0.03184620,0.00007490,-0.01402942,0.02253514,0.03155741,0.00213113,0.02046813,-0.01814218,-0.00382643,0.00255286,0.02797041,-0.00901986,0.04761323,-0.02861510,0.00252475,0.05596030,0.01757376,-0.03372910,0.00827718,-0.03182584,-0.02358675,-0.00498046,-0.00949344,0.01496328,0.01546449,0.03285811,0.00930629,0.02641712,-0.02715069,0.00618249,-0.06762154,0.01042415,0.01315463,-0.00294504,-0.01069364,0.01402149,-0.01091961,-0.00254882,-0.00823667,-0.02923197,-0.00714026,0.02620788,0.00980280,0.04188397,-0.00784292,-0.01838350,0.00471276,-0.02587020,0.04950156,-0.01953381,0.00329992,-0.02794011,-0.11813207,-0.07269623,0.01117362,0.01727038,0.07485419,0.00955243,-0.04174827,0.01806056,-0.01028893,0.01230713,-0.00138089,-0.05525537,0.02329748,-0.00112931,0.01816833,-0.04885368,-0.01109896,-0.02984364,0.03176091,0.00114514,-0.00862936,-0.03334469,-0.01036461,-0.01072903,-0.00728552,-0.00723439,0.01135144,0.00358608,0.00732460,0.00845536,-0.00389239,0.00085888,-0.03538480,0.01684578,-0.00511393,0.02758942,-0.00356752
