strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00660978,0.00114129,0.06352323,-0.03607467,-0.00315372,0.00554146,0.00461904,-0.00636941,-0.00484610,0.00656849,-0.00130068,-0.02212904,0.05115758,-0.01841728,0.01092219,0.01413236,0.00678140,-0.01389956,-0.02173741,-0.01898317,-0.00864461,0.01166820,0.00161932,-0.01328695,0.01430191,0.00441903,-0.02134057,0.01209812,-0.01248868,0.01668204,-0.00402929,0.00539703,0.01064584,-0.00726825,0.00940676,-0.03446089,0.02568354,0.03322216,0.00216328,0.06696410,-0.03154593,-0.01094712,0.00823212,0.03131646,-0.01218688,0.03380270,-0.00866153,0.00405337,0.00817860,-0.02618773,-0.02498789,-0.01290646,0.02159300,-0.01534589,-0.02005288,0.02016528,-0.02043136,-0.02038832,0.00135776,-0.03252679,0.00451825,0.04901062,-0.00471410,-0.00959865,-0.01329028,0.00813970,-0.00315943,-0.00727471,0.00745361,-0.00039718,0.00780414,0.00350466,-0.00729116,-0.06835313,0.01616414,-0.01396561,0.01957550,0.00393116,0.00674753,0.00517070,-0.03458770,0.02747231,-0.02745005,-0.01342504,-0.00557949,-0.03027896,0.01346714,0.01439776,-0.03547561,-0.01209322,0.00401761,-0.03535186,-0.01083294,0.00833770,-0.02013853,-0.00445931,-0.01638453,0.00218119,-0.01780230
0.03371704,0.01814333,0.01343464,0.02546025,0.02996037,0.01933348,-0.01460265,-0.01596936,0.01259900,-0.00452905,-0.00789481,0.03550850,-0.02751475,-0.03689983,-0.01578529,-0.02281558,-0.01880461,0.00771408,-0.01156550,0.00468676,-0.00721761,-0.02784514,0.02267702,0.01043127,-0.00202172,-0.02577716,0.00165197,-0.00418551,-0.01663170,-0.02941337,-0.01564766,0.00683656,0.06552660,-0.00090065,0.01108478,0.01276718,0.00264623,0.00883139,0.00339059,0.01473705,-0.04136878,0.00327618,-0.01298467,-0.03476986,-0.00132372,-0.03963391,-0.00421149,-0.04440387,0.00491174,0.00480680,0.01322263,0.00125140,-0.00611602,0.02172664,0.01849228,-0.02245016,0.00642459,-0.01339733,0.00857937,-0.02083864,-0.02229102,-0.05436147,0.00554852,0.00690308,0.03018192,-0.01959265,-0.01383132,-0.04821453,-0.01693743,0.01291630,-0.03662505,-0.01486948,-0.01648914,0.01220699,0.01762604,0.00179736,0.02245397,0.00908808,-0.01178807,0.00927368,0.04515144,0.01258735,0.01747113,-0.01179767,-0.01859732,-0.00019766,-0.00870058,0.00678569,-0.00428020,0.00482510,-0.02095509,-0.06263263,0.00219581,0.00510970,-0.01525631,-0.02594254,-0.02938916,-0.01085806,0.00141994
0.01597750,0.00339900,0.04891951,0.00296215,0.00258973,0.04485113,0.00699728,-0.00840839,-0.01553009,0.01814650,0.05705148,0.01447798,-0.03976098,0.03101037,-0.00655774,-0.01334206,0.01903769,-0.00994143,0.00406289,0.02258242,0.00759686,0.01403267,-0.00140802,0.01852677,-0.04955166,-0.02244476,-0.02509247,-0.00225152,0.01416197,0.00513517,0.01261705,-0.00305074,-0.05608330,-0.00085127,0.00234809,0.00468152,0.03501479,-0.01788802,0.05567899,0.02326973,0.03094707,0.00167536,-0.00481703,0.01648629,0.01469199,0.01581491,-0.00015312,0.03284083,0.03060965,-0.01540205,0.00152705,-0.01825035,-0.03551261,0.01201065,0.00384999,0.00858595,-0.00218531,0.01142363,-0.01213293,-0.02354893,-0.00480036,-0.00910886,0.02061818,-0.00453688,-0.00348793,0.01087723,-0.01157047,-0.01632703,0.00988514,-0.00686206,-0.03986656,0.04523462,0.02481345,0.07407093,0.02169327,0.02298653,0.00179426,0.01882914,-0.01146058,0.01845104,0.01068902,0.02987640,0.02774783,-0.02357470,-0.00664916,-0.00637291,-0.00747455,0.01628568,0.04442405,0.00363236,0.01919481,0.01027247,0.02665615,0.01657917,0.00427663,-0.01113019,-0.00001586,-0.01964848,0.00597556
0.01320807,0.01194630,-0.01633363,-0.00611727,-0.01845040,-0.01659204,0.00911861,0.00994216,-0.01797058,0.01537110,-0.01772678,0.00901026,0.02623257,-0.00246425,0.01629799,-0.02815277,0.02319668,-0.00836344,0.00356104,0.01431397,0.00641201,-0.00289142,-0.02077833,0.01792142,-0.02671089,-0.03513487,-0.00322640,0.00904243,-0.04729775,0.02325802,0.00396668,0.01186973,-0.00355085,-0.00023125,-0.00617748,-0.03626403,0.02925418,-0.03323056,0.01381191,-0.01140177,-0.00069637,-0.00736534,0.01132933,0.00312700,0.00565137,-0.02782095,-0.01762540,-0.03131611,0.01082850,-0.00703736,-0.00248665,0.01504460,-0.04233135,-0.01975273,-0.00489432,-0.00187887,-0.00544229,-0.02482228,-0.00227434,-0.00651444,-0.00403860,0.06356858,-0.01169962,0.03296902,-0.00803751,0.03770396,0.00960516,-0.02001751,0.01628149,0.00962115,-0.02300950,-0.02800233,-0.01028435,-0.02791399,0.03355913,-0.01178208,0.02054302,0.01358295,0.01440814,-0.00693765,-0.04626324,0.00210004,-0.01800105,0.00155179,-0.02570498,-0.03174757,-0.00233204,-0.01168976,0.03755974,0.01142383,-0.02574869,-0.03119995,0.03427875,-0.01336294,0.00940033,0.00391029,-0.01571667,0.01618432,0.02556179
-0.00987441,-0.00549822,-0.01758123,0.02119077,0.00064679,-0.03698850,-0.00566717,-0.00111724,0.00075432,-0.00028586,-0.00406832,0.01904516,-0.02824508,-0.00513567,0.00728108,-0.01019975,0.00004613,0.03206441,-0.02218133,0.02839604,0.02668577,-0.01093211,-0.00456208,0.02153628,-0.02670674,-0.02135376,-0.01786373,-0.00235173,0.04829045,-0.00960299,-0.00606506,-0.03804744,0.00974136,0.00704125,-0.02041153,-0.02199523,-0.01374921,-0.01392712,0.00739726,-0.02739349,-0.01285905,-0.00789302,-0.02836804,0.03823180,0.00915915,0.00958456,-0.02320150,0.03236136,0.01560159,0.01022504,0.00075338,-0.01041945,0.01732455,0.01791524,-0.00569616,-0.00184921,-0.00485166,-0.01636836,-0.00083065,-0.00244748,0.00531085,-0.03331039,0.00039234,0.01766947,-0.01022687,0.03993819,0.00005733,-0.00110890,0.00897625,0.00117129,0.00494745,-0.05496843,0.02016071,-0.06734414,0.00701644,-0.00754538,0.00376999,0.04622097,-0.01117281,0.02136298,-0.00177614,0.01339141,-0.00919278,-0.01186678,-0.01451314,0.00650047,0.01223793,-0.00339648,0.03553157,0.00788339,-0.03130283,-0.00185766,0.01184812,0.01008694,0.00518764,0.01127449,0.01485668,-0.00052909,0.02164858
0.01132358,-0.02470656,-0.05320874,0.00328412,-0.01638655,-0.00655624,0.00503363,-0.02790862,-0.00657980,0.01726570,-0.02127284,-0.00022579,0.04540155,0.00166840,-0.03132560,0.01519594,0.05588959,-0.01794104,-0.00300327,0.03619045,-0.01558963,0.02273782,0.01086854,0.00674258,-0.00306131,0.01165044,-0.01010757,0.00646302,-0.00397234,0.02259671,0.01523110,0.02396911,-0.00323176,0.00491671,-0.00627395,-0.01791306,0.03643820,-0.01170005,0.00119872,-0.00870154,-0.00230279,-0.01262013,0.00979864,-0.02438256,-0.00446922,0.01718371,0.02133520,0.01185702,0.00884742,-0.00566407,-0.00656118,0.00774505,-0.01098548,0.00160547,-0.00133277,0.01671412,-0.01902638,-0.00496984,0.01540355,0.00188465,0.01141229,0.01127431,0.00471879,0.05044241,0.01509748,0.07177309,-0.02810379,0.02239539,0.01318656,0.00666299,-0.04311896,-0.00998620,0.01907486,-0.03193438,-0.04059887,0.02236383,0.00866858,-0.01490784,-0.00482568,0.01084587,0.03020131,-0.00074536,0.02034703,0.01420468,0.00165741,-0.00418569,0.00623124,0.01603221,0.07527911,0.03000175,0.00351519,-0.03362487,0.01296749,-0.00665866,0.00275096,-0.00550093,-0.00265201,-0.00708389,0.01849645
0.03017623,0.00714998,0.00668440,-0.01440319,-0.03528133,0.03070757,0.01523665,-0.02288401,-0.00556318,-0.02321294,-0.02571434,-0.00876565,0.00854542,0.01482158,0.00425287,-0.02627246,0.03791430,0.02322473,0.02055116,0.01508782,-0.00674729,-0.00555777,0.00430741,0.02903400,0.00822014,-0.03939992,-0.05172503,-0.00160956,-0.01330659,-0.02409349,-0.00821294,-0.02785445,0.00056649,-0.01099657,0.01634544,-0.01008505,-0.04246999,-0.00624413,-0.05900417,0.01341758,0.01261530,-0.01455149,-0.01713588,-0.04367774,0.00793111,-0.06266848,0.01109640,-0.02815259,0.02623126,-0.02542651,0.01182693,0.01858379,-0.00795164,-0.03569336,-0.00454361,0.00524570,-0.00157602,-0.01183094,0.01132548,0.01807887,0.02074523,-0.01504149,-0.00749756,-0.02296469,0.01433216,0.02328910,0.01032323,-0.00122558,-0.00537603,0.00357473,-0.04510343,-0.02238785,-0.00116578,-0.02007616,0.00963218,-0.00494446,0.02226912,0.02165156,0.02564444,0.01319849,0.01271030,0.02194063,-0.03697166,0.00908507,-0.00780759,-0.00044237,-0.00989194,-0.01639740,0.04647370,0.00997550,0.00078443,-0.00459965,-0.03201976,-0.00529089,0.00447886,-0.02577392,-0.00050783,-0.00783482,0.02231299
-0.03003248,0.02292746,-0.02914980,0.01505256,0.00417314,-0.01149082,-0.00372937,-0.02908560,0.01390278,-0.00529807,-0.00425148,0.01055128,0.01572001,-0.01651791,0.00168800,-0.00375557,-0.00363208,-0.00683540,-0.00183917,0.00540100,-0.02301177,-0.01572036,-0.01361212,0.01573054,-0.04209836,-0.01572130,0.00320267,0.01015314,0.03081925,-0.01400428,0.00449188,-0.04423807,0.05109229,-0.01193965,-0.02145604,-0.00863722,0.00554325,-0.00096516,-0.01721368,-0.02771423,0.02911927,0.01041978,0.02405817,0.01229236,-0.00888682,0.01689458,-0.01357246,0.03142065,-0.01855811,-0.01424892,-0.00726142,0.01470842,0.01812852,-0.00545585,0.00247708,0.02794562,-0.01636261,0.00566817,-0.01021679,-0.04162968,-0.01092647,0.02933979,-0.00729999,-0.03160103,-0.00567347,-0.03894526,0.01400226,0.04089218,0.02154195,0.01632105,-0.04078200,-0.01630814,0.01297131,0.05032540,0.03267177,-0.00178551,-0.03455723,0.00248182,-0.00285424,0.00905100,-0.00146563,0.02197542,-0.00921463,0.01526860,-0.00803393,0.01932846,-0.01770369,-0.00298447,0.00732000,0.02608688,-0.01654590,0.03152249,-0.02364352,0.01733093,0.01128952,-0.00384787,-0.00851881,-0.00171128,0.00824216
-0.00709050,-0.00202172,-0.04779251,-0.00943665,0.01218262,-0.01895978,0.00933137,0.00439533,-0.01306174,0.01209608,-0.02308932,-0.02331702,0.00972653,0.00755184,-0.00784059,0.00249982,-0.01043195,-0.02702341,0.00169308,0.00410376,0.01763235,0.00750829,0.03919002,-0.03113470,0.00464019,0.00265734,-0.00676632,-0.03208138,-0.01851735,-0.02846358,0.00895694,-0.03915902,-0.04981104,0.00385764,0.01698571,0.02599051,-0.02066313,0.00297127,-0.05383713,0.01103970,-0.02567053,-0.00443424,-0.02190972,-0.01968569,0.01301248,-0.03543330,0.02300314,-0.00499221,-0.00797140,-0.01183298,-0.02019910,0.00831869,-0.00544558,0.01762624,-0.00606214,-0.01198616,-0.01213246,-0.00561960,0.00533588,-0.02975364,-0.01522576,-0.02715087,-0.01283332,0.04184775,-0.01491238,-0.08258500,0.00414123,0.00921508,-0.00052398,-0.00163186,-0.03450970,0.00325106,0.01398007,0.04153840,0.01025570,-0.03235258,-0.00213346,-0.00340711,0.00894523,-0.02018650,-0.00261656,-0.01818880,-0.01495960,-0.01697503,-0.01462847,-0.02213577,0.02076011,0.02993026,-0.00889968,0.00562504,-0.01779913,-0.00731515,0.05965310,-0.00056725,0.00336000,-0.01142829,-0.00765039,-0.00856706,0.02980474
0.03781281,-0.01552023,-0.00553409,0.02488136,0.01019881,-0.00791269,-0.01928832,0.00219094,-0.03495998,0.03369886,0.02932987,0.00138124,0.07909592,-0.00856271,0.00354412,0.01341685,-0.01887886,0.00771964,-0.00198444,0.03147736,-0.02046041,0.00892104,-0.02413101,0.03260541,0.01432029,0.00958176,0.01023169,0.00562486,0.01638355,0.01067592,0.00880868,0.07174028,0.00915358,0.01355102,0.01161495,0.02278653,-0.00729999,0.01071246,-0.02280865,0.00791265,0.04746574,0.00495423,-0.01314962,0.03693185,-0.00572388,-0.01062717,-0.01910577,-0.00372550,-0.01309922,-0.01352979,-0.02334091,0.01806167,0.01481748,0.02021115,-0.03225512,0.00772884,0.00231675,-0.04559459,0.00483284,-0.02396769,0.00172155,0.02923007,0.01381795,0.00102368,0.00979921,0.12454471,-0.01738573,-0.00573318,0.00765328,-0.00180563,0.00068766,0.02016120,0.00273783,0.03326942,-0.02878967,-0.00477363,0.03004672,0.01973287,0.01214249,0.00495068,0.00898087,-0.00896765,-0.02514254,0.01715931,0.01807834,0.01848453,-0.01079573,-0.00761795,-0.00839705,0.00163881,0.01915252,0.01043525,-0.01539741,-0.00971550,-0.00248725,0.00160535,-0.01647991,-0.02293161,0.01766665
