strat_0,strat_1,strat_2,strat_3,strat_4,strat_5,strat_6,strat_7,strat_8,strat_9,strat_10,strat_11,strat_12,strat_13,strat_14,strat_15,strat_16,strat_17,strat_18,strat_19,strat_20,strat_21,strat_22,strat_23,strat_24,strat_25,strat_26,strat_27,strat_28,strat_29,strat_30,strat_31,strat_32,strat_33,strat_34,strat_35,strat_36,strat_37,strat_38,strat_39,strat_40,strat_41,strat_42,strat_43,strat_44,strat_45,strat_46,strat_47,strat_48,strat_49,strat_50,strat_51,strat_52,strat_53,strat_54,strat_55,strat_56,strat_57,strat_58,strat_59,strat_60,strat_61,strat_62,strat_63,strat_64,strat_65,strat_66,strat_67,strat_68,strat_69,strat_70,strat_71,strat_72,strat_73,strat_74,strat_75,strat_76,strat_77,strat_78,strat_79,strat_80,strat_81,strat_82,strat_83,strat_84,strat_85,strat_86,strat_87,strat_88,strat_89,strat_90,strat_91,strat_92,strat_93,strat_94,strat_95,strat_96,strat_97,strat_98
0.00235327,0.00836586,0.00621023,0.00231225,-0.00707796,0.00915093,-0.01092673,-0.00268713,-0.00844795,-0.00304651,-0.00247012,0.01883740,0.01368945,0.00935324,-0.00372714,-0.00475904,-0.00242243,-0.00298307,-0.01359723,-0.00459521,-0.00537291,0.00538454,0.00555485,-0.00153711,-0.01803500,0.00694727,-0.00405768,0.00881252,0.00352937,-0.00907888,-0.00780695,0.00262271,-0.01871509,-0.01676310,0.00919781,0.01214188,-0.00896444,0.00565083,-0.00085867,0.00209492,-0.01183253,-0.00600288,-0.00899799,0.00793241,-0.00737947,-0.01625424,0.01384270,-0.00079528,0.00575558,0.00420567,-0.00524776,0.00160915,-0.00455513,0.00541816,-0.00291174,-0.01581122,-0.01593143,0.00010375,0.00368059,0.00319821,-0.00695760,-0.01898160,0.00636053,0.00819337,-0.00321973,0.00375006,0.00103475,-0.00008214,0.00486931,-0.00868681,0.00171518,-0.00607480,0.00054438,0.00451764,0.00011639,0.00651832,-0.00567544,0.05638832,-0.01463243,-0.00406126,-0.00741992,-0.00952511,-0.00144559,-0.01165737,0.00084177,0.00083650,0.00863182,-0.00446412,0.00355600,0.00543733,0.00659289,-0.00453381,-0.00032908,0.00416285,-0.01243400,-0.00367903,-0.00772160,0.00048296,-0.00276403
0.00203008,0.00322956,-0.00152469,-0.00139212,-0.00814197,-0.00761387,0.01118788,-0.00111466,-0.00870149,0.00949400,-0.00193364,-0.00529589,-0.00912103,0.00353642,0.00319210,-0.01526900,-0.00010392,-0.00058605,-0.01982961,-0.00950634,-0.00347095,-0.00740926,-0.01174774,0.00801021,0.00119325,-0.00123055,-0.00021545,-0.00357738,0.00534923,-0.00362135,0.00701388,-0.00001000,0.00587994,-0.01004330,0.00535576,-0.01419006,-0.01195000,-0.00795723,-0.01185387,0.00524796,-0.00178658,0.00073905,-0.00101907,0.00610759,-0.00548090,0.01754948,0.00515309,-0.00053098,-0.01201215,0.01118246,-0.00168929,-0.00639704,-0.00321407,-0.01569956,-0.00476811,-0.00764052,0.00690210,0.00507333,-0.00296863,0.00551992,-0.00574143,0.00178363,0.00819254,-0.00563567,0.00681530,-0.00469553,0.00112930,0.00675173,-0.01815959,0.00053254,0.01468584,-0.00869893,-0.00131507,0.00518251,0.00355451,-0.00085174,0.00140511,-0.00040972,-0.00084858,-0.01327701,-0.00715512,-0.00768572,-0.01145954,-0.00983561,0.00543027,-0.00502429,-0.00486903,0.01265274,0.00422697,0.01950222,-0.00373522,0.00982608,-0.00215282,0.00041846,0.00811893,-0.01104948,-0.00414352,-0.00001534,-0.00626542
-0.00128747,0.00887721,-0.01699724,0.00585183,0.00719832,0.00220007,0.00366837,0.01229067,-0.00615705,-0.01210075,0.00264725,-0.00544844,-0.00316676,0.00165648,0.00250805,0.02900523,0.00956588,-0.01044636,-0.01133398,0.00042556,0.00674486,0.00329306,-0.00552852,0.01178780,0.00150795,0.00141178,-0.00289990,-0.00067925,-0.01903081,-0.01250812,-0.00310877,-0.00052070,-0.00311924,-0.01150280,0.00302593,0.00257024,-0.00802509,-0.00015435,-0.02474594,0.00172765,-0.00076418,0.00361589,-0.00059602,0.00209857,-0.00137117,-0.00599441,-0.00468337,-0.00329882,-0.00927319,-0.00298583,-0.00722366,0.00179139,-0.00245238,-0.00753235,-0.00230519,0.00853795,-0.01248280,-0.01082933,0.01769521,0.01280169,-0.00256774,0.00622694,-0.00592412,0.00046626,-0.00714605,0.00319875,0.01010487,0.00633339,-0.00595781,-0.00462132,-0.00930786,0.01564188,0.00607997,-0.01769625,-0.00990442,0.00805552,-0.00933193,-0.00070749,-0.00777083,-0.01303237,0.00045637,-0.00490142,-0.00395450,-0.00653562,-0.00534045,-0.00633158,-0.01671065,0.00040231,-0.00094488,-0.00868372,0.00029844,-0.00583912,-0.00382825,0.01349023,-0.00335263,-0.00091755,0.00339395,0.00506881,0.01119339
-0.00063700,-0.00675545,0.00812987,-0.00975740,-0.00752765,-0.00795546,0.00016146,-0.00913913,0.00031599,0.00040017,-0.00330653,-0.00369053,0.00078863,-0.00502076,-0.00311500,-0.00113199,0.00062160,-0.01469638,-0.00265026,-0.00827759,-0.01027713,0.09433042,0.00382551,-0.02373056,0.00035738,0.00357080,0.00008849,0.00111718,0.00160879,0.00077815,0.01076189,-0.00168695,0.00319770,-0.00449030,0.02067833,0.01036382,-0.01078645,-0.01016582,0.00540127,0.01154384,-0.01186412,-0.00611548,-0.01036250,-0.01185917,0.04306156,-0.00247367,-0.00128938,-0.00945049,-0.01184374,0.00030373,-0.00436408,-0.00342169,-0.00208576,-0.01572737,-0.00523253,0.01493627,-0.00239057,0.00095795,0.00500502,0.00783605,0.00082279,0.00569567,-0.00897854,-0.00113553,-0.00108648,-0.00338800,0.01104690,0.01475331,0.00880954,0.00917056,-0.00106381,-0.00407859,-0.00434255,0.00805039,0.00112679,0.00509247,-0.00464506,0.00388216,0.01766687,-0.00163105,-0.00735761,-0.00497639,0.00511429,-0.00455711,0.00274346,0.00693172,0.00371377,0.01853347,0.00984592,-0.01499664,-0.00481005,-0.00833983,0.00433416,-0.00448307,-0.00637432,-0.01205807,0.00097554,0.00034940,-0.00191271
-0.00853971,0.00190187,0.00388435,0.00489384,-0.02191740,-0.01098042,0.00462884,0.00565953,-0.00615597,0.00345321,0.00544073,-0.00119171,-0.00113543,0.00036282,-0.00080300,0.00095303,0.00475019,-0.00489434,-0.01591741,-0.00770734,0.00417787,-0.00357457,0.00089286,0.00074251,0.00148619,0.00319164,-0.00190861,0.00102021,-0.00278249,0.00394479,0.01672578,-0.00230425,0.00697523,-0.00484438,0.00530513,-0.00293693,0.01910859,-0.00837609,-0.00226012,-0.00342559,-0.00463606,0.02010112,0.00186928,-0.00676311,-0.00918772,0.01911612,0.01779104,0.00792626,-0.00408589,0.00009726,0.01140956,0.00321473,-0.00825426,-0.00555405,-0.00168811,-0.00989985,-0.00648914,0.00991303,-0.00519601,-0.00140424,0.00226627,-0.01509959,-0.00572980,-0.01266530,0.05373849,0.00315227,0.00609978,-0.00935453,-0.00335486,-0.00794701,0.00412157,0.00361100,0.00190730,-0.00526525,-0.00199279,0.00226835,0.01592398,-0.00935356,-0.00081461,-0.00416132,-0.00341692,-0.00765434,0.00895411,0.00628072,0.00410695,-0.00765675,-0.00257627,-0.01990180,0.00034342,-0.00419868,-0.00422991,-0.00222236,0.00035333,-0.00654275,-0.00797520,-0.00913387,0.00484982,0.00584476,0.00619140
-0.00454756,0.00376612,-0.00814878,-0.00729497,-0.00605400,-0.00550596,-0.00426316,0.00506190,0.02121398,0.00996227,-0.00282388,0.00341932,0.00083765,-0.00280463,-0.01187953,-0.01031731,-0.00960335,-0.00585954,-0.00701296,-0.00626723,-0.00181972,0.00900119,0.00309474,0.00042596,0.00232842,-0.01379347,0.00329257,-0.00077098,0.01145041,-0.00134159,0.00464761,0.01250328,-0.00253520,-0.00734652,-0.00021665,-0.01593990,-0.00898940,-0.00140471,0.00528417,-0.01400343,-0.00466541,0.00213493,-0.01019872,0.00039785,0.00567650,-0.00985975,-0.00830151,-0.00404742,-0.00115383,0.00380304,-0.00157793,0.00566805,0.00236082,0.00479753,-0.01131336,-0.00255582,-0.00092622,0.01679459,0.00494937,0.00628091,0.00135629,0.00222269,-0.00026816,0.00327944,-0.02137056,-0.00083949,-0.00197738,-0.00460882,0.01254155,-0.02044144,-0.00529697,-0.00037786,-0.00544475,0.00850803,-0.01462383,-0.00044350,0.00744218,-0.01355013,-0.00779263,0.00606005,-0.00069680,0.00075687,0.00003551,-0.00108333,0.00022103,-0.01313322,0.01354202,0.00021008,-0.00102262,-0.00366876,-0.01804523,-0.00526083,-0.00656656,-0.00136787,-0.00694930,-0.00904410,0.00430260,0.00248985,-0.01176887
0.00327684,-0.00418352,0.00303921,0.00633833,0.00919981,-0.00056460,-0.00817019,0.01123743,0.00056125,0.01034017,0.00104520,-0.00170557,0.01009386,-0.01497211,0.00801911,0.02124854,-0.01352364,-0.00916616,0.00086438,0.06539101,0.01261023,-0.00591237,-0.00362132,0.00589137,-0.00648783,-0.00424275,0.00577973,-0.00193697,-0.00270974,0.00274362,-0.00563140,0.00644075,0.01552650,0.00477073,-0.00616261,-0.00413928,-0.00533451,-0.00648688,0.00657346,0.00587602,-0.01247815,0.00865388,-0.01278711,-0.00769850,-0.00884272,0.00889622,-0.00941622,-0.00775419,-0.00145006,-0.03847856,-0.00567218,-0.00027197,0.01531190,0.00240097,0.00306061,-0.00924475,-0.00483342,-0.00722573,-0.00691337,-0.00556032,0.00846495,-0.01326964,0.00776526,0.01422705,-0.00247211,-0.00424809,-0.00872231,-0.00202352,0.00486130,0.00886921,0.00696951,-0.00252728,-0.00254152,-0.00479112,0.02644051,-0.00555391,0.00690000,-0.00140161,0.00499546,-0.01137563,-0.00914742,0.00656337,-0.00326675,0.00248106,-0.00263146,-0.00227355,-0.00696775,0.00163941,0.00097520,-0.00369184,-0.00599587,-0.00426316,0.00228943,-0.00038484,-0.01062931,-0.00688054,-0.00285005,0.00130599,0.00757996
-0.02428873,-0.00184039,-0.01038592,0.02339459,-0.00041553,0.01074391,0.00375626,0.00376361,-0.00727835,0.01333228,-0.00647908,-0.00289153,0.00096406,0.01475376,0.00664580,0.03732957,-0.00339355,0.00285631,0.00121256,-0.00711835,0.00043748,-0.00023047,0.00960987,-0.01404511,-0.01054912,-0.00270737,-0.01855445,-0.00742937,0.01373171,-0.00183804,0.00382516,-0.00019138,-0.01336920,0.02372769,-0.00588723,0.00402741,-0.01244678,-0.00477091,-0.00512919,-0.01053935,0.01471913,-0.00794364,0.00741164,0.00436928,0.01188063,-0.00592812,0.00379448,-0.01140182,-0.01728249,-0.00318179,-0.01191850,0.00270246,0.01263095,0.01140091,0.01209134,0.00653219,-0.00569072,0.01523726,-0.00494921,0.00216497,-0.00638266,-0.00034705,-0.00038824,0.01157279,-0.00313823,0.00148634,0.00429114,-0.01208030,0.00675603,-0.00603085,-0.00076227,0.00362383,-0.00735174,-0.01379347,-0.00398382,-0.01024403,0.00138775,-0.00495775,-0.00957422,-0.01241360,0.00481776,0.01167129,0.00305608,0.00335319,0.00175394,-0.00404186,0.00363485,-0.00308448,-0.01031155,0.01385937,0.00186741,-0.00262154,-0.00600065,-0.01318640,0.00486020,-0.00126951,0.00633813,0.00541312,-0.01111379
0.00286213,-0.00714490,-0.00979542,0.00096652,-0.00504311,-0.01286316,-0.00147505,0.01599940,-0.00187421,-0.00453733,0.00392741,0.00447456,0.01318904,0.01301335,-0.00430848,-0.00518759,-0.00025681,-0.00446754,0.00247959,0.00406548,0.01097109,-0.01595418,-0.00196180,-0.01337087,-0.00535057,-0.00264940,-0.01511665,-0.00337520,-0.01714927,0.00289268,-0.00835262,-0.00543353,0.00232387,0.00548117,-0.00558575,-0.00547519,-0.00670329,0.00582924,-0.00587109,0.00870474,0.00802792,0.00920903,0.00295341,0.00609397,-0.01526325,-0.00625759,-0.00344675,0.00770013,0.00851010,0.00090546,0.00726716,0.00179027,-0.00803767,-0.01491639,-0.01191281,0.00843358,-0.01147483,0.00877674,0.01457658,0.00263258,0.01850416,-0.00304116,0.01976978,-0.00531752,0.01150475,0.00581647,-0.00598241,0.00803868,0.00105702,-0.00441419,-0.00979803,-0.00657857,0.00642240,-0.00439523,0.00401259,0.04041719,0.00938271,-0.00227745,-0.00411477,0.01075352,-0.00864767,-0.00899389,-0.01590365,-0.00680158,-0.00204347,-0.01312859,-0.00276820,-0.02010640,-0.00219919,-0.00179572,0.00550499,0.00712687,0.00196499,-0.00851238,0.00513752,-0.00883123,0.00079274,0.00202055,0.00739219
0.01103329,-0.01143852,0.00327094,0.00426361,0.00557478,0.00537366,0.01471275,-0.01260278,-0.00858767,-0.00889909,0.00550937,0.00443817,-0.01345622,-0.00826299,0.00411177,-0.00008227,0.00337315,0.00811033,0.00427317,0.00371656,0.00457538,0.00886748,0.00137712,0.00380248,0.00024327,-0.00471375,-0.00870349,-0.00542016,-0.00346702,0.00199471,-0.00240281,0.00642119,-0.00258544,0.00016532,0.00565201,-0.00154454,-0.00891325,0.00407049,0.00458115,-0.00547843,0.00091265,0.00438397,-0.00489720,-0.00278994,0.00044240,-0.00584500,0.00866300,0.00962393,-0.00719211,-0.00886428,-0.00222782,-0.00307382,-0.00942714,-0.01153005,-0.01320709,-0.00429606,-0.00966025,-0.00425943,0.00666596,-0.01200126,-0.00548967,-0.00775018,0.00131470,0.00341178,0.00037095,-0.00612990,-0.00212657,-0.00050059,-0.00069109,-0.01243017,-0.01746831,-0.00747012,-0.00245777,0.01700331,-0.00484457,0.00443239,-0.01104606,0.03022674,0.00842150,-0.00344585,0.01587849,0.00753137,0.00865126,0.01469030,0.00119432,-0.00416498,-0.00944129,0.00549182,-0.00990388,-0.02126432,-0.00021612,0.00600884,-0.01013640,-0.00125346,0.01828125,-0.01657529,0.01989278,-0.00448128,0.01759088
